"","Name","Address","Zip","Latitude","Longitude"
"68","D AGOSTINO SUPERMARKETS INC","341 3RD AVENUE, New York, NY","10010",40.74009436,-73.98211014
"69","NAMDOR INC","2610 FDR DR, New York, NY","10010",0,0
"70","NAMDOR INC","355 1ST AVENUE, New York, NY","10010",40.73548464,-73.97962445
"71","SILVER & WHITE MARKETS INC","278 PARK AVENUE SOUTH, New York, NY","10010",40.73935069,-73.98718414
"72","SILVER STAR ENTERPRISES INC","411 2ND AVENUE, New York, NY","10010",40.73827335,-73.98069013
"73","ALAN RAM FARMS INC","575 AVENUE OF THE AMERICAS, New York, NY","10011",40.73871939,-73.99592232
"74","L & M DELICATESSEN CORP","80 7TH AVENUE, New York, NY","10011",40.73934633,-73.99918194
"75","SON KWAN GROCERY INC","570 AVENUE OF THE AMERICAS, New York, NY","10011",40.73862898,-73.99582352
"76","471 SIXTH AVENUE FOOD CORP","471 6TH AVENUE, New York, NY","10011",40.73563218,-73.99816742
"77","H & H KIM CORP","172 PRINCE STREET, New York, NY","10012",40.72611083,-74.00172225
"78","J W MARKET INC","240 SULLIVAN STREET, New York, NY","10012",40.73006884,-73.99943318
"79","NAMDOR INC","246 MERCER STREET, New York, NY","10012",40.72778011,-73.99584147
"80","BLEECKER FARM CORP","272 BLEECKER ST, New York, NY","10014",40.73144815,-74.0031925
"81","D AGOSTINO SUPERMARKETS INC","790 GREENWICH STREET, New York, NY","10014",40.73715853,-74.00656204
"82","NAMDOR INC","3 SHERIDAN SQUARE, New York, NY","10014",40.73276088,-74.00239818
"83","CLOVER DELICATESSEN INC","621 2ND AVENUE, New York, NY","10016",40.74478523,-73.97595242
"84","GLAMOUR ENTERPRISES INC","335 LEXINGTON AVENUE, New York, NY","10016",40.74951755,-73.97733511
"85","1 EAST ACE DELI CORP","1 E 28TH STREET, New York, NY","10016",40.74469886,-73.98721478
"86","AZOR BAKE SHOP INC","89 EAST 42ND ST/MAIN CONCOURSE, New York, NY","10017",40.75215285,-73.97759563
"87","GRAY & WHITE MARKETS INC","908 2ND AVENUE, New York, NY","10017",40.7538244,-73.9691994
"88","NAMDOR INC","748 2ND AVENUE, New York, NY","10017",40.74851991,-73.97307559
"89","468 470 FOOD CORP","468 470 9TH AVENUE, New York, NY","10018",40.75472434,-73.99524431
"90","NAMDOR INC","907 8TH AVENUE, New York, NY","10019",40.76496348,-73.98421826
"91","ROOSEVELT GOURMET DELI INC","460 W 57TH STREET, New York, NY","10019",40.76858994,-73.98746724
"92","57 MARKET INC","363 W 57TH STREET, New York, NY","10019",40.76751027,-73.98461636
"93","D AGOSTINO SUPERMARKETS INC","1507 YORK AVENUE, New York, NY","10021",40.77222484,-73.94988084
"94","NAMDOR INC","1446 2ND AVE, New York, NY","10021",40.77098746,-73.95666626
"95","JAN SERVICES EAST INC","301 E 64TH STREET, New York, NY","10021",40.76374492,-73.96193694
"96","K & S GROCERY CORP","1321 YORK AVENUE, New York, NY","10021",40.76603536,-73.95440538
"97","NAMDOR INC","1208 1ST AVENUE, New York, NY","10021",40.76358315,-73.95898143
"98","NAMDOR INC","1365 3RD AVENUE, New York, NY","10021",40.77353941,-73.9577297
"99","SING AND SING DELI INC","1211 1ST AVENUE, New York, NY","10065",NA,NA
"100","Z & S DELI INC","1474 YORK AVE, New York, NY","10021",40.77079054,-73.950776
"101","BRONZE & WHITE MARKETS INC","400 W 59TH STREET, New York, NY","10022",40.75955995,-73.96195878
"102","D AGOSTINO SUPERMARKETS INC","966 1ST AVENUE & 53RD STREET, New York, NY","10022",40.75574249,-73.96471323
"103","532 MADISON AVENUE GOURMET FOODS INC","532 MADISON AVENUE, New York, NY","10022",40.76040166,-73.97381243
"104","C P YANG CORP","281 COLUMBUS AVENUE, New York, NY","10023",40.77808273,-73.97820488
"105","COLUMBUS FOODS INC","289 COLUMBUS AVE, New York, NY","10023",40.77834926,-73.97801187
"106","MELNI FOOD CORP","1879 BROADWAY, New York, NY","10023",40.77058613,-73.9823176
"107","ROSAN FOOD CORP","1891 3RD AVENUE, New York, NY","10029",40.79057002,-73.94539949
"108","ANDYS 418 COLUMBUS AVE DELI INC","418 COLUMBUS AVE, New York, NY","10024",40.7826767,-73.97503337
"109","C & N GROCERY STORE INC","295 AMSTERDAM AVE, New York, NY","10024",40.77975684,-73.98069839
"110","COLUMBUS AVENUE FOOD CORP","476 COLUMBUS AVENUE, New York, NY","10024",40.7844237,-73.97374941
"111","NAMDOR INC","251 W 86TH ST, New York, NY","10024",40.7886655,-73.97718588
"112","NAMDOR INC","500 COLUMBUS AVENUE, New York, NY","10024",40.78521234,-73.97317584
"113","WESTSIDE SUPERMARKET","2171 BROADWAY, New York, NY","10024",40.7822056,-73.98109477
"114","ZABARS & CO INC","2245 BROADWAY, New York, NY","10024",40.78474219,-73.97952009
"115","530 FOOD CORP","530 534 AMSTERDAM AVENUE, New York, NY","10024",40.7876091,-73.97514996
"116","HANS FAMILY FRUITS & VEGETABLES CORP","2501 BROADWAY, New York, NY","10025",40.79281145,-73.97333979
"117","103 MANHATTAN GROCERY AVE CORP","62 MANHATTAN AVENUE, New York, NY","10025",40.79639818,-73.96302805
"118","MANI MARKET PLACE INC","697 COLUMBUS AVENUE, New York, NY","10025",40.79143954,-73.96846464
"119","PAUL SAINI DELI GROCERY INC","730 COLUMBUS AVENUE, New York, NY","10025",40.79267755,-73.9677222
"120","RANCHOS FOOD CORP","71 81 W 104TH STREET, New York, NY","10025",40.79761378,-73.96299064
"121","104 BROADWAY FARM INC","2717 BROADWAY, New York, NY","10025",40.79974507,-73.96840672
"122","987 SUPERMARKET INC","987 AMSTERDAM AVE, New York, NY","10025",40.80192608,-73.96453331
"123","NEW WAY FOOD MARKET INC","1902 7TH AVENUE, STORE #1, New York, NY","10026",40.80270114,-73.95308562
"124","CENTRAL PARK NORTH MEAT LLC","37 41 LENOX AVENUE, New York, NY","10026",40.79937442,-73.95177722
"125","A L M SUPERMARKET INC","1225 AMSTERDAM AVENUE, New York, NY","10027",40.80947987,-73.959014
"126","IBRAHIM M YABAI","507 MANHATTAN AVENUE, New York, NY","10027",40.80826794,-73.9545314
"127","LEONEL MINI MARKET INC","273 W 131ST STREET, New York, NY","10027",40.81366317,-73.94760833
"128","MORNINGSIDE SUPERMARKET CORP","1316 AMSTERDAM AVENUE, New York, NY","10027",40.81294089,-73.95665853
"129","560 WEST MEAT & PRODUCE CORP","560 W 125TH STREET, New York, NY","10027",40.81468242,-73.95756749
"130","D AGOSTINO SUPERMARKETS INC","1223 LEXINGTON AVE, New York, NY","10028",40.77763595,-73.95683796
"131","NAMDOR INC","1644 YORK AVENUE, New York, NY","10028",40.77619831,-73.94682934
"132","MADISON PRODUCE CORP","1307 9 MADISON AVE, New York, NY","10028",40.78483701,-73.95579217
"133","ORANGE & WHITE MARKETS INC","1565 1ST AVENUE, New York, NY","10028",40.77401601,-73.95153034
"134","YOUNG CHUN KIM","1578 YORK AVENUE, New York, NY","10028",40.77395562,-73.94847022
"135","EAST HARLEM GROCERY CORP","85 E 110TH STREET, New York, NY","10029",40.79575478,-73.94658361
"136","JORGE MELO","1858 LEXINGTON AVENUE, New York, NY","10029",40.79798631,-73.94216892
"137","MOHAMED M ALOUBAHI","1801 LEXINGTON AVENUE, New York, NY","10029",40.79601901,-73.94343035
"138","NAMDOR INC","1343 LEXINGTON AVENUE, New York, NY","10029",40.78147021,-73.9540371
"139","DOMINGO NUNEZ","2591 8TH AVENUE, New York, NY","10030",40.81846266,-73.94519473
"140","FAMILY GROCERY NO 2 INC","2620 8TH AVE, New York, NY","10030",40.81941317,-73.94433697
"141","STEP 1 DELI GROCERY INC","685 LENOX AVE, New York, NY","10030",40.81997923,-73.93673657
"142","FELIX DIAZ","3518 BROADWAY, New York, NY","10031",40.8256717,-73.95078944
"143","HAMILTON CORNER MEAT MARKET INC","1 HAMILTON PLACE, New York, NY","10031",40.82071244,-73.95439218
"144","RAFAEL H PEGUERO","501 W 134TH STREET, New York, NY","10031",40.81885449,-73.95407372
"145","3011 GROCERY INC","3320 BROADWAY, New York, NY","10031",40.81938104,-73.9553943
"146","3484 BROADWAY MINI MARKET INC","3484 BROADWAY, New York, NY","10031",40.82446488,-73.95167431
"147","3550 FOOD CORP","3550 52 BROADWAY, New York, NY","10031",40.70653656,-74.01263105
"148","756 JOMO FOOD CORP","756 ST NICHOLAS AVENUE, New York, NY","10031",40.82594855,-73.94326519
"149","WASHINGTON HEIGHTS GROCERY CANDY INC","4067 1/2 BROADWAY, New York, NY","10032",40.84360112,-73.93917571
"150","J F MEAT & GROCERY CORP","1016 ST NICHOLAS AVE, New York, NY","10032",40.83516738,-73.93968945
"151","172 FOOD CORP","4081 BROADWAY, New York, NY","10032",40.84410409,-73.9390561
"152","GREAT WAY FOODS INC","4365 BROADWAY, New York, NY","10033",40.85366876,-73.93401601
"153","POLA SUPERMARKET CORP","1331 ST NICHOLAS AVE, New York, NY","10033",40.84647966,-73.93588198
"154","REY'S GROCERY DELI CORP","288 AUDUBON AVENUE, New York, NY","10033",40.84772084,-73.933155
"155","SMILE DELI GROCERY LTD","758 W 181ST STREET, New York, NY","10033",40.8507017,-73.93773221
"156","196 STO DOMINGO GROCERY INC","196 AUDUBON AVE, New York, NY","10033",40.84476934,-73.93531428
"157","2330 MEAT & PRODUCE CORP","2330 1ST AVENUE, New York, NY","10033",40.79905553,-73.93307556
"158","191 FOOD CORP","1617 ST NICHOLAS AVE, New York, NY","10040",40.85549539,-73.92928592
"159","270 MARKET INC","270 W 47TH STREET, New York, NY","10036",40.76004797,-73.98677399
"160","LUCIANO BERROCAL","180 LENOX AVE, New York, NY","10036",40.80391125,-73.94810903
"161","SHISHA DELI INC","637 9TH AVENUE, New York, NY","10036",40.7602248,-73.9913997
"162","SONEL RAMIREZ","767 10TH AVE, New York, NY","10019",40.76588678,-73.99097334
"163","HARLEM UP DELI MARKET INC","585 LENOX AVENUE, New York, NY","10037",40.81708817,-73.9388542
"164","LENOX & 132ND FOOD CORP","448 LENOX AVENUE, New York, NY","10037",40.81233692,-73.94197574
"165","DOWNTOWN FOOD CORP","5 ST JAMES PLACE, New York, NY","10038",40.71113331,-74.00024725
"166","2676 7TH AVENUE GROCERY INC","2626 7TH AVE, New York, NY","10039",40.82633539,-73.93586793
"167","101 MORONTA FOOD CORP","101 DYCKMAN STREET, New York, NY","10040",40.86169933,-73.92474337
"168","NAMDOR INC","686 N MAIN STREET, New York, NY","10044",40.7652889,-73.94657323
"169","ALI ALSAIDI","1726 1ST AVENUE, New York, NY","10128",40.77912306,-73.94762954
"170","K B C FOOD CORP","1721 1ST AVENUE, New York, NY","10128",40.7788984,-73.9478734
"171","K S P SUPERMARKET INC","1486 LEXINGTON AVENUE, New York, NY","10128",40.78586134,-73.95102209
"172","145 FOOD CORP","1407 LEXINGTON AVE, New York, NY","10128",40.78334863,-73.95266112
"173","NAMDOR INC","71 SOUTH END AVE, New York, NY","10280",40.70833442,-74.01760796
"174","NAMDOR INC","315 321 S END AVENUE, New York, NY","10280",40.71039381,-74.01634126
"175","TERRY RAM LTD","41 RIVER TERRACE, New York, NY","10281",40.71778963,-74.01570612
"176","DUANE READE INC","4 AMSTERDAM AVE, New York, NY","10023",40.77053132,-73.9875864
"177","RITE AID OF NEW YORK INC","282 8TH AVENUE, New York, NY","10001",40.74601983,-73.99787169
"178","RITE AID DRUG PALACE INC","408 GRAND STREET, New York, NY","10002",40.71590818,-73.98638294
"179","KMART CORPORATION","770 BROADWAY, New York, NY","10003",40.73110501,-73.99185673
"180","RITE AID OF NEW YORK INC","81 1ST AVENUE, New York, NY","10003",40.72578751,-73.98668088
"181","RITE AID OF NEW YORK INC","501 6TH AVENUE, New York, NY","10011",40.73651138,-73.9975418
"182","RITE AID OF NEW YORK INC","188 9TH AVENUE & 22ND ST, New York, NY","10011",40.74548179,-74.00196752
"183","RITE AID OF NEW YORK INC","542 576 2ND AVE, New York, NY","10016",40.74341182,-73.97655368
"184","RITE AID OF NEW YORK INC","301 W 50TH ST, New York, NY","10019",40.76238914,-73.98612096
"185","RITE AID OF NEW YORK INC","1535 2ND AVENUE, New York, NY","10021",40.77380506,-73.95477714
"186","RITE AID OF NEW YORK INC","741 COLUMBUS AVENUE, New York, NY","10025",40.79284731,-73.9674309
"187","RITE AID OF NEW YORK INC","2833 BROADWAY, New York, NY","10025",40.80403065,-73.9670113
"188","RITE AID OF NEW YORK INC","35 45 W 125TH ST, New York, NY","10027",40.80693105,-73.9433372
"189","RITE AID OF NEW YORK INC","3539 BROADWAY, New York, NY","10031",40.8264208,-73.95064868
"190","RITE AID OF NEW YORK INC","1510 ST NICHOLAS AVENUE, New York, NY","10033",40.85207319,-73.93162475
"191","RITE AID OF NEW YORK INC","4910 BROADWAY, New York, NY","10034",40.86731585,-73.92210346
"192","RITE AID OF NEW YORK INC","2155 3RD AVENUE, New York, NY","10035",40.79893989,-73.93921514
"193","RITE AID OF NEW YORK INC","7 MADISON ST, New York, NY","10038",40.71176784,-74.0004262
"194","RITE AID OF NEW YORK INC","1849 2ND AVENUE, New York, NY","10128",40.78359203,-73.94762555
"195","DA 15 FARM INC","349 E 49TH STREET, New York, NY","10017",40.75379821,-73.96778178
"196","RITE AID OF NEW YORK INC","4046 BROADWAY, New York, NY","10032",40.84270548,-73.93915627
"197","RITE AID OF NEW YORK INC","534 HUDSON STREET, New York, NY","10014",40.73432423,-74.00611672
"198","D AGOSTINO SUPERMARKETS INC","580 582 THIRD AVENUE, New York, NY","10016",40.74840165,-73.97623624
"199","MURAD ALI","127 LUDLOW STREET, New York, NY","10002",NA,NA
"200","RITE AID OF NEW YORK INC","26 GRAND CENTRAL TERMINAL, New York, NY","10017",40.75304348,-73.97997384
"201","WESTERN BEEF RETAIL INC","431 WEST 16TH STREET, New York, NY","10011",40.74297893,-74.00590086
"202","WESTERN BEEF RETAIL INC","75 WEST END AVE, New York, NY","10023",40.77412136,-73.98869152
"203","ASSARY GROCERY CORP","343 ST NICHOLAS AVENUE, New York, NY","10026",40.81213364,-73.95146285
"204","MILLENNIUM DELI GROCERY INC","214 WEST 96TH STREET, New York, NY","10025",40.79416212,-73.97078171
"205","DUANE READE INC","617 W 181ST ST, New York, NY","10033",40.84964996,-73.93434048
"206","BHOJAN INC","270 W 36TH ST, New York, NY","10018",40.75313176,-73.99171592
"207","NAMDOR INC","221 229 8TH AVENUE, New York, NY","10011",40.74443959,-73.99917565
"208","453 HARLEM STREET CORP","453 W 125TH ST, New York, NY","10027",40.81257667,-73.9555039
"209","99 JOHN'S MARKET PLACE INC","99 JOHN STREET, New York, NY","10038",40.70796924,-74.0059802
"210","BATTERY PARK CITY GOURMET MARKET, INC","450 NORTH END AVE, New York, NY","10282",40.71727373,-74.01399544
"211","FADHL N SUHAIL","1536 AMSTERDAM AVE, New York, NY","10031",40.81950407,-73.95186806
"212","NEW FUZHOU SUPERMARKET INC","146 HENRY STREET, New York, NY","10002",40.71333003,-73.99005078
"213","34 MIDTOWN DELI INC","322 EAST  34 STREET, New York, NY","10016",40.74427315,-73.97484283
"214","ST NICK CANDY GROCERY INC","1572 ST NICHOLAS AVE, New York, NY","10040",NA,NA
"215","SHEEN BROTHERS INC","155 AVE B, New York, NY","10009",40.72673909,-73.97990236
"216","MIHYE CORPORATION","790 11TH AVE STORE #4, New York, NY","10019",40.76870268,-73.99240178
"217","425 THIRD AVENUE CORP","425 THIRD AVENUE, New York, NY","10016",40.7429805,-73.98001908
"218","695 LEON BAKERY INC","695 9TH AVE, New York, NY","10036",40.76209862,-73.99004591
"219","14TH STREET CANDY & GROCERY INC","402 E 14TH ST, New York, NY","10009",40.73130954,-73.98246129
"220","GLENDA FOOD CORP.","592 FORT WASHINGTON AVENUE, New York, NY","10033",40.85486671,-73.93687957
"221","L & O GROCERY CORP","1618 MADISON AVENUE, New York, NY","10029",NA,NA
"222","LITTLE HEE'S CORP","212 WEST 44TH STREET, New York, NY","10036",40.75752423,-73.98663622
"223","RITE AID OF NEW YORK INC","210 20 AMSTERDAM AVENUE, New York, NY","10023",40.77712911,-73.98278183
"224","719 BROTHER FAMOUS DELI  CORP","719 9TH AVENUE, New York, NY","10019",40.76286682,-73.98947066
"225","TAN & WHITE SUPERMARKET INC","130 136 BLEECKER STREET, New York, NY","10012",40.72817819,-73.99931426
"226","KYU HWA YOO","28 WEST 32ND STREET, New York, NY","10001",40.74788655,-73.98740283
"227","DUANE READE INC","1279 3RD AVE AKA 200 E 74TH ST, New York, NY","10021",40.77070752,-73.95979782
"228","DUANE READE INC","465 2ND AVE, New York, NY","10006",40.73989672,-73.97950291
"229","ONE PLUS ONE TWO INC","94 AVENUE B, New York, NY","10009",40.72452114,-73.98167352
"230","OSCAR  L  INC","781 9TH AVENUE, New York, NY","10019",40.7647804,-73.98807534
"231","C & S MART INC","373 1ST AVENUE, New York, NY","10010",40.73616463,-73.97911064
"232","WEST END SUPER CORP.","110 WEST END AVENUE, New York, NY","10023",40.77532708,-73.9876724
"233","DUANE READE INC","1524 2ND AVE, New York, NY","10021",40.77341153,-73.95490226
"234","DUANE READE INC","1467 1ST AVE, New York, NY","10021",40.77050139,-73.95408831
"235","DUANE READE INC","155 EAST 34TH ST, New York, NY","10016",40.74623299,-73.97916783
"236","DUANE READE INC","2683 BROADWAY, New York, NY","10025",40.79861954,-73.96910028
"237","URBANO ISIDORO","182 E 109TH STREET, New York, NY","10029",40.79367036,-73.94382726
"238","MANHATTAN TOBACCO & GROCERY CORP","881 9TH AVENUE, New York, NY","10019",40.76802106,-73.9857155
"239","LITTLE M CORP","118 LEXINGTON AVE, New York, NY","10016",40.74264056,-73.98252759
"240","GRAND CENTURY MARKET INC","281 GRAND STREET, New York, NY","10002",40.71771872,-73.9926281
"241","1623 ST NICHOLAS AVE CORP","1623 SAINT NICHOLAS AVE, New York, NY","10040",40.85563905,-73.92909733
"242","D AGOSTINO SUPERMARKETS INC","815 10TH AVE, New York, NY","10019",40.76749751,-73.98971303
"243","NUVE MIGUEL CORP","755 AMSTERDAM AVE AKA 170 W 97, New York, NY","10025",40.79451244,-73.96993636
"244","YEMSANALI GROCERY INC","881 10TH AVE, New York, NY","10019",40.76939932,-73.98842526
"245","DUANE READE INC","380 AMSTERDAM AVE, New York, NY","10024",40.78258741,-73.97880665
"246","GREENWICH VILLAGE FARM INC","33A GREENWICH AVENUE, New York, NY","10014",40.73515571,-74.00032885
"247","117 CORONA MEAT CORP","136 LENOX AVENUE, New York, NY","10026",40.80278344,-73.94893782
"248","FRANK'S GOURMET MARKET INC","807-809 W 187TH STREET, New York, NY","10033",40.85526834,-73.93719246
"249","LM GROCERY CORP","2643 8TH AVENUE, New York, NY","10030",40.8203337,-73.94382337
"250","JOSE GROCERY CORP","1881 AMSTERDAM AVE, New York, NY","10031",40.83026124,-73.94384216
"251","BROADWAY FRUIT MARKET LLC","2345 BROADWAY, New York, NY","10024",40.78839815,-73.97663848
"252","HOLK MARKET INC","1616 3RD AVENUE, New York, NY","10128",40.78184798,-73.95182618
"253","PARAS NEW YORK INC","708 9TH AVENUE, New York, NY","10019",40.76248876,-73.9895904
"254","RIVERDALE MEAT & PRODUCE CORP","5249 BROADWAY, New York, NY","10463",42.90121402,-78.68317388
"255","168 FRUIT & VEGETABLE CORP","168 7TH AVENUE, New York, NY","10011",40.74223921,-73.99708608
"256","1ST & 96TH MANAGEMENT INC","1855 1ST AVE, New York, NY","10028",40.78309239,-73.9449105
"257","NAMDOR INC","307 WEST 26TH STREET, New York, NY","10001",40.74733562,-73.99724639
"258","101 LA ESPERANZA SUPERMARKET CORP","101 AUDOBON AVE, New York, NY","10032",40.8417655,-73.9372992
"259","EL TAPATIO MEXICAN RESTAURANT INC","209 E 116TH STREET, New York, NY","10029",40.79788687,-73.93975381
"260","OWNERS' KIDS FOOD CORP","123 AVE C, New York, NY","10009",40.72462641,-73.9785295
"261","JUAN ROSARIO","2210 5TH AVE, New York, NY","10037",40.81295728,-73.93754481
"262","FARE FARM FOOD CORP","4776 BROADWAY, New York, NY","10034",40.86580136,-73.92632466
"263","553 LA MINA SUPERMARKET INC","553 W 157TH ST, New York, NY","10032",40.83388393,-73.94431959
"264","840 ST NICHOLAS FOOD CORP","840 SAINT NICHOLAS AVE, New York, NY","10031",40.82886266,-73.94215149
"265","A & A DELI GROCERY CORP","203 7TH AVE, New York, NY","10011",NA,NA
"266","VBFS INC","529 BROOME ST, New York, NY","10013",40.72394376,-74.00430857
"267","NEW YORK SUPERMARKET EAST BWY INC","75 85 EAST BROADWAY, New York, NY","10002",40.71365661,-73.99404977
"268","VILLAGE ENTERPRISES LLC","424 6TH AVENUE, New York, NY","10011",40.73430233,-73.99898058
"269","ST NICKS 1633 FOOD CENTER CORP","1633 SAINT NICHOLAS AVE, New York, NY","10040",40.85596544,-73.92885759
