"","Name","Address","Zip","Latitude","Longitude"
"1","KEN HING FOOD MARKET INC","247 GRAND STREET, New York, NY","10002",40.71819208,-73.99420253
"2","TIN DUC FOOD MARKET INC","129 EAST BROADWAY, New York, NY","10002",40.71384051,-73.99199407
"3","VESEY STREET EDIBLES INC","20 VESEY STREET, New York, NY","10007",40.71175472,-74.00934999
"4","LIME TREE MARKET INC","400 E 9TH ST, New York, NY","10009",40.72810011,-73.98482667
"5","SWEET OLIVE INC","345 1ST AVE, New York, NY","10010",40.73503118,-73.97993495
"6","A & R NEWS & CANDY CORP","110 W HOUSTON STREET, New York, NY","10012",40.72742625,-74.00063718
"7","DEAN & DELUCA NEW YORK INC","560 BROADWAY, New York, NY","10012",40.72397706,-73.99790475
"8","UNITED GROCERY & DELI CORP","177 HUDSON STREET, New York, NY","10013",40.72253308,-74.00820128
"9","TRIBECA VILLAGE FARM INC","13 HUDSON STREET, New York, NY","10013",40.71621065,-74.00925954
"10","ERRAND GROCERY & DELI INC","301 W 13TH STREET, New York, NY","10014",40.73911481,-74.0030618
"11","GNB DELI INC","106 7TH AVE SOUTH, New York, NY","10014",40.73336303,-74.00301635
"12","W & J GROCERY CORP","11 EIGHTH AVE, New York, NY","10014",40.73759028,-74.00484934
"13","YOON HAE CHO","37A BEDFORD STREET, New York, NY","10014",43.17216774,-77.56652635
"14","C & P FOOD CORP","180 LEXINGTON AVENUE, New York, NY","10016",40.74453218,-73.98115174
"15","M & N SMOKE & CARD INC","129 E 28TH STREET, New York, NY","10016",40.74269986,-73.98246101
"16","M & A VARIETY STORE INC","248 E 44TH STREET, New York, NY","10017",40.75155778,-73.97242288
"17","MIDLANTIC CONVENIENCE INC","40 W 39TH STREET, New York, NY","10018",40.75204805,-73.98354103
"18","HADAR 94 FOOD INC","500 EAST 77TH STREET, New York, NY","10021",40.77000383,-73.95140417
"19","K & B GROCERY INC","1107 1ST AVENUE, New York, NY","10065",40.76068976,-73.96126163
"20","M & M FRUIT INC","1366 YORK AVENUE STORE #1, New York, NY","10021",40.76737694,-73.95325905
"21","MINI DELI INC","1266 2ND AVENUE, New York, NY","10021",40.76515507,-73.96093082
"22","TALA FOOD MARKET INC","1114 LEXINGTON AVE, New York, NY","10021",40.77413888,-73.95956267
"23","809 LEX GROCERY INC","809 LEXINGTON AVENUE, New York, NY","10021",40.76428532,-73.96658875
"24","DESSUK DELI INC","133 E 55TH STREET, New York, NY","10022",40.7596871,-73.97008442
"25","PRAKASHCHANDRA M SHAH","967 1ST AVENUE, New York, NY","10022",40.75586228,-73.96478953
"26","JOSEPHINE ZINGONE AS ADMX OF EST OF RALPH &","471 COLUMBUS AVE, New York, NY","10024",40.78422355,-73.97373101
"27","2451 BROADWAY MARKET INC","2451 BROADWAY, New York, NY","10024",40.79125259,-73.97447229
"28","ABEYSENIAN GROCERY INC","100 ST NICHOLAS AVE, New York, NY","10026",40.80238721,-73.95250384
"29","LORENZO A CORONA","2215A 7TH AVE, New York, NY","10027",43.19854291,-75.72863093
"30","NEOFYTOS DELI INC","1118 MADISON AVE, New York, NY","10028",40.7793169,-73.95998724
"31","H & F FRUIT CO INC","1391 MADISON AVE, New York, NY","10029",40.78757946,-73.95384175
"32","JUAN MANUEL REYES","3675 BROADWAY, New York, NY","10031",40.8309315,-73.94736749
"33","LUNA BROTHERS INC","3632 BROADWAY, New York, NY","10031",40.8293137,-73.94812681
"34","MIGUEL HENRIQUEZ","500 W 135TH ST, New York, NY","10031",40.81893927,-73.95231726
"35","4051 ABINADER GROCERY CORP","4051 BROADWAY, New York, NY","10032",40.84288037,-73.93928745
"36","SANTANA MARTE","362 AUDUBON AVENUE, New York, NY","10033",40.8500295,-73.93146282
"37","ORIGINAL SUPERMARKET CORP, THE","4261 BROADWAY, New York, NY","10033",40.85021042,-73.93577305
"38","VICTOR M GUZMAN","64 68 WADSWORTH TERRACE, New York, NY","10040",40.85653503,-73.9309906
"39","PRINCE DELI GROCERY CORP","1461 5TH AVE, New York, NY","10035",40.80195437,-73.94542512
"40","43RD DELI CORP, THE","600 10TH AVENUE, New York, NY","10036",40.76042616,-73.99480317
"41","H J FRUIT AND VEGETABLE INC","97 CATHERINE STREET, New York, NY","10038",40.71030289,-73.99641958
"42","MARIANO PEREZ","123 DYCKMAN ST, New York, NY","10040",40.86234183,-73.92515587
"43","NICHOLAS CONTE","1692 YORK AVENUE, New York, NY","10128",40.7776526,-73.94576114
"44","FIRST ON FIRST DELI INC","1756 1ST AVENUE, New York, NY","10128",40.78004098,-73.94696322
"45","A & BILL GROCERY CORP","4 W 31ST STREET, New York, NY","10001",40.74655426,-73.98614435
"46","RATAN NEWS CORP","171 W 29TH STREET, New York, NY","10001",40.74753403,-73.99202388
"47","AMIGO MINI MART INC","118 DELANCEY STREET, New York, NY","10002",40.71862074,-73.9880039
"48","FEDERICO A PICHARDO","130 ELDRIDGE STREET, New York, NY","10002",40.7187433,-73.9915704
"49","FURCO FOOD CORP","175 CLINTON STREET, New York, NY","10002",40.7154471,-73.98706198
"50","MARIAM FOOD CORP","43 COLUMBIA STREET, New York, NY","10002",40.71676383,-73.98048101
"51","TAN TIN HUNG CORP","121 BOWERY, New York, NY","10002",40.71821894,-73.99483328
"52","545 GRAND FOOD CORP","545 GRAND STREET, New York, NY","10002",40.71417767,-73.98082547
"53","DUAL SPECIALTY STORE INC","91 1ST AVENUE, New York, NY","10003",40.72615536,-73.98641717
"54","EAST VILLAGE FARM & GROCRY INC","69 2ND AVENUE, New York, NY","10003",40.72622784,-73.98947376
"55","GARDEN OF EDEN GOURMET INC","7 E 14TH ST, New York, NY","10003",40.7359072,-73.99325182
"56","NAMDOR INC","25 UNIVERSITY PLACE, New York, NY","10003",40.73169001,-73.99459848
"57","N M & A DELI CORP","169 3RD AVENUE, New York, NY","10003",40.73465838,-73.98608185
"58","PANYA INC OF N Y","4 STUYVESANT STREET 2ND FL, New York, NY","10003",40.72976663,-73.9895823
"59","SMZ IMPEX INC","146 2ND AVENUE, New York, NY","10003",40.72917766,-73.98717275
"60","JAN SERVICES 7TH AVENUE LLC","117 7TH AVENUE SOUTH, New York, NY","10007",40.73383222,-74.00259601
"61","BROTHERS CANDY & GROCERY STORE INC","542 EAST 14TH STREET, New York, NY","10009",40.72994165,-73.97938854
"62","BROS FOOD MARKET INC","188 198 AVENUE C, New York, NY","10009",40.72746858,-73.97628307
"63","F G W J FOOD CORPORATION","409 427 E 14TH STREET, New York, NY","10009",40.73119314,-73.98167701
"64","FUAD MOHAMED HASSAN","79 AVENUE A, New York, NY","10009",40.72519941,-73.98421235
"65","MAN DELL FOOD STORES INC","52 AVENUE A, New York, NY","10009",40.72407091,-73.98487741
"66","BEN ELHASEL DELI LLC","32 AVENUE B, New York, NY","10009",40.7225307,-73.98313182
"67","BROWN & WHITE MARKETS INC","311 E 23RD STREET, New York, NY","10010",40.73780015,-73.98055835
