"","License.Serial.Number","License.Type.Name","License.Class.Code","License.Type.Code","Agency.Zone.Office.Name","Agency.Zone.Office.Number","County.Name..Licensee.","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","License.Certificate.Number","License.Original.Issue.Date","License.Effective.Date","License.Expiration.Date","Latitude","Longitude","Location"
"11",1022449,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","YALE CLUB OF NEW YORK CITY,THE","","50 VANDERBILT AVE","","NEW YORK","NY","10017",871900,"","03/01/2017","02/28/2019",40.75373687,-73.97747607,"(40.75373687, -73.97747607)"
"12",1022452,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","CENTRAL FILING CLUB LTD","C/O BBDO NEW YORK","1285 AVENUE OF THE AMERICAS","","NEW YORK","NY","10019",857700,"","03/01/2016","02/28/2018",40.76070483,-73.97989374,"(40.76070483, -73.97989374)"
"13",1022454,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","CLUB METROPOLITAN INC","","146 W 57TH STREET","","NEW YORK","NY","10019",872562,"04/14/1992","04/01/2017","03/31/2019",40.76483529,-73.97855523,"(40.76483529, -73.97855523)"
"14",1022457,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","NEW YORK ATHLETIC CLUB,THE","NEW YORK ATHLETIC CLUB","180 CENTRAL PARK SOUTH","","NEW YORK","NY","10019",871196,"","03/01/2017","02/28/2019",40.76658982,-73.97854878,"(40.76658982, -73.97854878)"
"15",1022459,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","NIPPON CLUB INC,THE","","145 W 57TH STREET","CELLAR TO 7TH FLOOR","NEW YORK","NY","10019",8871179,"","03/01/2017","02/28/2019",40.7649079,-73.9784302,"(40.7649079, -73.9784302)"
"16",1022460,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","UNIVERSITY CLUB,THE","","1  W 54TH STREET","","NEW YORK","NY","10019",871278,"02/06/2009","03/01/2017","02/28/2019",40.76112249,-73.97539931,"(40.76112249, -73.97539931)"
"17",1022461,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","WOMENS NATIONAL REPUBLICAN CLUB INC","","3 W 51ST STREET","","NEW YORK","NY","10019",869769,"","03/01/2017","02/28/2019",40.75929954,-73.97691088,"(40.75929954, -73.97691088)"
"18",1022462,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","COLONY CLUB","","564 PARK AVE","","NEW YORK","NY","10021",871983,"","03/01/2017","02/28/2019",40.7650366,-73.96846162,"(40.7650366, -73.96846162)"
"19",1022463,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","COLUMBUS CITIZENS HOUSE INC","COLUMBUS CITIZENS FND","8 E 69TH STREET","","NEW YORK","NY","10021",857481,"","03/01/2016","02/28/2018",40.77023166,-73.96793008,"(40.77023166, -73.96793008)"
"20",1022466,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","GRIFFIS FACULTY CLUB INC","","521 E 68TH STREET","","NEW YORK","NY","10021",857768,"","03/01/2016","02/28/2018",40.76423694,-73.95535453,"(40.76423694, -73.95535453)"
"21",1022467,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","KNICKERBOCKER CLUB INC","","807 5TH AVENUE","","NEW YORK","NY","10021",871488,"08/25/1942","03/01/2017","02/28/2019",40.76596066,-73.97166753,"(40.76596066, -73.97166753)"
"22",1022468,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","LINKS CLUB INC","THE LINKS","36 E 62ND ST","","NEW YORK","NY","10065",871372,"","03/01/2017","02/28/2019",40.76532747,-73.96988248,"(40.76532747, -73.96988248)"
"23",1022469,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","LOTOS CLUB INC","","5 E 66TH STREET","","NEW YORK","NY","10021",871894,"10/01/1934","03/01/2017","02/28/2019",40.76860587,-73.96959584,"(40.76860587, -73.96959584)"
"24",1022470,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","MEMORIAL SLOAN KETTERING","CANCER CENTER","1233 YORK AVE","AKA 430 E 67TH ST","NEW YORK","NY","10021",862067,"05/12/1999","05/01/2017","04/30/2019",40.76365968,-73.95614153,"(40.76365968, -73.95614153)"
"25",1022471,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","REGENCY WHIST CLUB INC","","15 E 67TH STREET","ATTN MARGIE GEWIRTZ","NEW YORK","NY","10065",871985,"","03/01/2017","02/28/2019",NA,NA,""
"26",1022473,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","SOCIETY OF ILLUSTRATORS INC","","128 E 63RD STREET","","NEW YORK","NY","10065",872375,"04/25/1941","03/03/2017","02/28/2019",40.76482577,-73.96673971,"(40.76482577, -73.96673971)"
"27",1022475,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","COSMOPOLITAN CLUB,THE","","122 E 66TH ST & 129 E 65TH ST","","NEW YORK","NY","10065",871651,"","03/01/2017","02/28/2019",40.76669874,-73.9653711,"(40.76669874, -73.9653711)"
"28",1022476,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","JUNIOR LEAGUE OF THE,THE","CITY OF NEW YORK INC","128 130 E 80TH STREET","","NEW YORK","NY","10075",872039,"","03/01/2017","02/28/2019",40.77584852,-73.95905923,"(40.77584852, -73.95905923)"
"29",1022477,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","LEASH,THE","MEMBERSHIP CLUB","41 E 63RD STREET","","NEW YORK","NY","10021",871405,"","03/01/2017","02/28/2019",40.76598769,-73.96918879,"(40.76598769, -73.96918879)"
"30",1022478,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","NEW YORK ACADEMY/SCIENCES,THE","THE NY ACADEMY OF SCIENCES","250 GREENWICH ST 40TH FL","7 WORLD TRADE CENTER","NEW YORK","NY","10007",875485,"06/10/1993","06/02/2017","05/31/2019",40.71363059,-74.01171387,"(40.71363059, -74.01171387)"
"31",1022479,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","ROCKEFELLER UNIVERSITY,THE","FACULTY & STUDENTS CLUB INC","1230 52 YORK AVE","","NEW YORK","NY","10021",871669,"","03/01/2017","02/28/2019",40.72099344,-74.00552974,"(40.72099344, -74.00552974)"
"32",1022480,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","UNION CLUB OF THE CITY OF","NEW YORK INC","701 707 PARK AVE","","NEW YORK","NY","10021",871401,"04/20/2005","03/01/2017","02/28/2019",40.76929999,-73.96490726,"(40.76929999, -73.96490726)"
"33",1022482,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","DOUBLES INTERNATIONAL CLUB ENTERPRISES INC","","783 5TH AVE","","NEW YORK","NY","10022",857934,"01/28/2002","03/01/2016","02/28/2018",40.76457201,-73.97279851,"(40.76457201, -73.97279851)"
"34",1022483,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","FRIARS NATIONAL ASSOCIATION INC","","57 E 55TH STREET","","NEW YORK","NY","10022",872380,"01/30/1962","03/03/2017","02/28/2019",40.76077492,-73.97266075,"(40.76077492, -73.97266075)"
"35",1022484,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","HARMONIE CLUB OF THE CITY OF NEW YORK","HARMONIE CLUB","4 E 60TH STREET","","NEW YORK","NY","10022",871204,"12/05/1933","03/01/2017","02/28/2019",40.76473799,-73.97232598,"(40.76473799, -73.97232598)"
"36",1022487,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","RACQUET & TENNIS CLUB","","370 PARK AVE","","NEW YORK","NY","10022",872111,"","03/01/2017","02/28/2019",40.75888429,-73.97295134,"(40.75888429, -73.97295134)"
"37",1022488,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","BROOK INC,THE","","111 E 54TH STREET","","NEW YORK","NY","10022",869922,"","03/01/2017","02/28/2019",40.75950703,-73.97158125,"(40.75950703, -73.97158125)"
"38",1022489,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","TOWN TENNIS MEMBER CLUB INC","","430 E 56TH ST","","NEW YORK","NY","10022",858287,"12/05/1975","03/03/2016","02/28/2018",40.75732493,-73.9626929,"(40.75732493, -73.9626929)"
"39",1022490,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","METROPOLITAN CLUB INC,THE","","1 E 60TH STREET","","NEW YORK","NY","10022",872191,"03/01/1943","03/01/2017","02/28/2019",40.76492595,-73.97244663,"(40.76492595, -73.97244663)"
"40",1022491,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","RIVER CLUB OF NEW YORK INC,THE","","447 E 52ND STREET","","NEW YORK","NY","10022",872763,"02/25/2005","03/15/2017","02/28/2019",40.75474245,-73.96419237,"(40.75474245, -73.96419237)"
"41",1022492,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","METROPOLITAN OPERA CLUB","METROPOLITAN OPERA HOUSE","LINCOLN CENTER PLAZA","DRESS CIRCLE LEVEL","NEW YORK","NY","10023",857677,"09/19/1966","03/01/2016","02/28/2018",40.77246948,-73.98382168,"(40.77246948, -73.98382168)"
"42",1022494,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","TRUSTEES OF COLUMBIA UNIVERSITY, THE","IN THE CITY OF NY- FACULTY HOUSE","400 W 117TH ST","","NEW YORK","NY","10027",881496,"04/04/1973","03/01/2018","02/29/2020",40.80671436,-73.95908118,"(40.80671436, -73.95908118)"
"43",1022502,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","P H T A INC","CLUB 454","454 W 155TH STREET","","NEW YORK","NY","10032",861538,"10/17/1978","03/01/2016","02/28/2018",40.83090919,-73.941569,"(40.83090919, -73.941569)"
"44",1022503,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","COFFEE HOUSE INC","","20 WEST 44TH STREET, SIXTH FL","","NEW YORK","NY","10036",871821,"04/19/1938","03/01/2017","02/28/2019",40.75498858,-73.98061239,"(40.75498858, -73.98061239)"
"45",1022504,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","HARVARD CLUB OF NEW YORK CITY","","27 W 44TH STREET","","NEW YORK","NY","10036",8871175,"","03/01/2017","02/28/2019",40.75518486,-73.98078051,"(40.75518486, -73.98078051)"
"46",1022505,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","PENN CLUB OF NEW YORK INC","THE PENN CLUB","30 W 44TH ST","","NEW YORK","NY","10036",858722,"05/16/1994","05/01/2016","04/30/2018",40.75517077,-73.98089613,"(40.75517077, -73.98089613)"
"47",1022506,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","ASSOCIATION OF THE BAR,THE","OF THE CITY OF NEW YORK","42 W 44TH STREET","","NEW YORK","NY","10036",871711,"","03/01/2017","02/28/2019",40.7552837,-73.98131356,"(40.7552837, -73.98131356)"
"48",1022507,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","CENTURY ASSOCIATION,THE","","7 W 43RD STREET","","NEW YORK","NY","10036",8871181,"","03/01/2017","02/28/2019",40.75429448,-73.98062158,"(40.75429448, -73.98062158)"
"49",1022509,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","NEW YORK YACHT CLUB,THE","","37 41 W 44TH STREET","","NEW YORK","NY","10036",872099,"","03/01/2017","02/28/2019",40.75531627,-73.98109272,"(40.75531627, -73.98109272)"
"50",1022510,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","PRINCETON CLUB OF NEW YORK,THE","","15 W 43RD STREET","","NEW YORK","NY","10036",872708,"","03/13/2017","02/28/2019",40.75440405,-73.98086786,"(40.75440405, -73.98086786)"
"51",1022514,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","KOLPING SOCIETY OF NEW YORK","","165 E 88TH STREET","","NEW YORK","NY","10128",857341,"07/14/1966","03/01/2016","02/28/2018",40.78054258,-73.95391929,"(40.78054258, -73.95391929)"
"52",1022515,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","LIEDERKRANZ OF THE CITY OF,THE NEW YORK INC","","6 EAST 87TH STREET","","NEW YORK","NY","10128",871371,"03/25/1950","03/01/2017","02/28/2019",40.7820661,-73.9597696,"(40.7820661, -73.9597696)"
"53",1104448,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","PC CLUB INC","THE PHILLIPS CLUB","155 W 66TH ST-1ST FLOOR","","NEW YORK","NY","10023",859814,"","05/01/2016","04/30/2018",40.77428069,-73.98305871,"(40.77428069, -73.98305871)"
"54",1137859,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","SOHO HOUSE NEW YORK INC","SOHO HOUSE","29 35 9TH AVE 6TH FLOOR","13TH STREET & 14TH STREET","NEW YORK","NY","10014",877844,"09/17/2003","09/01/2017","08/31/2019",40.74029673,-74.00591736,"(40.74029673, -74.00591736)"
"55",1162849,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","LOS AMIGOS FISHING & HUNTING CLUB INC","","202 RIVINGTON STREET","RIDGE STREET & PITT STREET","NEW YORK","NY","10002",876502,"07/06/2005","07/10/2017","06/30/2019",40.71859939,-73.9833095,"(40.71859939, -73.9833095)"
"56",1163747,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","CORE CLUB MEMBERS CORP","","60 EAST 55TH STREET","PARK AVE & MADISON AVENUE","NEW YORK","NY","10022",877810,"09/08/2005","09/01/2017","08/31/2019",40.76065445,-73.97267357,"(40.76065445, -73.97267357)"
"57",1165139,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","CLUB DEPORTIVO DOMINICANO OF NEW YORK INC","","2088 AMSTERDAM AVENUE","163RD & 164TH STREETS","NEW YORK","NY","10032",877812,"09/16/2005","09/01/2017","08/31/2019",40.83675388,-73.93930273,"(40.83675388, -73.93930273)"
"58",1181346,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","CITIZENS ARTS CLUB INC","NORWOOD","241 W 14TH STREET","7TH AVENUE & 8TH AVENUE","NEW YORK","NY","10011",881959,"10/05/2007","10/01/2017","09/30/2019",40.73911163,-74.00079813,"(40.73911163, -74.00079813)"
"59",1220913,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","SYRACUSE UNIVERSITY","","11 E 61ST ST","MADISON & 5TH AVENUES","NEW YORK","NY","10065",876930,"09/03/2009","09/01/2017","08/31/2019",40.76524092,-73.97132158,"(40.76524092, -73.97132158)"
"60",1234449,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","FIFTEEN CENTRAL PARK WEST CLUB INC","","15 CENTRAL PARK WEST","","NEW YORK","NY","10023",880235,"12/10/2009","12/01/2017","11/30/2019",40.76944596,-73.98096493,"(40.76944596, -73.98096493)"
"61",1248166,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","69TH INFANTRY OFFICERS CLUB INC","","68 LEXINGTON AVENUE","1ST FLOOR","NEW YORK","NY","10010",872485,"03/03/2011","03/08/2017","02/28/2019",40.74106161,-73.98360934,"(40.74106161, -73.98360934)"
"62",1250934,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","PLAYERS INC, THE","THE PLAYERS","16 GRAMERCY PARK","","NEW YORK","NY","10003",873943,"04/01/2011","04/12/2017","03/31/2019",40.7377055,-73.98644126,"(40.7377055, -73.98644126)"
"63",1253215,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","EXPLORERS CLUB, THE","THE EXPLORERS CLUB","46 E 70TH ST","","NEW YORK","NY","10021",878124,"09/13/2011","09/01/2017","08/31/2019",40.77024126,-73.96601475,"(40.77024126, -73.96601475)"
"64",1254447,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","ANGLERS CLUB OF NEW YORK, THE","","101 BROAD ST FL 2","","NEW YORK","NY","10004",883240,"11/16/2011","11/01/2017","10/31/2019",40.70350367,-74.01153665,"(40.70350367, -74.01153665)"
"65",1260587,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","SPANISH BENEVOLENT SOCIETY INC","","239 W 14TH ST","1ST FLOOR","NEW YORK","NY","10011",865088,"09/18/2012","09/01/2016","08/31/2018",40.73903868,-74.00077599,"(40.73903868, -74.00077599)"
"66",1268519,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","GOLF & BODY NYC LLC","","883 6TH AVE","3RD FL & 4TH FLOOR / MEZZANINE","NEW YORK","NY","10001",869770,"03/20/2013","03/01/2017","02/28/2019",40.74825553,-73.98888304,"(40.74825553, -73.98888304)"
"67",1272412,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","SOHO-LUDLOW INC","LUDLOW HOUSE/LIVING ROOM","139 LUDLOW ST","","NEW YORK","NY","10002",840280,"05/19/2016","05/19/2016","04/30/2018",40.72041297,-73.98816681,"(40.72041297, -73.98816681)"
"68",1282028,"CLUB WINE",343,"CW","New York City",1,"NEW YORK","AMERICAN YOUTH HOSTELS INC","","891 AMSTERDAM AVE","","NEW YORK","NY","10025",887466,"01/28/2015","01/01/2017","12/31/2018",40.79889,-73.96674,"(40.79889, -73.96674)"
"69",1291584,"CLUB WINE",343,"CW","New York City",1,"NEW YORK","ALLIANCE FOR DOWNTOWN NEW YORK INC","LMHQ","150 BROADWAY","20TH FL","NEW YORK","NY","10038",896035,"02/03/2016","02/01/2018","01/31/2020",40.70927,-74.01027,"(40.70927, -74.01027)"
"70",1292700,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","56TH STREET DINING CLUB INC","","432 PARK AVE","","NEW YORK","NY","10022",866086,"08/24/2016","08/24/2016","07/31/2018",40.74422,-73.98365,"(40.74422, -73.98365)"
"71",1293258,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","STUDIO 466 INC","","466 LEXINGTON AVE","3RD FLOOR","NEW YORK","NY","10017",841079,"11/03/2016","12/01/2016","11/30/2018",40.75374,-73.97456,"(40.75374, -73.97456)"
"72",1303233,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","SAINT ANDREW'S SOCIETY OF THE STATE OF NEW YORK","","150 E 55TH ST","3RD FL","NEW YORK","NY","10022",862199,"08/10/2017","08/10/2017","07/31/2019",40.75921,-73.96938,"(40.75921, -73.96938)"
"73",1306039,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","21 WEST END ASSOCIATION INC","CAFE 21","21 WEST END AVE","","NEW YORK","NY","10023",862861,"01/05/2018","01/05/2018","12/31/2019",40.77226,-73.98998,"(40.77226, -73.98998)"
