"","License.Serial.Number","License.Type.Name","License.Class.Code","License.Type.Code","Agency.Zone.Office.Name","Agency.Zone.Office.Number","County.Name..Licensee.","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","License.Certificate.Number","License.Original.Issue.Date","License.Effective.Date","License.Expiration.Date","Latitude","Longitude","Location"
"1",1022429,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","NEW YORK UNIVERSITY","THE TORCH CLUB","18 WAVERLY PLACE","","NEW YORK","NY","10003",880145,"12/05/2005","12/01/2017","11/30/2019",40.73022495,-73.99468872,"(40.73022495, -73.99468872)"
"2",1022430,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","SALMAGUNDI CLUB INC","","47 5TH AVENUE","","NEW YORK","NY","10003",871899,"10/01/1935","03/01/2017","02/28/2019",40.73441277,-73.99467317,"(40.73441277, -73.99467317)"
"3",1022431,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","NATIONAL ARTS CLUB, THE","","15 GRAMERCY PARK S","","NEW YORK","NY","10003",871772,"","03/01/2017","02/28/2019",40.73781161,-73.98654384,"(40.73781161, -73.98654384)"
"4",1022433,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","UKRAINIAN AMERICAN SOCCER","ASSOCIATION INC","122 2ND AVENUE GR FL","","NEW YORK","NY","10003",857198,"","03/01/2016","02/28/2018",40.72816332,-73.98790286,"(40.72816332, -73.98790286)"
"5",1022436,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","DOWN TOWN ASSOCIATION","","60 62 64 PINE STREET","AKA 20 22 24 CEDAR STREET","NEW YORK","NY","10005",872260,"09/17/1935","03/01/2017","02/28/2019",40.70653859,-74.00818758,"(40.70653859, -74.00818758)"
"6",1022440,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","SERGEANTS MESS OF THE 69TH INFANTRY INC.","","68 LEXINGTON AVENUE","2ND FLOOR","NEW YORK","NY","10010",860140,"","05/01/2016","04/30/2018",40.74106161,-73.98360934,"(40.74106161, -73.98360934)"
"7",1022443,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","TIRO A SEGNO OF N Y INC","","73 75 77 MAC DOUGAL ST","","NEW YORK","NY","10012",872036,"08/25/1945","03/01/2017","02/28/2019",40.72858855,-74.00176564,"(40.72858855, -74.00176564)"
"8",1022444,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","ESTONIAN EDUCATIONAL","SOCIETY INC","243 E 34TH ST","","NEW YORK","NY","10016",872109,"","03/01/2017","02/28/2019",40.74512268,-73.97654995,"(40.74512268, -73.97654995)"
"9",1022445,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","UNION LEAGUE CLUB,THE","","38 E 37TH STREET","","NEW YORK","NY","10016",871550,"","03/01/2017","02/28/2019",40.74943875,-73.9811967,"(40.74943875, -73.9811967)"
"10",1022447,"CLUB LIQUOR",243,"CL","New York City",1,"NEW YORK","CORNELL CENTER OF NEW YORK INC","","6 E 44TH STREET","","NEW YORK","NY","10017",833514,"09/20/1989","09/01/2017","08/31/2019",40.754574,-73.979627,"(40.754574, -73.979627)"
