"","name","address","lat","lon","zip","type"
"63","AMC Loews Orpheum 7","1538 Third Ave (86th St.), New York, NY",40.7793582,-73.9539651,10028,"movie"
"64","AMC Village 7","66 Third Ave (11th St), New York, NY",40.7316029,-73.9887578,10003,"movie"
"65","Cinema Holdings LLC","485 Fashion Ave, New York, NY",40.7523508,-73.9892472,10018,"movie"
"66","Regal Cinemas Battery Park 11","102 North End Ave, New York, NY",40.7150015,-74.0152218,10282,"movie"
"67","Metrograph","7 Ludlow St, New York, NY",40.7150777,-73.9911809,10002,"movie"
"68","Future Cinema","17 W 20th St, New York, NY",40.7403982,-73.9921624,10011,"movie"
"69","Kirk Theatre (The)","410 W 42nd St, New York, NY",40.7583763,-73.9934141,10036,"movie"
"71","iPic New York","11 Fulton St, New York, NY",40.7067825,-74.0032893,10038,"movie"
"72","Nordic International Film Festival","58 Park Ave, New York, NY",40.7494475,-73.9800415,10016,"movie"
"73","Movie Star Inc","136 Madison Ave, New York, NY",40.7462294,-73.9844262,10016,"movie"
"74","Club Bijou 82 Cinema","82 E 4th St, New York, NY",40.7261773,-73.989892,10003,"movie"
"75","Moving Cinema","3 King St, New York, NY",40.7277325,-74.0027675,10012,"movie"
"76","59E59 THEATERS","59 E 59th St, New York, NY",40.7634424,-73.9704993,10022,"movie"
"77","Step Into The Light","355A Bowery, New York, NY",40.7267113,-73.9914692,10003,"movie"
"78","Just Like In the Movies","330 Lafayette St, New York, NY",40.7258536,-73.9949629,10012,"movie"
"79","Mind Movie","37 W 17th St, New York, NY",40.7388959,-73.9940906,10011,"movie"
"80","Imax","Central Park West, New York, NY",40.7848582,-73.9696519,10024,"movie"
"81","Art/NY","520 8th Ave, New York, NY",40.753645,-73.9919341,10018,"movie"
"82","Bruno Walter Auditorium","111 Amsterdam Ave, New York, NY",40.7735004,-73.9846099,10023,"movie"
"83","SVA Theatre","333 W 23rd St, New York, NY",40.7461019,-73.9998523,10011,"movie"
"117","45th Street Theater","354 West 45th Street",40.75985115,-73.99061841,10036,"art"
"210","47th Street Theater","304 West 47th Street",40.76047123,-73.98810595,10036,"art"
"310","5.90E+60","59 East 59th Street",40.76339943,-73.9703845,10022,"art"
"410","Acorn Theater","410 West 42nd Street",40.75853668,-73.99332385,10036,"art"
"510","Al Hirschfeld Theater","302 W 45th Street",40.75926091,-73.98921433,10036,"art"
"610","Ambassador Theatre","219 West 49th Street",40.76125861,-73.98500141,10019,"art"
"710","American Airlines Theatre","227 W 42nd Street",40.75677874,-73.98804924,10036,"art"
"810","Apollo Theater","253 West 125th Street",40.81003732,-73.95003984,10027,"art"
"99","Arclight Theatre","152 W 71st St",40.77711991,-73.98121029,10023,"art"
"1010","Astor Place Theatre","434 Lafayette St",40.72937741,-73.99234386,10003,"art"
"118","Atlantic Theatre","336 W 20th St",40.74388769,-74.00155441,10011,"art"
"121","August Wilson Theatre","245 W 52nd Street",40.76337196,-73.98419954,10019,"art"
"131","Barrow Street Theatre","27 Barrow St",40.73232948,-74.00308826,10014,"art"
"141","Beacon Theatre","2124 Broadway",40.78056073,-73.98099284,10023,"art"
"151","Belasco Theatre","111 W 44th St",40.75665277,-73.98378604,10036,"art"
"161","Bernard B. Jacobs Theatre","242 W 45th Street",40.75862947,-73.98772366,10036,"art"
"171","Bleecker Street Theater","45 Bleecker Street",40.72595305,-73.99417513,10012,"art"
"181","Booth Theatre","222 W 45th St",40.75837297,-73.98708846,10036,"art"
"191","Broadhurst Theatre","235 W 44th St",40.75826441,-73.98762266,10036,"art"
"201","Broadway Theatre","1681 Broadway",40.7632702,-73.98335055,10019,"art"
"211","Brooks Atkinson Theatre","256 W 47th St",40.75995785,-73.98698343,10036,"art"
"221","Castillo Theater","543 West 42nd Street",40.76060535,-73.99696366,10036,"art"
"231","Century Center For the Performing Arts","111 E 15th St",40.73516748,-73.98888987,10003,"art"
"241","Cherry Lane Theatre","38 Commerce Street",40.73126211,-74.00531119,10014,"art"
"251","Circle In the Square Theatre","1633 Broadway",40.76202946,-73.98454847,10019,"art"
"261","Connelly Theater","220 E 4th St",40.72357459,-73.98361168,10009,"art"
"271","Cort Theatre","138 W 48th St",40.75911744,-73.98305629,10036,"art"
"281","Daryl Roth Theatre","101 E 15th St",40.7352828,-73.98936977,10003,"art"
"291","Duke Theatre","229 W. 42nd St",40.75682251,-73.98817225,10036,"art"
"301","Ed Sullivan Theater","1697 Broadway",40.76380679,-73.98289839,10019,"art"
"311","Ethel Barrymore Theatre","243 West 47th Street",40.76010048,-73.98615678,10036,"art"
"321","Eugene O'Neill Theater","230 W 49th St",40.76107756,-73.98576311,10019,"art"
"331","Gene Frankel Theatre Workshop","24 Bond St",40.72667008,-73.99363928,10012,"art"
"341","Gerald Schoenfeld Theatre","236 W 45th Street",40.75850593,-73.98742769,10036,"art"
"351","Gershwin Theatre","222 W 51st St",40.76242129,-73.98515837,10019,"art"
"361","Gramercy Arts Theatre","138 E 27th St",40.74165282,-73.98257771,10016,"art"
"371","Greenwich Street Theater","547 Greenwich St",40.72729299,-74.00862295,10013,"art"
"381","Harold Clurman Theater","412 W 42nd St",40.75853551,-73.99342334,10036,"art"
"391","Helen Hayes Theater","240 W 44th St",40.7578637,-73.98783931,10036,"art"
"401","Henry Miller Theatre","124 W 43rd St",40.75556598,-73.98471393,10036,"art"
"411","Here Theater","145 6th Avenue",40.72512759,-74.00494631,10013,"art"
"421","Hilton Theatre","214 W 43rd Street",40.75659286,-73.98761936,10036,"art"
"431","Imperial Theatre","249 W 45th St",40.75894905,-73.98734088,10036,"art"
"441","Jane Street Theatre","113 Jane St",40.7382994,-74.00932443,10014,"art"
"451","John Golden Theatre","252 W 45th St",40.75872007,-73.98796549,10036,"art"
"461","Julia Miles Theater","424 W 55th St",40.76688568,-73.98789903,10019,"art"
"471","Kraine Theater","85 E 4th Street",40.7265902,-73.98980049,10003,"art"
"481","La Mama Experimental Theatre","74A East 4th St",40.7263277,-73.99020242,10003,"art"
"491","Lamb's Theatre","130 W 44th St",40.75649368,-73.98458378,10036,"art"
"501","Laura Pels Theater","111 W 46th Street",40.75786783,-73.98243996,10001,"art"
