,zipcode,count
1,10001,9
2,10002,2
3,10003,13
4,10004,2
5,10005,3
6,10006,2
7,10007,2
8,10009,4
9,10010,6
10,10011,13
11,10012,6
12,10013,4
13,10014,2
14,10016,7
15,10017,6
16,10018,7
17,10019,12
18,10021,9
19,10022,10
20,10023,7
21,10024,5
22,10025,11
23,10026,2
24,10027,4
25,10028,6
26,10029,5
27,10030,1
28,10031,2
29,10032,2
30,10033,3
31,10034,1
32,10035,2
33,10036,7
34,10038,4
35,10039,1
36,10040,2
37,10065,5
38,10075,1
39,10128,8
40,10282,1
