"","Var1","Freq"
"1","0",1
"2","10001",4
"3","10002",2
"4","10003",13
"5","10009",3
"6","10011",2
"7","10012",4
"8","10013",7
"9","10014",8
"10","10016",1
"11","10018",1
"12","10019",13
"13","10022",2
"14","10023",3
"15","10024",1
"16","10025",1
"17","10027",2
"18","10028",1
"19","10036",45
"20","10038",1
"21","11101",1
"22","11352",1
