"","X","LOCATION","SHELTER_ID","the_geom","AT_BETWEEN","LONGITUDE","LATITUDE","zipcode"
"224",1714,"AMSTERDAM AV","MN01239","POINT (-73.941866 40.833301)","W 158 ST",-73.941866,40.833301,10032
"225",1715,"W 57 ST","MN01242","POINT (-73.976838 40.764058)","6 AV",-73.976838,40.764058,10019
"226",1716,"W 57 ST","MN01244","POINT (-73.982276 40.766575)","BROADWAY",-73.982276,40.766575,10019
"227",1717,"EDGECOMBE AV","MN01246","POINT (-73.937214 40.836276)","W 164 ST",-73.937214,40.836276,10032
"228",1718,"W 106 ST","MN01247","POINT (-73.962648 40.799034)","COLUMBUS AV",-73.962648,40.799034,10025
"229",1719,"E 23 ST","MN01249","POINT (-73.98055 40.737619)","2 AV",-73.98055,40.737619,10010
"230",1720,"AMSTERDAM AV","MN01250","POINT (-73.96813 40.796912)","W 100 ST",-73.96813,40.796912,10025
"231",1721,"W 14 ST","MN01251","POINT (-73.999353 40.738307)","7 AV",-73.999353,40.738307,10011
"232",1722,"BROADWAY","MN01253","POINT (-73.978888 40.785642)","W 82 ST",-73.978888,40.785642,10024
"233",1723,"E 106 ST","MN01254","POINT (-73.942721 40.79085200000001)","2 AV",-73.942721,40.790852,10029
"234",1724,"W 110 ST","MN01255","POINT (-73.9594 40.8009)","MANHATTAN AV",-73.9594,40.8009,10026
"235",1725,"FREDERICK DOUGLASS BLVD","MN01257","POINT (-73.942595 40.82172)","W 143 ST",-73.942595,40.82172,10030
"236",1726,"FREDERICK DOUGLASS BLVD","MN01258","POINT (-73.949873 40.811747)","W 127 ST",-73.949873,40.811747,10027
"237",1727,"FREDERICK DOUGLASS BLVD","MN01259","POINT (-73.943463 40.820522)","W 141 ST",-73.943463,40.820522,10030
"238",1728,"2 AV","MN0126","POINT (-73.972567 40.749556)","E 42 ST",-73.972567,40.749556,10017
"239",1729,"ADAM CLAYTON POWELL BLVD","MN01260","POINT (-73.937994 40.823443)","W 148 ST",-73.937994,40.823443,10039
"240",1730,"ADAM CLAYTON POWELL BLVD","MN01261","POINT (-73.937803 40.823067)","W 147 ST",-73.937803,40.823067,10039
"241",1731,"ADAM CLAYTON POWELL BLVD","MN01262","POINT (-73.947291 40.810744)","W 128 ST",-73.947291,40.810744,10027
"242",1732,"AMSTERDAM AV","MN01264","POINT (-73.983692 40.775589)","W 67 ST",-73.983692,40.775589,10023
"243",1733,"WORTH ST","MN01265","POINT (-74.005671 40.71673)","CHURCH ST",-74.005671,40.71673,10013
"244",1734,"5 AV","MN01267","POINT (-73.945807 40.801787)","W 118 ST",-73.945807,40.801787,10035
"245",1735,"FREDERICK DOUGLASS BLVD","MN01268","POINT (-73.949044 40.812874)","W 129 ST",-73.949044,40.812874,10027
"246",1736,"ADAM CLAYTON POWELL BLVD","MN01269","POINT (-73.936951 40.824246)","W 149 ST",-73.936951,40.824246,10039
"247",1737,"E 42 ST","MN0127","POINT (-73.97249600000002 40.750054)","2 AV",-73.972496,40.750054,10017
"248",1738,"BROADWAY","MN01270","POINT (-73.982018 40.77415)","W 66 ST",-73.982018,40.77415,10023
"249",1739,"3 AV","MN01271","POINT (-73.953468 40.779304)","E 87 ST",-73.953468,40.779304,10028
"250",1740,"AMSTERDAM AV","MN01273","POINT (-73.944407 40.829829)","W 152 ST",-73.944407,40.829829,10031
"251",1741,"ST NICHOLAS AV","MN01274","POINT (-73.946314 40.821075)","W 141 ST",-73.946314,40.821075,10030
"252",1742,"9 AV","MN01275","POINT (-73.985047 40.769046)","W 59 ST",-73.985047,40.769046,10019
"253",1743,"TRINITY PL","MN01276","POINT (-74.01258 40.708184)","RECTOR ST",-74.01258,40.708184,10006
"254",1744,"E 23 ST","MN01281","POINT (-73.981214 40.737902)","2 AV",-73.981214,40.737902,10010
"255",1745,"MADISON ST","MN01282","POINT (-73.991971 40.712399)","PIKE ST",-73.991971,40.712399,10002
"256",1746,"MADISON ST","MN01283","POINT (-73.992098 40.712556)","PIKE ST",-73.992098,40.712556,10002
"257",1747,"E 86 ST","MN01284","POINT (-73.949086 40.776869)","1 AV",-73.949086,40.776869,10028
"258",1748,"7 AV","MN01287","POINT (-73.997256 40.742094)","W 20 ST",-73.997256,40.742094,10011
"259",1749,"2 AV","MN0129","POINT (-73.988898 40.727113)","E 6 ST",-73.988898,40.727113,10003
"260",1750,"E 106 ST","MN01294","POINT (-73.946017 40.792029)","LEXINGTON AV",-73.946017,40.792029,10029
"261",1751,"PEARL ST","MN01295","POINT (-74.003488 40.707852)","BEEKMAN ST",-74.003488,40.707852,10038
"262",1752,"MALCOLM X BLVD","MN01296","POINT (-73.9366 40.820198)","W 145 ST",-73.9366,40.820198,10030
"263",1753,"MANHATTAN AV","MN01297","POINT (-73.956873 40.804821)","W 116 ST",-73.956873,40.804821,10026
"264",1754,"AV C","MN01298","POINT (-73.978674 40.724488)","E 8 ST",-73.978674,40.724488,10009
"265",1755,"GRAND ST","MN01299","POINT (-73.988717 40.716453)","ESSEX ST",-73.988717,40.716453,10002
"266",1756,"MADISON ST","MN01300","POINT (-73.984248 40.713247)","GOUVERNEUR ST",-73.984248,40.713247,10002
"267",1757,"AMSTERDAM AV","MN01301","POINT (-73.940188 40.835169)","W 161 ST",-73.940188,40.835169,10032
"268",1758,"FT WASHINGTON AV","MN01302","POINT (-73.935338 40.85732)","W 190 ST",-73.935338,40.85732,10040
"269",1759,"ADAM CLAYTON POWELL BLVD","MN01303","POINT (-73.941502 40.817998)","W 139 ST",-73.941502,40.817998,10030
