"","name","address","lat","lon","zip","type"
"1","KEN HING FOOD MARKET INC","247 GRAND STREET, New York, NY",40.71819208,-73.99420253,10002,"Grocery"
"2","TIN DUC FOOD MARKET INC","129 EAST BROADWAY, New York, NY",40.71384051,-73.99199407,10002,"Grocery"
"3","VESEY STREET EDIBLES INC","20 VESEY STREET, New York, NY",40.71175472,-74.00934999,10007,"Grocery"
"4","LIME TREE MARKET INC","400 E 9TH ST, New York, NY",40.72810011,-73.98482667,10009,"Grocery"
"5","SWEET OLIVE INC","345 1ST AVE, New York, NY",40.73503118,-73.97993495,10010,"Grocery"
"6","A & R NEWS & CANDY CORP","110 W HOUSTON STREET, New York, NY",40.72742625,-74.00063718,10012,"Grocery"
"7","DEAN & DELUCA NEW YORK INC","560 BROADWAY, New York, NY",40.72397706,-73.99790475,10012,"Grocery"
"8","UNITED GROCERY & DELI CORP","177 HUDSON STREET, New York, NY",40.72253308,-74.00820128,10013,"Grocery"
"9","TRIBECA VILLAGE FARM INC","13 HUDSON STREET, New York, NY",40.71621065,-74.00925954,10013,"Grocery"
"10","ERRAND GROCERY & DELI INC","301 W 13TH STREET, New York, NY",40.73911481,-74.0030618,10014,"Grocery"
"11","GNB DELI INC","106 7TH AVE SOUTH, New York, NY",40.73336303,-74.00301635,10014,"Grocery"
"12","W & J GROCERY CORP","11 EIGHTH AVE, New York, NY",40.73759028,-74.00484934,10014,"Grocery"
"13","YOON HAE CHO","37A BEDFORD STREET, New York, NY",43.17216774,-77.56652635,10014,"Grocery"
"14","C & P FOOD CORP","180 LEXINGTON AVENUE, New York, NY",40.74453218,-73.98115174,10016,"Grocery"
"15","M & N SMOKE & CARD INC","129 E 28TH STREET, New York, NY",40.74269986,-73.98246101,10016,"Grocery"
"16","M & A VARIETY STORE INC","248 E 44TH STREET, New York, NY",40.75155778,-73.97242288,10017,"Grocery"
"17","MIDLANTIC CONVENIENCE INC","40 W 39TH STREET, New York, NY",40.75204805,-73.98354103,10018,"Grocery"
"18","HADAR 94 FOOD INC","500 EAST 77TH STREET, New York, NY",40.77000383,-73.95140417,10021,"Grocery"
"19","K & B GROCERY INC","1107 1ST AVENUE, New York, NY",40.76068976,-73.96126163,10065,"Grocery"
"20","M & M FRUIT INC","1366 YORK AVENUE STORE #1, New York, NY",40.76737694,-73.95325905,10021,"Grocery"
"21","MINI DELI INC","1266 2ND AVENUE, New York, NY",40.76515507,-73.96093082,10021,"Grocery"
"22","TALA FOOD MARKET INC","1114 LEXINGTON AVE, New York, NY",40.77413888,-73.95956267,10021,"Grocery"
