"","X.1","X","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION","ADDRESS","lon","lat"
"1",1,1,"NEW DOUBLE DRAGON","37","1 AVENUE",10003,"Chinese","37, 1 AVENUE, New York, NY",-73.9880763,40.7242202
"2",2,2,"CHAPATI HOUSE","3153","BROADWAY",10027,"Indian","3153, BROADWAY, New York, NY",-73.9595628,40.8146204
"3",4,4,"THE JUNCTION","329","LEXINGTON AVENUE",10016,"American","329, LEXINGTON AVENUE, New York, NY",-73.9773326,40.7492944
"4",5,5,"RUFFIAN WINE BAR","125","E 7TH ST",10009,"Continental","125, E 7TH ST, New York, NY",-73.9840819,40.7264335
"5",6,6,"LA BOITE EN BOIS","75","WEST   68 STREET",10023,"French","75, WEST   68 STREET, New York, NY",-73.9802596,40.7748986
"6",7,7,"ANDY'S DELI","291","BROADWAY",10007,"American","291, BROADWAY, New York, NY",-74.0060729,40.7149162
"7",9,9,"FRESH & CO","261-267","CANAL ST",10013,"American","261-267, CANAL ST, New York, NY",-74.0010208,40.7190047
"8",10,10,"POMODORO RISTORANTE","51","SPRING STREET",10012,"Pizza/Italian","51, SPRING STREET, New York, NY",-73.9963862,40.7221166
"9",11,11,"HAVANA CENTRAL","151","WEST   46 STREET",10036,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","151, WEST   46 STREET, New York, NY",-73.9841033,40.7584152
"10",12,12,"CITY CAFE","35","WEST   43 STREET",10036,"Delicatessen","35, WEST   43 STREET, New York, NY",-73.9819783,40.7550851
"11",15,15,"SHANGHAI ASIAN CUISINE","14A","ELIZABETH ST",10013,"Chinese","14A, ELIZABETH ST, New York, NY",-73.9969389,40.7158069
"12",16,16,"JACK'S STIR BREW COFFEE","222","FRONT STREET",10038,"Caf̩/Coffee/Tea","222, FRONT STREET, New York, NY",-74.0023126,40.7075822
"13",17,17,"ESSEN","290","MADISON AVENUE",10017,"American","290, MADISON AVENUE, New York, NY",-73.980294,40.7518956
"14",18,18,"THE RIVER CLUB","447","EAST   52 STREET",10022,"American","447, EAST   52 STREET, New York, NY",-73.9632744,40.7544774
"15",19,19,"CHIRPING CHICKEN","587","9TH AVE",10036,"Chicken","587, 9TH AVE, New York, NY",-73.9926049,40.7588161
"16",21,21,"BUFFALO BOSS","17","W 125TH ST",10027,"Chicken","17, W 125TH ST, New York, NY",-73.9431103,40.8069663
"17",22,22,"CAPRI BAKERY","186","EAST  116 STREET",10029,"Bakery","186, EAST  116 STREET, New York, NY",-73.9405047,40.7979864
"18",26,26,"RESERVE CUT","40","BROAD ST",10004,"Jewish/Kosher","40, BROAD ST, New York, NY",-74.0117654,40.7060275
"19",27,27,"SANTINA","820","WASHINGTON ST",10014,"Armenian","820, WASHINGTON ST, New York, NY",-74.008443,40.7396079
"20",28,28,"UMAMI BURGER","432","AVENUE OF THE AMERICAS",10011,"Hamburgers","432, AVENUE OF THE AMERICAS, New York, NY",-73.9985898,40.7343992
"21",29,29,"MIDO","612","AMSTERDAM AVE",10024,"Asian","612, AMSTERDAM AVE, New York, NY",-73.9735756,40.7901213
"22",30,30,"CHICK'NCONE","1000 S","8TH AVE",10019,"Other","1000 S, 8TH AVE, New York, NY",-73.9833642,40.7686743
"23",32,32,"CARBONE","331","W 38TH ST",10018,"Italian","331, W 38TH ST, New York, NY",-73.9930347,40.7554213
"24",34,34,"PARMA RESTAURANT","1404","3 AVENUE",10075,"Italian","1404, 3 AVENUE, New York, NY",-73.9571291,40.7749003
"25",35,35,"LUCKY DELI","12","EAST   37 STREET",10016,"Delicatessen","12, EAST   37 STREET, New York, NY",-73.9823124,40.7497951
"26",36,36,"BOWERY ELECTRIC","327","BOWERY",10003,"American","327, BOWERY, New York, NY",-73.9916803,40.7257162
"27",37,37,"JADE GARDEN","4028","BROADWAY",10032,"Chinese","4028, BROADWAY, New York, NY",-73.9389251,40.8418106
"28",38,38,"TWO DOORS TAVERN","1576","3 AVENUE",10128,"American","1576, 3 AVENUE, New York, NY",-73.9529963,40.7805616
"29",40,40,"ROTH BAR","548","W 22ND ST",10011,"American","548, W 22ND ST, New York, NY",-74.007014,40.747812
"30",41,41,"ZINC","82","WEST    3 STREET",10012,"American","82, WEST    3 STREET, New York, NY",-73.9989571,40.7297021
"31",42,42,"THE CONFESSION BOX","304","EAST   78 STREET",10075,"American","304, EAST   78 STREET, New York, NY",-73.9552349,40.7723066
"32",43,43,"PANCA","92","7 AVENUE SOUTH",10014,"Peruvian","92, 7 AVENUE SOUTH, New York, NY",-74.0035291,40.7328667
"33",46,46,"BURGER HEAVEN","9","E 53RD ST",10022,"American","9, E 53RD ST, New York, NY",-73.9749106,40.7602871
"34",47,47,"PINOCCHIO RISTORANTE","1748","1 AVENUE",10128,"Italian","1748, 1 AVENUE, New York, NY",-73.9469807,40.7796671
"35",49,49,"HEARTLAND BREWERY","127","WEST   43 STREET",10036,"American","127, WEST   43 STREET, New York, NY",-73.984564,40.7561682
"36",50,50,"TARTINE","253","WEST   11 STREET",10014,"English","253, WEST   11 STREET, New York, NY",-74.0034562,40.7363632
"37",51,51,"ROCKWOOD MUSIC HALL (STAGE ZERO)","196","ALLEN STREET",10002,"American","196, ALLEN STREET, New York, NY",-73.9885967,40.7223016
"38",52,52,"LITTLE ITALY PIZZA III","122","UNIVERSITY PLACE",10003,"Pizza/Italian","122, UNIVERSITY PLACE, New York, NY",-73.9924003,40.7347673
"39",53,53,"ROUGE TOMATE","126","W 18TH ST",10011,"French","126, W 18TH ST, New York, NY",-73.9962661,40.7402203
"40",56,56,"PERK KAFE","1867","2ND AVE",10029,"Caf̩/Coffee/Tea","1867, 2ND AVE, New York, NY",-73.9472343,40.7845962
"41",57,57,"WO HOP 17","17","MOTT STREET",10013,"Chinese","17, MOTT STREET, New York, NY",-73.9989227,40.7142792
