"","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","Latitude","Longitude","Location"
"812","SHADWICK INC","BRAVEST","700 2ND AVENUE","38TH STREET & 2ND AVENUE","NEW YORK","NY",10016,40.74717179,-73.97403393,"(40.74717179, -73.97403393)"
"813","BIERGARTEN AMERICA INC","LORELEY","7 RIVINGTON STREET","BOWERY & CHRYSTIE STREETS","NEW YORK","NY",10002,40.72140026,-73.99297811,"(40.72140026, -73.99297811)"
"814","SUN YUE TUNG CORP","","55 79 DIVISION ST","AKA 88 E BR","NEW YORK","NY",10002,40.71414432,-73.99503568,"(40.71414432, -73.99503568)"
"815","MR KABOB RESTAURANT INC","RAVAGH PERSIAN GRILL","11 EAST 30TH STREET","5TH AVENUE & MADISON AVENUE","NEW YORK","NY",10016,40.74561891,-73.98555835,"(40.74561891, -73.98555835)"
"816","FGM 8TH RESTAURANT CORP","RUMOURS","933 8TH AVE","55TH & 56TH STREETS","NEW YORK","NY",10019,40.76553384,-73.9837962,"(40.76553384, -73.9837962)"
"817","CHINA GRILL MANAGEMENT 12 E 22 LLC","ALMOND","12 E 22ND STREET","","NEW YORK","NY",10010,40.7405014,-73.9893222,"(40.7405014, -73.9893222)"
"818","OOPS OF NEW YORK INC","BOXCAR LOUNGE","168 AVENUE B","EAST 10TH & 11TH STREETS","NEW YORK","NY",10009,40.72711702,-73.9797933,"(40.72711702, -73.9797933)"
"819","CHIPOTLE MEXICAN GRILL OF COLORADO LLC","","150 E 44TH STREET","3RD & LEXINGTON","NEW YORK","NY",10017,40.75229954,-73.97424201,"(40.75229954, -73.97424201)"
"820","CARIBE SOCIAL ATHLETIC INC","","339 E 115TH STREET  2ND FLOOR","2ND AVENUE & 1ST AVENUE","NEW YORK","NY",10029,40.79598664,-73.93730204,"(40.79598664, -73.93730204)"
"821","RABTRA LLC","ART BAR","52 8TH AVENUE","HORATIO & JANE STREETS","NEW YORK","NY",10014,40.73860864,-74.00348572,"(40.73860864, -74.00348572)"
