"","Zip","COUNT","RANKING"
"1",10001,158,11
"2",10002,163,10
"3",10003,242,3
"4",10004,36,26
"5",10005,14,37
"6",10006,15,36
"7",10007,33,28
"8",10009,120,12
"9",10010,91,16
"10",10011,180,7
"11",10012,171,8
"12",10013,181,6
"13",10014,201,4
"14",10016,167,9
"15",10017,103,13
"16",10018,101,14.5
"17",10019,284,1
"18",10020,16,35
"19",10021,101,14.5
"20",10022,186,5
"21",10023,73,19
"22",10024,88,17
"23",10025,71,20
"24",10026,28,29.5
"25",10027,40,23.5
"26",10028,78,18
"27",10029,34,27
"28",10030,7,39
"29",10031,25,31
"30",10032,17,34
"31",10033,28,29.5
"32",10034,39,25
"33",10035,8,38
"34",10036,247,2
"35",10037,3,42
"36",10038,47,22
"37",10039,2,44
"38",10040,23,32
"39",10065,40,23.5
"40",10075,22,33
"41",10110,2,44
"42",10112,2,44
"43",10128,66,21
"44",10280,6,40.5
"45",10282,6,40.5
