"","X.2","X.1","X","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION","ADDRESS","lon","lat"
"71",73,110,110,"KAJITSU","125","EAST   39 STREET",10016,"Japanese","125, EAST   39 STREET, New York, NY",-73.9776999,40.7498869
"72",74,111,111,"MOMOFUKU MILK BAR UWS","561","COLUMBUS AVENUE",10024,"Others","561, COLUMBUS AVENUE, New York, NY",-73.9714006,40.7871769
"73",75,114,114,"EASTEND BAR & GRILL","1664","1 AVENUE",10028,"American","1664, 1 AVENUE, New York, NY",-73.9487508,40.7772838
"74",76,115,115,"FORT WASHINGTON BAKERY AND DELI","808","WEST  181 STREET",10033,"Others","808, WEST  181 STREET, New York, NY",-73.9387032,40.8508873
"75",77,117,117,"DAG'S THE PATIO","342","E 47TH ST",10017,"Others","342, E 47TH ST, New York, NY",-73.9686555,40.7520017
"76",78,119,119,"CHOP SHOP KITCHEN","41","W 24TH ST",10010,"Others","41, W 24TH ST, New York, NY",-73.9911983,40.7432724
"77",79,120,120,"KOBEYAKI","293","7 AVENUE",10001,"Japanese","293, 7 AVENUE, New York, NY",-73.9937535,40.7462574
"78",80,121,121,"BLARNEY ROCK","137","WEST   33 STREET",10001,"Others","137, WEST   33 STREET, New York, NY",-73.9898968,40.7500761
"79",81,123,123,"THE KATI ROLL COMPANY","229","EAST   53 STREET",10022,"Others","229, EAST   53 STREET, New York, NY",-73.9681035,40.7573616
"80",82,124,124,"THE BITTER END","147","BLEECKER STREET",10012,"American","147, BLEECKER STREET, New York, NY",-73.9991763,40.728369
"81",83,125,125,"AMBER","381","3RD AVE",10016,"Others","381, 3RD AVE, New York, NY",-73.9809254,40.741496
"82",84,126,126,"DALTON'S BAR & GRILL","611","9 AVENUE",10036,"American","611, 9 AVENUE, New York, NY",-73.9922542,40.75944
"83",85,127,127,"JOE'S SHANGHAI RESTAURANT","24","WEST   56 STREET",10019,"Chinese","24, WEST   56 STREET, New York, NY",-73.9759092,40.7627538
"84",86,128,128,"DEGREZIA","231","EAST   50 STREET",10022,"Italian","231, EAST   50 STREET, New York, NY",-73.9694351,40.7555054
"85",87,129,129,"VOGA LOUNGE & GRILL","300","AUDUBON AVE",10033,"Others","300, AUDUBON AVE, New York, NY",-73.9328223,40.8482229
"86",88,130,130,"FRANCISCO'S CENTRO VASCO","159","WEST   23 STREET",10011,"Others","159, WEST   23 STREET, New York, NY",-73.9949259,40.7438001
"87",89,131,131,"INDIKITCH","25","W 23RD ST",10010,"Others","25, W 23RD ST, New York, NY",-73.9904449,40.742221
"88",90,132,132,"LUKE'S LOBSTER","426","AMSTERDAM AVENUE",10024,"Others","426, AMSTERDAM AVENUE, New York, NY",-73.977874,40.784224
"89",91,134,134,"DON PANCHITO RESTAURANT","2102","AMSTERDAM AVENUE",10032,"Others","2102, AMSTERDAM AVENUE, New York, NY",-73.9390361,40.8375606
"90",92,136,136,"SAIGON VIETNAMESE SANDWICH","369","BROOME ST",10013,"Others","369, BROOME ST, New York, NY",-73.9958662,40.7199353
"91",93,138,138,"LA BROCHETTE STEAKHOUSE.","340","LEXINGTON AVE",10016,"Others","340, LEXINGTON AVE, New York, NY",-73.9774244,40.7498478
"92",94,140,140,"MAY WAH PORK CHOP FAST FOOD","190","HESTER ST",10013,"Chinese","190, HESTER ST, New York, NY",-73.9984521,40.7182002
"93",95,141,141,"STK","28","LITTLE WEST   12 STREET",10014,"American","28, LITTLE WEST   12 STREET, New York, NY",-74.0074731,40.7397702
"94",96,142,142,"CARAVAN OF DREAMS","405","EAST    6 STREET",10009,"Others","405, EAST    6 STREET, New York, NY",-73.9856544,40.7263961
"95",97,144,144,"OYSTER BAR","0","GRAND CENTRAL TERMINAL",10017,"Others","0, GRAND CENTRAL TERMINAL, New York, NY",-73.9772294,40.7527262
"96",98,145,145,"CHI DUMPLINGS & NOODLES","1","W 58TH ST",10019,"Others","1, W 58TH ST, New York, NY",-73.9742747,40.7642202
"97",100,147,147,"SERGIMMO SALUMERIA","456","9 AVENUE",10018,"Italian","456, 9 AVENUE, New York, NY",-73.995422,40.7542547
"98",101,148,148,"TRUMP CAFE & GRILL","725","5 AVENUE",10022,"American","725, 5 AVENUE, New York, NY",-73.9739119,40.7623737
"99",102,149,149,"THE BREAD FACTORY","935","8 AVENUE",10019,"American","935, 8 AVENUE, New York, NY",-73.9838982,40.7657404
"100",103,151,151,"SHUKA","38","MACDOUGAL STREET",10012,"American","38, MACDOUGAL STREET, New York, NY",-74.0028594,40.7270504
"101",104,152,152,"BAR BOULUD","1900","BROADWAY",10025,"Others","1900, BROADWAY, New York, NY",-73.9813859,40.7715824
"102",105,153,153,"INTERNATIONAL FLAVORS  & FRAGRANCES","521","WEST   57 STREET",10019,"American","521, WEST   57 STREET, New York, NY",-73.9895225,40.7698378
"103",106,154,154,"MARINA GOURMET DELI.","246","EAST   23  STREET",10010,"American","246, EAST   23  STREET, New York, NY",-73.9814648,40.7379149
"104",107,156,156,"BRICKYARD GASTRO PUB","785","9 AVENUE",10019,"American","785, 9 AVENUE, New York, NY",-73.9881222,40.7650666
"105",108,158,158,"MAISON HARLEM RESTAURANT","341","ST NICHOLAS AVENUE",10027,"Others","341, ST NICHOLAS AVENUE, New York, NY",-73.9516109,40.8123152
"106",109,159,159,"MILANES SPANISH RESTAURANT","168","WEST   25 STREET",10001,"Others","168, WEST   25 STREET, New York, NY",-73.9944579,40.7450473
"107",110,161,161,"CHAI THAI KITCHEN","930","8TH AVE",10019,"Others","930, 8TH AVE, New York, NY",-73.983485,40.7654117
"108",111,162,162,"FAMOUS AMADEUS PIZZA","840","8 AVENUE",10019,"Others","840, 8 AVENUE, New York, NY",-73.9853784,40.7624081
"109",112,165,165,"BARILLA RESTAURANTS","108","W 32ND ST",10001,"Italian","108, W 32ND ST, New York, NY",-73.9890863,40.748454
"110",113,167,167,"THE DEAD POET","450","AMSTERDAM AVE",10024,"Others","450, AMSTERDAM AVE, New York, NY",-73.9773785,40.7849918
"111",114,168,168,"RATHBONES PUB","1702","2 AVENUE",10128,"American","1702, 2 AVENUE, New York, NY",-73.9503721,40.7792488
"112",115,170,170,"BOXERS NYC","37","WEST   20 STREET",10011,"American","37, WEST   20 STREET, New York, NY",-73.9931495,40.7407505
"113",116,171,171,"99 CENTS FAMOUS PIZZA","1","E 28TH ST",10016,"Pizza","1, E 28TH ST, New York, NY",-73.9870023,40.7447029
"114",117,172,172,"STIR CAFE","32","BROADWAY",10004,"American","32, BROADWAY, New York, NY",-74.0129819,40.7058715
"115",118,173,173,"HOP LEE RESTARANT","16","MOTT STREET",10013,"Chinese","16, MOTT STREET, New York, NY",-73.9984927,40.7142315
"116",119,174,174,"WIMPYS RESTAURANT","23","EAST  109 STREET",10029,"American","23, EAST  109 STREET, New York, NY",-73.9484134,40.7957818
"117",120,178,178,"VIVE LA CREPE","189","COLUMBUS AVENUE",10023,"Others","189, COLUMBUS AVENUE, New York, NY",-73.9803166,40.7750114
"118",121,180,180,"NEW CHINATOWN RESTAURANT","43417","AVENUE D",10009,"Chinese","43417, AVENUE D, New York, NY",-73.9761402,40.7235415
"119",122,182,182,"WOK 88","1570","3 AVENUE",10128,"Chinese","1570, 3 AVENUE, New York, NY",-73.95318,40.7803949
"120",124,184,184,"SUSHI REN","1584","2ND AVE",10028,"Japanese","1584, 2ND AVE, New York, NY",-73.9532776,40.7752755
"121",125,185,185,"SAFARI","219","W 116TH ST",10026,"Others","219, W 116TH ST, New York, NY",-73.9535534,40.8038583
"122",126,186,186,"JAIYA THAI & ORIENTAL RESTAURANT","1553","2 AVENUE",10028,"Others","1553, 2 AVENUE, New York, NY",-73.9545117,40.7745281
"123",127,187,187,"DOMINO'S","3624","BROADWAY",10031,"Pizza","3624, BROADWAY, New York, NY",-73.9481264,40.8289435
"124",128,188,188,"SHERMAN'S","121","DIVISION ST",10002,"Others","121, DIVISION ST, New York, NY",-73.9917951,40.7143209
"125",129,189,189,"GUADALUPE BAR AND GRILL","597","WEST 207 STREET",10034,"Others","597, WEST 207 STREET, New York, NY",-73.9207576,40.867391
"126",130,190,190,"HAN BAT RESTAURANT","53","WEST   35 STREET",10001,"Others","53, WEST   35 STREET, New York, NY",-73.9863204,40.7501853
"127",131,192,192,"SABLE","1489","2 AVENUE",10075,"Others","1489, 2 AVENUE, New York, NY",-73.9560437,40.7724638
"128",132,193,193,"VAPOR LOUNGE AND RESTAURANT","4160","BROADWAY",10033,"Others","4160, BROADWAY, New York, NY",-73.937877,40.846991
"129",133,194,194,"SUSHI PARA MANHATTAN","1461","3RD AVE",10028,"Japanese","1461, 3RD AVE, New York, NY",-73.9553383,40.7764587
"130",134,196,196,"BROTHERS FISH MARKET","3845","BROADWAY",10032,"Others","3845, BROADWAY, New York, NY",-73.9436565,40.8363092
"131",135,198,198,"EAST VILLAGE SOCIAL","126","ST MARKS PLACE",10009,"American","126, ST MARKS PLACE, New York, NY",-73.9837605,40.7268127
"132",136,199,199,"SCOTTY'S DINER","336","LEXINGTON AVENUE",10016,"American","336, LEXINGTON AVENUE, New York, NY",-73.9776081,40.7497967
"133",137,201,201,"SHUN WEI RESTAURANT","45","CATHERINE STREET",10038,"Chinese","45, CATHERINE STREET, New York, NY",-73.9966702,40.7119464
"134",138,202,202,"BLAGGARD'S PUB","8","WEST   38 STREET",10018,"Others","8, WEST   38 STREET, New York, NY",-73.9835998,40.7511298
"135",139,204,204,"THE CORNELIA STREET CAFE","29","CORNELIA STREET",10014,"American","29, CORNELIA STREET, New York, NY",-74.0024921,40.7314775
"136",140,206,206,"GREEN APPLE GOURMET","1625","BROADWAY",10019,"Others","1625, BROADWAY, New York, NY",-73.9844951,40.7613104
"137",141,207,207,"STAR LITE DELI","212","WEST   44 STREET",10036,"Others","212, WEST   44 STREET, New York, NY",-73.98695,40.7575534
"138",142,208,208,"TRE SORELLE","61","READE STREET",10007,"Italian","61, READE STREET, New York, NY",-74.0066253,40.7147527
"139",143,210,210,"TASTY DELI","4020","BROADWAY",10032,"American","4020, BROADWAY, New York, NY",-73.9390248,40.841727
"140",144,211,211,"BUDDHA BODAI KOSHER VEGETARIAN RESTAURANT","77","MULBERRY ST",10013,"Others","77, MULBERRY ST, New York, NY",-73.9992785,40.7163863
"141",145,212,212,"BROTHER JIMMY'S BBQ","416","8 AVENUE",10001,"Others","416, 8 AVENUE, New York, NY",-73.9946614,40.7500765
"142",146,213,213,"DEAN & DELUCA NEW YORK","632","WEST   28 STREET",10001,"American","632, WEST   28 STREET, New York, NY",-74.0063713,40.7525072
"143",147,214,214,"TWO BOOTS PIZZA","2547","BROADWAY",10025,"Pizza","2547, BROADWAY, New York, NY",-73.9724926,40.7943506
"144",148,215,215,"OKA SUSHI","1618","MAIDEN LANE",10038,"Japanese","1618, MAIDEN LANE, New York, NY",-77.6873463,43.2236655
"145",149,216,216,"RISTORANTE GRIFONE","244","EAST 46 STREET",10017,"Italian","244, EAST 46 STREET, New York, NY",-73.970963,40.7524697
"146",150,217,217,"SUSHI AZABU","428","GREENWICH STREET",10013,"Japanese","428, GREENWICH STREET, New York, NY",-74.009975,40.7224209
"147",151,219,219,"PRIMAVERA PIZZA & PASTA","1005","2 AVENUE",10022,"Others","1005, 2 AVENUE, New York, NY",-73.9672656,40.7570206
"148",153,223,223,"A TASTE OF SEAFOOD RESTAURANT","2530","FREDERICK DOUGLASS BLVD",10030,"Others","2530, FREDERICK DOUGLASS BLVD, New York, NY",-73.9463762,40.8161748
"149",154,224,224,"THE PATRIOT SALOON","110","CHAMBERS STREET",10007,"American","110, CHAMBERS STREET, New York, NY",-74.0083224,40.7148487
"150",155,226,226,"COCO & CRU/SWEETWATER SOCIAL","643","BROADWAY",10012,"American","643, BROADWAY, New York, NY",-73.9960189,40.726737
"151",156,227,227,"EMPIRE COLOMBUS","193","COLUMBUS AVENUE",10023,"Others","193, COLUMBUS AVENUE, New York, NY",-73.9800884,40.77527
"152",157,232,232,"SUBWAY","834","2ND AVE",10017,"Others","834, 2ND AVE, New York, NY",-73.9708011,40.7513289
"153",158,234,234,"CHIRPING CHICKEN","72","GRAND CENTRAL TERMINAL",10017,"Others","72, GRAND CENTRAL TERMINAL, New York, NY",-73.9772294,40.7527262
"154",159,236,236,"MCDONALD'S","336","EAST   23 STREET",10010,"American","336, EAST   23 STREET, New York, NY",-73.9794773,40.7370237
"155",160,238,238,"PRET A MANGER","342","7 AVENUE",10001,"Others","342, 7 AVENUE, New York, NY",-73.993062,40.7481099
"156",161,239,239,"FAIR FOLKS","96","WEST HOUSTON STREET",10012,"Others","96, WEST HOUSTON STREET, New York, NY",-74.000102,40.7273519
"157",162,242,242,"BIDDY'S PUB","301","EAST   91 STREET",10128,"American","301, EAST   91 STREET, New York, NY",-73.9489781,40.7810144
"158",163,243,243,"JACK'S STIR BREW COFFEE","10","DOWNING STREET",10014,"Others","10, DOWNING STREET, New York, NY",-74.0027905,40.7292224
"159",164,244,244,"TACO BELL, PIZZA HUT EXPRESS","18","EAST   14 STREET",10003,"Pizza","18, EAST   14 STREET, New York, NY",-73.992855,40.73529
"160",165,246,246,"THE VILLAGE TAVERN","46","BEDFORD STREET",10014,"American","46, BEDFORD STREET, New York, NY",-74.0041563,40.730584
"161",166,247,247,"CITY SANDWICH","649","9 AVENUE",10036,"Others","649, 9 AVENUE, New York, NY",-73.9913016,40.7607231
"162",167,248,248,"NEW KIM TUONG RESTAURANT","83","CHRYSTIE STREET",10002,"Chinese","83, CHRYSTIE STREET, New York, NY",-73.9945158,40.7174484
"163",169,250,250,"THE MANHATTAN AT TIMES SQUARE","790","7TH AVE",10019,"Others","790, 7TH AVE, New York, NY",-73.9828534,40.762081
"164",170,251,251,"CASA APICII","62","W 9TH ST",10011,"Italian","62, W 9TH ST, New York, NY",-73.9987276,40.7338395
"165",171,252,252,"MADISON & VINE","299","MADISON AVENUE",10017,"American","299, MADISON AVENUE, New York, NY",-73.979434,40.7521259
"166",172,253,253,"COCORON","37","KENMARE STREET",10012,"Japanese","37, KENMARE STREET, New York, NY",-73.9952545,40.7209168
"167",173,254,254,"MIKE'S NOODLE HOUSE","80","NASSAU STREET",10038,"Others","80, NASSAU STREET, New York, NY",-74.0079555,40.7098525
"168",174,255,255,"THE BEAN","54","2ND AVE",10003,"Others","54, 2ND AVE, New York, NY",-73.9895454,40.7255871
"169",175,257,257,"CHEN'S EXPRESS KITCHEN","223","E 14TH ST",10003,"Chinese","223, E 14TH ST, New York, NY",-73.9860435,40.733166
"170",176,263,263,"LORENZO & MARIA'S","1418","THIRD AVENUE",10028,"Others","1418, THIRD AVENUE, New York, NY",-73.9568502,40.7753401
"171",177,264,264,"NEW ASIA","666","AMSTERDAM AVENUE",10025,"Chinese","666, AMSTERDAM AVENUE, New York, NY",-73.9722245,40.7919062
"172",178,265,265,"NEW KAM LAI RESTAURANT","890","AMSTERDAM AVENUE",10025,"Chinese","890, AMSTERDAM AVENUE, New York, NY",-73.9671805,40.7988096
"173",179,266,266,"SZECHUAN GOURMET","242","WEST   56 STREET",10019,"Chinese","242, WEST   56 STREET, New York, NY",-73.9829817,40.7656618
"174",180,267,267,"LOCKSMITH WINE & BURGER BAR","4463","BROADWAY",10040,"American","4463, BROADWAY, New York, NY",-73.9325659,40.8573807
"175",182,270,270,"CAFE BEYOND","620","6 AVENUE",10011,"American","620, 6 AVENUE, New York, NY",-73.9939648,40.7398156
"176",183,271,271,"FOOD KING CHINESE RESTAURANT","56","MARKET STREET",10002,"Chinese","56, MARKET STREET, New York, NY",-73.9940398,40.7117387
"177",184,272,272,"FIKA","1331","LEXINGTON AVE",10128,"Others","1331, LEXINGTON AVE, New York, NY",-73.9541393,40.7811047
"178",185,273,273,"HYATT HOUSE NEW YORK/ CHELSEA","815","AVENUE OF THE AMERICAS",10001,"American","815, AVENUE OF THE AMERICAS, New York, NY",-73.9906703,40.7462663
"179",186,276,276,"ECCO RESTAURANT","124","CHAMBERS STREET",10007,"Italian","124, CHAMBERS STREET, New York, NY",-74.0088274,40.715152
"180",187,277,277,"RYAN MAGUIRE'S BAR & RESTAURANT","28","CLIFF STREET",10038,"American","28, CLIFF STREET, New York, NY",-74.0050629,40.7080137
"181",188,278,278,"STREETBIRD","2149","FREDERICK DOUGLASS BOULEVARD",10026,"American","2149, FREDERICK DOUGLASS BOULEVARD, New York, NY",-73.9557515,40.8043626
"182",189,280,280,"THE CRAFTSMAN","3155","BROADWAY",10027,"American","3155, BROADWAY, New York, NY",-73.959471,40.8146844
"183",190,281,281,"MEE'S NOODLE","930","2ND AVE",10022,"Chinese","930, 2ND AVE, New York, NY",-73.968458,40.754396
"184",191,282,282,"DELIS 48","48","W 48 STREET",10036,"American","48, W 48 STREET, New York, NY",-73.9804088,40.7579903
"185",192,283,283,"EL PASO TAQUERIA","1643","LEXINGTON AVENUE",10029,"Others","1643, LEXINGTON AVENUE, New York, NY",-73.9471185,40.7906789
"186",193,284,284,"ELSEWHERE ESPRESSO","335","EAST    6 STREET",10003,"Others","335, EAST    6 STREET, New York, NY",-73.9867907,40.7268952
"187",195,287,287,"OTTO'S SHRUNKEN HEAD","538","EAST   14 STREET",10009,"American","538, EAST   14 STREET, New York, NY",-73.9787559,40.7293456
"188",196,288,288,"2BEANS","817","AVENUE OF THE AMERICAS",10001,"Others","817, AVENUE OF THE AMERICAS, New York, NY",-73.9904049,40.7462146
"189",197,290,290,"MOONCAKE FOODS","28","WATTS STREET",10013,"Others","28, WATTS STREET, New York, NY",-74.004247,40.7236143
"190",198,291,291,"NEW RANCHITO","924","AMSTERDAM AVENUE",10025,"Others","924, AMSTERDAM AVENUE, New York, NY",-73.9664505,40.800023
"191",199,293,293,"MCDONALD'S","145","EAST  125 STREET",10035,"Others","145, EAST  125 STREET, New York, NY",-73.9370804,40.8044996
