"","X.2","X.1","X","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION","ADDRESS","lon","lat"
"1",1,1,1,"NEW DOUBLE DRAGON","37","1 AVENUE",10003,"Chinese","37, 1 AVENUE, New York, NY",-73.9880763,40.7242202
"2",2,2,2,"CHAPATI HOUSE","3153","BROADWAY",10027,"Others","3153, BROADWAY, New York, NY",-73.9595628,40.8146204
"3",3,4,4,"THE JUNCTION","329","LEXINGTON AVENUE",10016,"American","329, LEXINGTON AVENUE, New York, NY",-73.9773326,40.7492944
"4",4,5,5,"RUFFIAN WINE BAR","125","E 7TH ST",10009,"Others","125, E 7TH ST, New York, NY",-73.9840819,40.7264335
"5",5,6,6,"LA BOITE EN BOIS","75","WEST   68 STREET",10023,"Others","75, WEST   68 STREET, New York, NY",-73.9802596,40.7748986
"6",6,7,7,"ANDY'S DELI","291","BROADWAY",10007,"American","291, BROADWAY, New York, NY",-74.0060729,40.7149162
"7",7,9,9,"FRESH & CO","261-267","CANAL ST",10013,"American","261-267, CANAL ST, New York, NY",-74.0010208,40.7190047
"8",8,10,10,"POMODORO RISTORANTE","51","SPRING STREET",10012,"Others","51, SPRING STREET, New York, NY",-73.9963862,40.7221166
"9",9,11,11,"HAVANA CENTRAL","151","WEST   46 STREET",10036,"Others","151, WEST   46 STREET, New York, NY",-73.9841033,40.7584152
"10",10,12,12,"CITY CAFE","35","WEST   43 STREET",10036,"Others","35, WEST   43 STREET, New York, NY",-73.9819783,40.7550851
"11",11,15,15,"SHANGHAI ASIAN CUISINE","14A","ELIZABETH ST",10013,"Chinese","14A, ELIZABETH ST, New York, NY",-73.9969389,40.7158069
"12",12,16,16,"JACK'S STIR BREW COFFEE","222","FRONT STREET",10038,"Others","222, FRONT STREET, New York, NY",-74.0023126,40.7075822
"13",13,17,17,"ESSEN","290","MADISON AVENUE",10017,"American","290, MADISON AVENUE, New York, NY",-73.980294,40.7518956
"14",14,18,18,"THE RIVER CLUB","447","EAST   52 STREET",10022,"American","447, EAST   52 STREET, New York, NY",-73.9632744,40.7544774
"15",15,19,19,"CHIRPING CHICKEN","587","9TH AVE",10036,"Others","587, 9TH AVE, New York, NY",-73.9926049,40.7588161
"16",16,21,21,"BUFFALO BOSS","17","W 125TH ST",10027,"Others","17, W 125TH ST, New York, NY",-73.9431103,40.8069663
"17",18,26,26,"RESERVE CUT","40","BROAD ST",10004,"Others","40, BROAD ST, New York, NY",-74.0117654,40.7060275
"18",19,27,27,"SANTINA","820","WASHINGTON ST",10014,"Others","820, WASHINGTON ST, New York, NY",-74.008443,40.7396079
"19",20,28,28,"UMAMI BURGER","432","AVENUE OF THE AMERICAS",10011,"Others","432, AVENUE OF THE AMERICAS, New York, NY",-73.9985898,40.7343992
"20",21,29,29,"MIDO","612","AMSTERDAM AVE",10024,"Others","612, AMSTERDAM AVE, New York, NY",-73.9735756,40.7901213
"21",23,32,32,"CARBONE","331","W 38TH ST",10018,"Italian","331, W 38TH ST, New York, NY",-73.9930347,40.7554213
"22",24,34,34,"PARMA RESTAURANT","1404","3 AVENUE",10075,"Italian","1404, 3 AVENUE, New York, NY",-73.9571291,40.7749003
"23",25,35,35,"LUCKY DELI","12","EAST   37 STREET",10016,"Others","12, EAST   37 STREET, New York, NY",-73.9823124,40.7497951
"24",26,36,36,"BOWERY ELECTRIC","327","BOWERY",10003,"American","327, BOWERY, New York, NY",-73.9916803,40.7257162
"25",27,37,37,"JADE GARDEN","4028","BROADWAY",10032,"Chinese","4028, BROADWAY, New York, NY",-73.9389251,40.8418106
"26",28,38,38,"TWO DOORS TAVERN","1576","3 AVENUE",10128,"American","1576, 3 AVENUE, New York, NY",-73.9529963,40.7805616
"27",29,40,40,"ROTH BAR","548","W 22ND ST",10011,"American","548, W 22ND ST, New York, NY",-74.007014,40.747812
"28",30,41,41,"ZINC","82","WEST    3 STREET",10012,"American","82, WEST    3 STREET, New York, NY",-73.9989571,40.7297021
"29",31,42,42,"THE CONFESSION BOX","304","EAST   78 STREET",10075,"American","304, EAST   78 STREET, New York, NY",-73.9552349,40.7723066
"30",32,43,43,"PANCA","92","7 AVENUE SOUTH",10014,"Others","92, 7 AVENUE SOUTH, New York, NY",-74.0035291,40.7328667
"31",33,46,46,"BURGER HEAVEN","9","E 53RD ST",10022,"American","9, E 53RD ST, New York, NY",-73.9749106,40.7602871
"32",34,47,47,"PINOCCHIO RISTORANTE","1748","1 AVENUE",10128,"Italian","1748, 1 AVENUE, New York, NY",-73.9469807,40.7796671
"33",35,49,49,"HEARTLAND BREWERY","127","WEST   43 STREET",10036,"American","127, WEST   43 STREET, New York, NY",-73.984564,40.7561682
"34",36,50,50,"TARTINE","253","WEST   11 STREET",10014,"Others","253, WEST   11 STREET, New York, NY",-74.0034562,40.7363632
"35",37,51,51,"ROCKWOOD MUSIC HALL (STAGE ZERO)","196","ALLEN STREET",10002,"American","196, ALLEN STREET, New York, NY",-73.9885967,40.7223016
"36",38,52,52,"LITTLE ITALY PIZZA III","122","UNIVERSITY PLACE",10003,"Others","122, UNIVERSITY PLACE, New York, NY",-73.9924003,40.7347673
"37",39,53,53,"ROUGE TOMATE","126","W 18TH ST",10011,"Others","126, W 18TH ST, New York, NY",-73.9962661,40.7402203
"38",40,56,56,"PERK KAFE","1867","2ND AVE",10029,"Others","1867, 2ND AVE, New York, NY",-73.9472343,40.7845962
"39",41,57,57,"WO HOP 17","17","MOTT STREET",10013,"Chinese","17, MOTT STREET, New York, NY",-73.9989227,40.7142792
"40",42,58,58,"KFC","2755","BROADWAY",10025,"American","2755, BROADWAY, New York, NY",-73.9682766,40.8013318
"41",43,62,62,"HOTEL PIERRE-MAIN KITCHEN","2","EAST   61 STREET",10065,"American","2, EAST   61 STREET, New York, NY",-73.9720398,40.7651281
"42",44,63,63,"GILA'S NOSH","221","EAST   23 STREET",10010,"Others","221, EAST   23 STREET, New York, NY",-73.9818912,40.7386754
"43",45,66,66,"MULBERRY PROJECT","149","MULBERRY STREET",10013,"American","149, MULBERRY STREET, New York, NY",-73.9977161,40.7190315
"44",46,67,67,"CAFE B'WAY 46","146","W 46TH ST",10036,"American","146, W 46TH ST, New York, NY",-73.9842082,40.7579798
"45",47,69,69,"BABBO RISTORANTE E ENOTECA","110","WAVERLY PLACE",10011,"Italian","110, WAVERLY PLACE, New York, NY",-73.9992785,40.732296
"46",48,70,70,"BY CHLOE","185","BLEECKER ST",10012,"Others","185, BLEECKER ST, New York, NY",-74.0009312,40.7292484
"47",49,71,71,"MALA PROJECT","122","1ST AVE",10009,"Chinese","122, 1ST AVE, New York, NY",-73.985356,40.7271067
"48",50,73,73,"MAD HATTER SALOON","360","3 AVENUE",10016,"American","360, 3 AVENUE, New York, NY",-73.9818781,40.7409847
"49",51,76,76,"DELIGHT 28 RESTAURANT","2830","PELL STREET",10013,"Chinese","2830, PELL STREET, New York, NY",-73.998459,40.7150915
"50",52,77,77,"WINDFALL","23","WEST   39 STREET",10018,"American","23, WEST   39 STREET, New York, NY",-73.98384,40.7522407
"51",53,81,81,"UNO PIZZERIA AND GRILL","432","COLUMBUS AVENUE",10024,"Others","432, COLUMBUS AVENUE, New York, NY",-73.9749567,40.7833
"52",54,83,83,"BIRCH COFFEE","171","E 88TH ST",10128,"Others","171, E 88TH ST, New York, NY",-73.953324,40.7803792
"53",55,84,84,"SPEEDY'S DELI","1271","BROADWAY",10001,"American","1271, BROADWAY, New York, NY",-73.9884413,40.7482511
"54",56,85,85,"SNACKS-N-WHEELS/GREYHOUND FOOD SERVICE","625","8 AVENUE",10018,"American","625, 8 AVENUE, New York, NY",-73.9917688,40.7569045
"55",57,86,86,"O-MAI","158","9 AVENUE",10011,"Others","158, 9 AVENUE, New York, NY",-74.0026298,40.7443146
"56",58,87,87,"SUSHI NAKAZAWA","23","COMMERCE STREET",10014,"Japanese","23, COMMERCE STREET, New York, NY",-74.0044661,40.7317959
"57",59,88,88,"WHISKEY SOCIAL","35","WEST    8 STREET",10011,"American","35, WEST    8 STREET, New York, NY",-73.9980436,40.7331294
"58",60,89,89,"PRINT RESTAURANT/PRESS LOUNGE/BANQUET KITCHEN","653","11 AVENUE",10036,"American","653, 11 AVENUE, New York, NY",-73.99595,40.7645758
"59",61,90,90,"PIERRE LOTI CAFE WINE BAR","53","IRVING PLACE",10003,"Others","53, IRVING PLACE, New York, NY",-73.9875483,40.7360953
"60",62,91,91,"VILLAGE NATURAL","46","GREENWICH AVE",10011,"Others","46, GREENWICH AVE, New York, NY",-74.000252,40.7356228
"61",63,92,92,"GRAPE AND GRAIN","620","EAST    6 STREET",10009,"Others","620, EAST    6 STREET, New York, NY",-73.980822,40.7239629
"62",64,93,93,"EVELYN'S KITCHEN","2317","1 AVENUE",10035,"American","2317, 1 AVENUE, New York, NY",-73.9344551,40.7977934
"63",65,94,94,"BONSIGNOUR","35","JANE STREET",10014,"American","35, JANE STREET, New York, NY",-74.0043284,40.73834
"64",66,95,95,"AMC THEATRES","2309","FREDERICK DOUGLAS BOULEVARD",10027,"American","2309, FREDERICK DOUGLAS BOULEVARD, New York, NY",-73.9517817,40.8096863
"65",67,96,96,"MINAR INDIAN RESTAURANT","138","WEST   46 STREET",10036,"Others","138, WEST   46 STREET, New York, NY",-73.9840245,40.7578765
"66",68,99,99,"YUI GALLERY & TEA CAFFE","131","ELDRIDGE ST",10002,"Others","131, ELDRIDGE ST, New York, NY",-73.9917492,40.7189102
"67",69,102,102,"THE BAILEY","52","WILLIAM STREET",10005,"American","52, WILLIAM STREET, New York, NY",-74.0089713,40.7067843
"68",70,104,104,"JULES BISTRO","65","ST MARKS PLACE",10003,"Others","65, ST MARKS PLACE, New York, NY",-73.9860561,40.728181
"69",71,105,105,"CROWN FRIED CHICKEN","117","AVENUE D",10009,"Others","117, AVENUE D, New York, NY",-73.9761377,40.7238559
"70",72,108,108,"JUMBO PIZZA","3594","BROADWAY",10031,"Italian","3594, BROADWAY, New York, NY",-73.948912,40.8280219
