"","RegionName","X2017.01","X2017.02","X2017.03","X2017.04","X2017.05","X2017.06","X2017.07","X2017.08","X2017.09","X2017.10","X2017.11","X2017.12","type","region","avg","room","priceperroom"
"1",10025,3000,2995,3032.5,2995,2975,2900,2900,3000,3025,3000,2928.5,3014,"OneBedroom","10025",2980,1,2980
"2",10023,3200,3272.5,3255,3300,3300,3300,3300,3297.5,3280.5,3295,3300,3300,"OneBedroom","10023",3283,1,3283
"3",10002,2500,2650,2597.5,2600,2650,2600,2600,2597.5,2575,2500,2500,2500,"OneBedroom","10002",2572,1,2572
"4",10016,3314,3353,3400,3400,3400,3396.5,3400,3442.5,3425,3400,3318,3314,"OneBedroom","10016",3380,1,3380
"5",10009,2750,2850,2800,2800,2850,2845,2800,2800,2800,2795,2695,2699.5,"OneBedroom","10009",2790,1,2790
"6",10011,3595,3794,3795,3800,3850,3759,3678.5,3725,3725,3750,3754,3700,"OneBedroom","10011",3743,1,3743
"7",10128,2595,2672,2695,2695,2600,2600,2670,2725,2750,2700,2700,2675,"OneBedroom","10128",2673,1,2673
"8",10003,3350,3400,3300,3300,3295,3200,3200,3250,3300,3285,3300,3350,"OneBedroom","10003",3294,1,3294
"9",10024,2995,2933,2950,2915,2900,2924,2900,2995,2995,2962.5,2933,2850,"OneBedroom","10024",2937,1,2937
"10",10019,3350,3397,3379,3395,3450,3453,3450,3452,3441,3405,3397,3386,"OneBedroom","10019",3412,1,3412
"11",10028,2625,2600,2625,2600,2625,2700,2650,2575,2600,2550,2600,2594,"OneBedroom","10028",2612,1,2612
"12",10027,2250,2200,2200,2100,2137.5,2150,2150,2095,2100,2100,2125,2050,"OneBedroom","10027",2138,1,2138
"13",10021,2850,2900,2900,2810,2810,2800,2797,2795,2830,2795,2795,2850,"OneBedroom","10021",2827,1,2827
"14",10032,1750,1725,1735,1750,1750,1775,1750,1725,1745,1775,1750,1750,"OneBedroom","10032",1748,1,1748
"15",10031,1797,1750,1750,1750,1750,1750,1812.5,1800,1750,1750,1795,1837.5,"OneBedroom","10031",1774,1,1774
"16",10014,3395,3400,3450,3400,3500,3500,3500,3500,3495,3400,3300,3318,"OneBedroom","10014",3429,1,3429
"17",10033,1800,1750,1720.5,1750,1787,1800,1800,1800,1762.5,1700,1695,1700,"OneBedroom","10033",1755,1,1755
"18",10036,3200,3200,3200,3190,3200,3200,3200,3200,3195,3200,3200,3200,"OneBedroom","10036",3198,1,3198
"19",10010,3400,3495,3500,3500,3497,3400,3400,3514,3500,3496,3400,3350,"OneBedroom","10010",3454,1,3454
"20",11106,2000,1895,1900,1950,1950,1950,1900,1995,1975,1899,1857.5,1850,"OneBedroom","11106",1926,1,1926
"21",10022,3195,3136,3200,3250,3219,3300,3200,3000,3130.5,3200,3175,3175,"OneBedroom","10022",3181,1,3181
"22",10065,3325,3325,3183,3295,3100,3375,3450,3112.5,3245,3177.5,3300,3390,"OneBedroom","10065",3273,1,3273
"23",10040,1549.5,1550,1525,1525,1550,1550,1600,1595,1575,1600,1575,1585,"OneBedroom","10040",1564,1,1564
"24",10034,1500,1500,1550,1550,1600,1600,1600,1575,1550,1550,1575,1550,"OneBedroom","10034",1558,1,1558
"25",10026,2271,2200,2200,2300,2172.5,2250,2350,2300,2225,2132.5,1999,1999.5,"OneBedroom","10026",2199,1,2199
"26",10013,3500,3550,3750,3772.5,3575,3500,3495,3712.5,3725,3795,3750,3695,"OneBedroom","10013",3651,1,3651
"27",11231,2500,2500,2500,2500,2550,2550,2500,2500,2500,2500,2600,2600,"OneBedroom","11231",2525,1,2525
"28",10035,1962.5,1997,1962.5,2116,2108,2097,2100,2038,1975,2150,2097.5,2000,"OneBedroom","10035",2050,1,2050
