LOCATION,SHELTER_ID,the_geom,AT_BETWEEN,LONGITUDE,LATITUDE
AV U,BR02031,POINT (-73.941684 40.600522),NOSTRAND AV,-73.941684,40.600522
AV Z,BR02032,POINT (-73.955863 40.587719),E 13 ST,-73.955863,40.587719
AV U,BR02033,POINT (-73.907818 40.619706),E 71 ST,-73.907818,40.619706
EMPIRE BLVD,BR02034,POINT (-73.932018 40.663624),UTICA AV,-73.932018,40.663624
SUTTER AV,BR02035,POINT (-73.869818 40.673154),CRESCENT ST,-73.869818,40.673154
SUTTER AV,BR02036,POINT (-73.888463 40.670312),HENDRIX ST,-73.888463,40.670312
NEW LOTS AV,BR02037,POINT (-73.891114 40.662639),VERMONT ST,-73.891114,40.662639
DUMONT AV,BR02038,POINT (-73.87426 40.669341),FOUNTAIN AV,-73.87426,40.669341
JAMAICA AV,BR0204,POINT (-73.897034 40.678279),Pennsylvania Av,-73.897034,40.678279
Pennsylvania Av,BR02040,POINT (-73.893066 40.661594),NEW LOTS AV,-73.893066,40.661594
NEW LOTS AV,BR02041,POINT (-73.881396 40.666855),ELTON ST,-73.881396,40.666855
NEW LOTS AV,BR02042,POINT (-73.889459 40.663368),BRADFORD ST,-73.889459,40.663368
GLENWOOD RD,BR02043,POINT (-73.95257600000001 40.633393),BEDFORD AV,-73.952576,40.633393
RALPH AV,BR02045,POINT (-73.91765 40.624567),AV L,-73.91765,40.624567
FLATLANDS AV,BR02046,POINT (-73.91369 40.635384),E 80 ST,-73.91369,40.635384
EMMONS AV,BR02047,POINT (-73.941036 40.58395),E 28 ST,-73.941036,40.58395
DRIGGS AV,BR02048,POINT (-73.960012 40.713715),GRAND ST,-73.960012,40.713715
METROPOLITAN AV,BR02049,POINT (-73.949231 40.714142),LORIMER ST,-73.949231,40.714142
DEKALB AV,BR02050,POINT (-73.96066 40.690373),CLASSON AV,-73.96066,40.690373
MYRTLE AV BETWEEN EDWARDS ST & NAVY ST,BR02051,POINT (-73.9781 40.69352),BETWEEN EDWARDS ST & NAVY ST,-73.9781,40.69352
BERGEN ST,BR02052,POINT (-73.933086 40.675242),SCHENECTADY AV,-73.933086,40.675242
ST JOHNS PL,BR02054,POINT (-73.931144 40.670511),UTICA AV,-73.931144,40.670511
KINGSTON AV,BR02055,POINT (-73.941361 40.677425),PACIFIC ST,-73.941361,40.677425
FULTON ST,BR02056,POINT (-73.97866 40.687947),@ ASHLAND PLACE,-73.97866,40.687947
Atlantic Av,BR02059,POINT (-73.866056 40.683101),ELDERT LANE,-73.866056,40.683101
GRANT AV,BR02060,POINT (-73.866093 40.67859800000001),LIBERTY AV,-73.866093,40.678598
CRESCENT ST,BR02061,POINT (-73.872171 40.683367000000004),FULTON ST,-73.872171,40.683367
GATES AV,BR02064,POINT (-73.93586 40.687985),LEWIS AV,-73.93586,40.687985
DEKALB AV,BR02066,POINT (-73.937416 40.693049),LEWIS AV,-73.937416,40.693049
SANDS ST,BR02068,POINT (-73.9834 40.699894),GOLD ST,-73.9834,40.699894
DEKALB AV,BR02069,POINT (-73.963652 40.690028),RYERSON ST,-73.963652,40.690028
TOMPKINS AV,BR02070,POINT (-73.946403 40.695417),MYRTLE AV,-73.946403,40.695417
7 AV,BR02071,POINT (-73.973259 40.677844),FLATBUSH AV,-73.973259,40.677844
AV M,BR02073,POINT (-73.960355 40.618049),E 15 ST,-73.960355,40.618049
MYRTLE AV,BR02074,POINT (-73.97272 40.693311),CARLTON AV,-73.97272,40.693311
BERGEN ST,BR02076,POINT (-73.93588900000002 40.675394),TROY AV,-73.935889,40.675394
CHURCH AV,BR02077,POINT (-73.914073 40.656689),E 98 ST,-73.914073,40.656689
FOSTER AV,BR02078,POINT (-73.950978 40.638519),ROGERS AV,-73.950978,40.638519
REMSEN AV,BR02079,POINT (-73.92372 40.65631),LENOX RD,-73.92372,40.65631
ROCKAWAY AV,BR02080,POINT (-73.908771 40.662315),LIVONIA AV,-73.908771,40.662315
SARATOGA AV,BR02081,POINT (-73.917328 40.668408),PITKIN AV,-73.917328,40.668408
FULTON ST,BR02082,POINT (-73.903579 40.677807),VAN SINDEREN AV,-73.903579,40.677807
SARATOGA AV @ PARK PLACE,BR02083,POINT (-73.91706 40.67134),@ PARK PLACE,-73.91706,40.67134
Thomas Boyland St,BR02084,POINT (-73.913731 40.675194),DEAN ST,-73.913731,40.675194
ROCKAWAY AV,BR02085,POINT (-73.907183 40.65615600000001),HEGEMAN AV,-73.907183,40.656156
POWELL ST,BR02086,POINT (-73.902754 40.665323),DUMONT AV,-73.902754,40.665323
SUTTER AV,BR02087,POINT (-73.891841 40.669946),BRADFORD ST,-73.891841,40.669946
SUTTER AV,BR02088,POINT (-73.881381 40.671489),ESSEX ST,-73.881381,40.671489
SUTTER AV,BR02089,POINT (-73.869618 40.673053),CRESCENT ST,-73.869618,40.673053
AV J,BR02090,POINT (-73.96486 40.62487600000001),CONEY ISLAND AV,-73.96486,40.624876
13 AV,BR02092,POINT (-73.99297 40.634325000000004),50 ST,-73.99297,40.634325
GREENPOINT AV,BR02093,POINT (-73.946142 40.731627),HUMBOLDT ST,-73.946142,40.731627
MANHATTAN AV,BR02094,POINT (-73.954194 40.730445),GREENPOINT AV,-73.954194,40.730445
KINGSLAND AV,BR02095,POINT (-73.940148 40.715978),SKILLMAN AV,-73.940148,40.715978
NEW LOTS AV BETWEEN ASHFORD ST & WARWICK S,BR02097,POINT (-73.88345 40.66611),BETWEEN ASHFORD ST & WARWICK S,-73.88345,40.66611
FULTON ST,BR02098,POINT (-73.935251 40.679686),LEWIS AV,-73.935251,40.679686
NASSAU ST,BR02102,POINT (-73.982605 40.698276),GOLD ST,-73.982605,40.698276
MYRTLE AV,BR02103,POINT (-73.979409 40.693423),ASHLAND PL,-73.979409,40.693423
Coney Island Av,BR02104,POINT (-73.971993 40.649777),CATON  PL,-73.971993,40.649777
SANDS ST,BR02105,POINT (-73.983219 40.699683),GOLD ST,-73.983219,40.699683
WYTHE AV,BR02106,POINT (-73.964613 40.703429),ROSS ST,-73.964613,40.703429
COLUMBIA ST,BR02107,POINT (-74.002806 40.684601),UNION ST,-74.002806,40.684601
MALCOLM X BLVD,BR02108,POINT (-73.930369 40.688998000000005),QUINCY ST,-73.930369,40.688998
COURT ST,BR02111,POINT (-73.990414 40.693351),MONTAGUE ST,-73.990414,40.693351
COURT ST,BR02112,POINT (-73.99034 40.693501),MONTAGUE ST,-73.99034,40.693501
GRAHAM AV,BR02113,POINT (-73.94409 40.713269),AINSLIE ST,-73.94409,40.713269
GATES AV,BR02115,POINT (-73.911676 40.700173),WYCKOFF AV,-73.911676,40.700173
CROPSEY AV,BR02116,POINT (-73.990466 40.588817),BAY 44 ST,-73.990466,40.588817
LORRAINE ST,BR02118,POINT (-74.007905 40.674756),COLUMBIA ST,-74.007905,40.674756
HALSEY ST,BR02119,POINT (-73.93257 40.683856),STUYVESANT AV,-73.93257,40.683856
SEAVIEW AV,BR02120,POINT (-73.878351 40.643037),Pennsylvania Av,-73.878351,40.643037
Pennsylvania Av,BR02121,POINT (-73.89319 40.662154),NEW LOTS AV,-73.89319,40.662154
Pennsylvania Av,BR02122,POINT (-73.895934 40.671623),PITKIN AV,-73.895934,40.671623
JAMAICA AV,BR02123,POINT (-73.88689600000001 40.683248),CLEVELAND ST,-73.886896,40.683248
37 ST,BR02124,POINT (-74.003183 40.577118),NEPTUNE AV,-74.003183,40.577118
FLATBUSH AV,BR02125,POINT (-73.955667 40.640684),AV D,-73.955667,40.640684
FOSTER AV,BR02126,POINT (-73.966441 40.632357),CONEY ISLAND AV,-73.966441,40.632357
ALBANY AV,BR02127,POINT (-73.939473 40.65637300000001),CLARKSON AV,-73.939473,40.656373
ALBANY AV,BR02128,POINT (-73.939755 40.657552),WINTHROP ST,-73.939755,40.657552
VANDERBILT AV,BR02129,POINT (-73.968818 40.687548),LAFAYETTE AV,-73.968818,40.687548
VANDERBILT AV,BR02130,POINT (-73.968627 40.686575),GREENE AV,-73.968627,40.686575
JAMAICA AV,BR02132,POINT (-73.900058 40.677152),BROADWAY,-73.900058,40.677152
DEKALB AV,BR02136,POINT (-73.923794 40.699773),WILSON AV,-73.923794,40.699773
DEKALB AV,BR02137,POINT (-73.919677 40.703963),WYCKOFF AV,-73.919677,40.703963
AV U,BR02140,POINT (-73.960923 40.598256),CONEY ISLAND AV,-73.960923,40.598256
Coney Island Av,BR02141,POINT (-73.96055 40.591887),AV X,-73.96055,40.591887
NOSTRAND AV,BR02142,POINT (-73.943144 40.607636),AV R,-73.943144,40.607636
SUTTER AV,BR02143,POINT (-73.898345 40.668983000000004),ALABAMA AV,-73.898345,40.668983
PITKIN AV,BR02144,POINT (-73.911167 40.669696),ROCKAWAY AV,-73.911167,40.669696
ROCKAWAY AV,BR02146,POINT (-73.908938 40.662256),LIVONIA AV,-73.908938,40.662256
DEKALB AV,BR02147,POINT (-73.925789 40.697734),MYRTLE AV,-73.925789,40.697734
ROCKAWAY AV,BR02148,POINT (-73.909341 40.663833),DUMONT AV,-73.909341,40.663833
RALPH AV,BR02149,POINT (-73.922789 40.666795),EAST NEW YORK AV,-73.922789,40.666795
East New York Av,BR02150,POINT (-73.916284 40.669843),STRAUSS ST,-73.916284,40.669843
East New York Av,BR02151,POINT (-73.922916 40.666923),RALPH AV,-73.922916,40.666923
ROCKAWAY AV,BR02153,POINT (-73.911084 40.676009),ATLANTIC AV,-73.911084,40.676009
SHELL RD,BR02154,POINT (-73.974033 40.590411),AV X,-73.974033,40.590411
Atlantic Av,BR02156,POINT (-73.978716 40.684438),4 AV,-73.978716,40.684438
HALSEY ST,BR02157,POINT (-73.935475 40.68352),LEWIS AV,-73.935475,40.68352
NEW LOTS AV,BR02158,POINT (-73.89945 40.659093),VAN SINDEREN AV,-73.89945,40.659093
Atlantic Av,BR0216,POINT (-73.896655 40.675888),Pennsylvania Av,-73.896655,40.675888
NEW LOTS AV,BR02161,POINT (-73.892958 40.661978),Pennsylvania Av,-73.892958,40.661978
SUTTER AV,BR02162,POINT (-73.874212 40.672343),FOUNTAIN AV,-73.874212,40.672343
FULTON ST,BR02165,POINT (-73.94145 40.679872),KINGSTON AV,-73.94145,40.679872
SUTTER AV,BR02166,POINT (-73.898629 40.668794),WILLIAMS AV,-73.898629,40.668794
Pennsylvania Av,BR02167,POINT (-73.884769 40.650411),VANDALIA AV,-73.884769,40.650411
W 5 ST,BR02169,POINT (-73.971802 40.579549),NEPTUNE AV,-73.971802,40.579549
THROOP AV,BR02170,POINT (-73.941464 40.686009000000006),MADISON ST,-73.941464,40.686009
BAY RIDGE PKWY,BR02171,POINT (-74.007649 40.620326),13 AV,-74.007649,40.620326
8 AV,BR02173,POINT (-74.00344 40.641257),50 ST,-74.00344,40.641257
REMSEN AV,BR02174,POINT (-73.916387 40.649712),AV B,-73.916387,40.649712
BEVERLY RD,BR02175,POINT (-73.922408 40.646854),E 58 St,-73.922408,40.646854
JAMAICA AV,BR02176,POINT (-73.874208 40.689139),CRESCENT ST,-73.874208,40.689139
COLUMBIA ST,BR02177,POINT (-74.003843 40.682848),CARROLL ST,-74.003843,40.682848
DEAN ST,BR02179,POINT (-73.953031 40.676995),BEDFORD AV,-73.953031,40.676995
86 ST,BR02180,POINT (-74.012033 40.612805),14 AV,-74.012033,40.612805
NEW LOTS AV,BR02181,POINT (-73.88869 40.663701),MILLER AV,-73.88869,40.663701
ELDERT LANE,BR02182,POINT (-73.862633 40.6691),LINDEN BLVD,-73.862633,40.6691
Coney Island Av,BR02183,POINT (-73.971863 40.650433),PARK CIRCLE,-73.971863,40.650433
BAY PKWY,BR02184,POINT (-73.978426 40.616883),60 ST,-73.978426,40.616883
Coney Island Av,BR02186,POINT (-73.966847 40.632014),FOSTER AV,-73.966847,40.632014
AV I,BR02187,POINT (-73.975824 40.625952),MCDONALD AV,-73.975824,40.625952
BATH AV,BR02189,POINT (-73.997572 40.598826),BAY PKWY,-73.997572,40.598826
CHURCH AV,BR02192,POINT (-73.9307 40.651642),UTICA AV,-73.9307,40.651642
NEW YORK AV,BR02193,POINT (-73.94661 40.651223),CHURCH AV,-73.94661,40.651223
ROGERS AV,BR02194,POINT (-73.952472 40.65134700000001),Martense St,-73.952472,40.651347
CLARKSON AV,BR02195,POINT (-73.956798 40.655077),BEDFORD AV,-73.956798,40.655077
UTICA AV,BR02196,POINT (-73.93028 40.65201),CHURCH AV,-73.93028,40.65201
CHURCH AV,BR02197,POINT (-73.919817 40.652976),REMSEN AV,-73.919817,40.652976
MALCOLM X BLVD,BR02199,POINT (-73.930958 40.691943),LAFAYETTE AV,-73.930958,40.691943
RODNEY ST,BR02200,POINT (-73.955288 40.710158),S 3 ST,-73.955288,40.710158
GATES AV BETWEEN NOSTRAND AV & BEDFORD,BR02204,POINT (-73.95113 40.68623),BETWEEN NOSTRAND AV & BEDFORD,-73.95113,40.68623
Brighton Beach Av,BR02206,POINT (-73.96271200000001 40.577448),BRIGHTON 5 ST,-73.962712,40.577448
OCEAN AV,BR02208,POINT (-73.951317 40.599671),AV U,-73.951317,40.599671
E 98 ST,BR02210,POINT (-73.912672 40.655906),HEGEMAN AV,-73.912672,40.655906
SARATOGA AV,BR02211,POINT (-73.915513 40.661314000000004),LIVONIA AV,-73.915513,40.661314
GRAHAM AV,BR02213,POINT (-73.943959 40.711355000000005),GRAND ST,-73.943959,40.711355
WILSON AV,BR02214,POINT (-73.926692 40.701175),STARR ST,-73.926692,40.701175
AV Z,BR02216,POINT (-73.960617 40.587207),CONEY ISLAND AV,-73.960617,40.587207
AV D,BR02218,POINT (-73.948745 40.640863),NOSTRAND AV,-73.948745,40.640863
5 AV,BR02219,POINT (-74.022837 40.629253000000006),BAY RIDGE PKWY,-74.022837,40.629253
ST MARKS AV,BR02220,POINT (-73.92467400000001 40.673767),BUFFALO AV,-73.924674,40.673767
ORIENTAL BLVD,BR02221,POINT (-73.940136 40.57804200000001),MACKENZIE ST,-73.940136,40.578042
ORIENTAL BLVD,BR02222,POINT (-73.939918 40.578065),MACKENZIE ST,-73.939918,40.578065
CLASSON AV,BR02224,POINT (-73.958729 40.682873),PUTNAM AV,-73.958729,40.682873
WYTHE AV,BR02225,POINT (-73.966451 40.705131),CLYMER ST,-73.966451,40.705131
FULTON ST,BR02226,POINT (-73.94305 40.680109),TOMPKINS AV,-73.94305,40.680109
UTICA AV,BR02228,POINT (-73.928474 40.632579),AV H,-73.928474,40.632579
AV H,BR02229,POINT (-73.928607 40.632745),UTICA AV,-73.928607,40.632745
PATCHEN AV,BR02231,POINT (-73.927884 40.692436),LAFAYETTE AV,-73.927884,40.692436
E 18 ST,BR02233,POINT (-73.955757 40.610388),AV P,-73.955757,40.610388
E 108 ST,BR02234,POINT (-73.895992 40.652148),FARRAGUT RD,-73.895992,40.652148
E 108 ST,BR02235,POINT (-73.894349 40.650683),GLENWOOD RD,-73.894349,40.650683
E 108 ST,BR02236,POINT (-73.897333 40.653357),STANLEY AV,-73.897333,40.653357
KINGSTON AV,BR02237,POINT (-73.942503 40.665219),MONTGOMERY ST,-73.942503,40.665219
KINGS HWY,BR02238,POINT (-73.986715 40.605906),STILLWELL AV,-73.986715,40.605906
BAY PKWY,BR02239,POINT (-73.979321 40.615713),62 ST,-73.979321,40.615713
MERMAID AV,BR02241,POINT (-73.985113 40.576662),W 17 ST,-73.985113,40.576662
CROPSEY AV,BR02242,POINT (-73.99373200000001 40.593323),BAY 38 ST,-73.993732,40.593323
60 ST,BR02243,POINT (-73.987047 40.621797),18 AV,-73.987047,40.621797
ORIENTAL BLVD,BR02244,POINT (-73.952673 40.577013),WEST END AV,-73.952673,40.577013
KINGS HWY,BR02245,POINT (-73.9665 40.605899),OCEAN PKWY,-73.9665,40.605899
ORIENTAL BLVD,BR02246,POINT (-73.939647 40.578166),MACKENZIE ST,-73.939647,40.578166
Coney Island Av,BR02247,POINT (-73.961344 40.598441),AV U,-73.961344,40.598441
SARATOGA AV,BR02248,POINT (-73.917811 40.685634),HALSEY ST,-73.917811,40.685634
CLARKSON AV,BR02249,POINT (-73.946947 40.65571),NEW YORK AV,-73.946947,40.65571
ROCKAWAY PKWY,BR02250,POINT (-73.893671 40.637222),AV M,-73.893671,40.637222
ROCKAWAY PKWY,BR02251,POINT (-73.891334 40.635428),AV N,-73.891334,40.635428
BERGEN ST,BR02253,POINT (-73.927567 40.674942),ROCHESTER AV,-73.927567,40.674942
KINGSTON AV,BR02254,POINT (-73.942344 40.666948),CARROLL ST,-73.942344,40.666948
EMPIRE BLVD,BR02255,POINT (-73.945791 40.664328),BROOKLYN AV,-73.945791,40.664328
39 ST,BR02256,POINT (-73.990731 40.643399),Ft Hamilton Pkwy,-73.990731,40.643399
RALPH AV,BR02257,POINT (-73.920933 40.652691),CHURCH AV,-73.920933,40.652691
CHURCH AV,BR02258,POINT (-73.921221 40.652604),RALPH AV,-73.921221,40.652604
AV U,BR02259,POINT (-73.935376 40.601617),GERRITSEN AV,-73.935376,40.601617
UTICA AV,BR02260,POINT (-73.931519 40.661104),MIDWOOD ST,-73.931519,40.661104
ALBANY AV,BR02261,POINT (-73.939669 40.660371),RUTLAND RD,-73.939669,40.660371
39 ST,BR02264,POINT (-73.986584 40.640896),13 AV,-73.986584,40.640896
East New York Av,BR02265,POINT (-73.938439 40.662257),ALBANY AV,-73.938439,40.662257
REMSEN AV,BR02267,POINT (-73.919855 40.652542),CHURCH AV,-73.919855,40.652542
CHURCH AV,BR02268,POINT (-73.91731 40.6546),LINDEN BLVD,-73.91731,40.6546
BAY PKWY,BR02269,POINT (-73.98757 40.607791),STILLWELL AV,-73.98757,40.607791
STILLWELL AV,BR02270,POINT (-73.987436 40.607649),BAY PKWY,-73.987436,40.607649
CROPSEY AV,BR02271,POINT (-73.998161 40.597025),BAY PKWY,-73.998161,40.597025
LIVINGSTON ST,BR02272,POINT (-73.987566 40.690437),SMITH ST,-73.987566,40.690437
SURF AV,BR02273,POINT (-74.002376 40.573414),W 37 ST,-74.002376,40.573414
18 AV,BR02274,POINT (-73.977428 40.630722),MCDONALD AV,-73.977428,40.630722
VAN BRUNT ST,BR02275,POINT (-74.012367 40.67768),SULLIVAN ST,-74.012367,40.67768
NEW LOTS AV,BR02276,POINT (-73.882912 40.666209),ASHFORD ST,-73.882912,40.666209
UTICA AV,BR02277,POINT (-73.926435 40.613486),FLATBUSH Av,-73.926435,40.613486
GRAHAM AV,BR02278,POINT (-73.944205 40.712844),AINSLIE ST,-73.944205,40.712844
LORIMER ST,BR02279,POINT (-73.950506 40.721549),DRIGGS AV,-73.950506,40.721549
GRAHAM AV,BR02280,POINT (-73.944685 40.716913),JACKSON ST,-73.944685,40.716913
NEW LOTS AV,BR02281,POINT (-73.890925 40.66287200000001),WYONA ST,-73.890925,40.662872
AV U,BR02282,POINT (-73.911037 40.61715),E 66 ST,-73.911037,40.61715
FLATBUSH AV,BR02283,POINT (-73.943814 40.629351),AV I,-73.943814,40.629351
Coney Island Av,BR02284,POINT (-73.961716 40.60711),KINGS HWY,-73.961716,40.60711
HEGEMAN AV,BR02285,POINT (-73.906946 40.656259),ROCKAWAY AV,-73.906946,40.656259
E 98 ST,BR02286,POINT (-73.912613 40.655624),HEGEMAN AV,-73.912613,40.655624
OCEAN AV,BR02287,POINT (-73.95802600000002 40.635135),FARRAGUT RD,-73.958026,40.635135
MYRTLE AV,BR02289,POINT (-73.97613 40.693448),N PORTLAND AV,-73.97613,40.693448
RALPH AV,BR02290,POINT (-73.922993 40.684719),HALSEY ST,-73.922993,40.684719
HALSEY ST,BR02291,POINT (-73.923489 40.684901),RALPH AV,-73.923489,40.684901
BAY RIDGE AV,BR02292,POINT (-74.023266 40.634427),4 AV,-74.023266,40.634427
ST JOHNS PL,BR02293,POINT (-73.947244 40.671385),NEW YORK AV,-73.947244,40.671385
ST JOHNS PL,BR02294,POINT (-73.950556 40.67159),NOSTRAND AV,-73.950556,40.67159
FULTON ST,BR02295,POINT (-73.95023200000001 40.680501),NOSTRAND AV,-73.950232,40.680501
NEW YORK AV,BR02296,POINT (-73.946812 40.678662),ATLANTIC AV,-73.946812,40.678662
AV M,BR02298,POINT (-73.964095 40.617482),CONEY ISLAND AV,-73.964095,40.617482
TOMPKINS AV,BR02299,POINT (-73.943398 40.680301),FULTON ST,-73.943398,40.680301
LAFAYETTE AV,BR02301,POINT (-73.947848 40.69022),MARCY AV,-73.947848,40.69022
HALSEY ST,BR02302,POINT (-73.949546 40.681778),NOSTRAND AV,-73.949546,40.681778
7 AV,BR02304,POINT (-73.97882600000001 40.670352),3 ST,-73.978826,40.670352
Prospect Park Southwest,BR02305,POINT (-73.973081 40.653628),REEVE PL,-73.973081,40.653628
Prospect Park Southwest,BR02306,POINT (-73.972706 40.652329),GREENWOOD AV,-73.972706,40.652329
ST JOHNS PL,BR02307,POINT (-73.941822 40.671261),KINGSTON AV,-73.941822,40.671261
ST JOHNS PL,BR02308,POINT (-73.941717 40.671086),KINGSTON AV,-73.941717,40.671086
Prospect Park Southwest,BR02309,POINT (-73.97726800000001 40.659642),10 AV,-73.977268,40.659642
REMSEN AV,BR02310,POINT (-73.920126 40.653067),CHURCH AV,-73.920126,40.653067
VAN BRUNT ST,BR02314,POINT (-74.008003 40.681424),SEABRING ST,-74.008003,40.681424
VAN BRUNT ST,BR02315,POINT (-74.00644 40.682951),SUMMIT ST,-74.00644,40.682951
ST JOHNS PL,BR02319,POINT (-73.938919 40.67093),ALBANY AV,-73.938919,40.67093
NOSTRAND AV,BR02320,POINT (-73.949887 40.677383),PACIFIC ST,-73.949887,40.677383
NEW YORK AV,BR02321,POINT (-73.947377 40.672638),STERLING PL,-73.947377,40.672638
NEW YORK AV,BR02322,POINT (-73.947215 40.674402),PROSPECT PL,-73.947215,40.674402
18 AV,BR02324,POINT (-73.972533 40.632788),OCEAN PKWY,-73.972533,40.632788
Marcus Garvey Blvd,BR02325,POINT (-73.937533 40.679944000000006),FULTON ST,-73.937533,40.679944
FULTON ST,BR02326,POINT (-73.921761 40.678587),MACDOUGAL ST,-73.921761,40.678587
GATES AV,BR02327,POINT (-73.916549 40.695223),WILSON AV,-73.916549,40.695223
Marcus Garvey Blvd,BR02328,POINT (-73.941519 40.69999),BROADWAY,-73.941519,40.69999
DEKALB AV,BR02329,POINT (-73.92244 40.700926),Knickerbocker Av,-73.92244,40.700926
14 AV,BR02330,POINT (-74.013446 40.611226),BENSON AV,-74.013446,40.611226
RALPH AV,BR02331,POINT (-73.919878 40.645352),CLARENDON RD,-73.919878,40.645352
18 AV,BR02334,POINT (-73.997424 40.612087),77 ST,-73.997424,40.612087
18 AV,BR02335,POINT (-73.990553 40.618626),66 ST,-73.990553,40.618626
18 AV,BR02336,POINT (-73.989276 40.619896000000004),64 ST,-73.989276,40.619896
86 ST,BR02337,POINT (-73.985026 40.596741),STILLWELL AV,-73.985026,40.596741
BAY PKWY,BR02338,POINT (-73.982904 40.612582),67 ST,-73.982904,40.612582
18 AV,BR02339,POINT (-74.006211 40.603733),BATH AV,-74.006211,40.603733
BATH AV,BR02340,POINT (-74.006413 40.604125),18 AV,-74.006413,40.604125
GRAHAM AV,BR02341,POINT (-73.94268 40.704719),SEIGEL ST,-73.94268,40.704719
GRAHAM AV,BR02342,POINT (-73.94233 40.702599),COOK ST,-73.94233,40.702599
WILSON AV,BR02343,POINT (-73.922133 40.698584),MYRTLE AV,-73.922133,40.698584
FULTON ST,BR02344,POINT (-73.970845 40.684787),CARLTON AV,-73.970845,40.684787
GRAHAM AV,BR02345,POINT (-73.944342 40.714804),METROPOLITAN AV,-73.944342,40.714804
GRAHAM AV,BR02346,POINT (-73.943041 40.706872),JOHNSON AV,-73.943041,40.706872
