LOCATION,SHELTER_ID,the_geom,AT_BETWEEN,LONGITUDE,LATITUDE
MONTROSE AV,BR0003,POINT (-73.947831 40.706812),LORIMER ST,-73.947831,40.706812
GRAHAM AV,BR0014,POINT (-73.945162 40.719097),HERBERT ST,-73.945162,40.719097
BROADWAY,BR0026,POINT (-73.945783 40.702976),LEONARD ST,-73.945783,40.702976
KINGSLAND AV,BR0028,POINT (-73.940836 40.720195),HERBERT ST,-73.940836,40.720195
VANDERBILT AV,BR0040,POINT (-73.969795 40.69344),MYRTLE AV,-73.969795,40.69344
Atlantic Av,BR0049,POINT (-73.992056 40.689488),COURT ST,-73.992056,40.689488
Atlantic Av,BR0050,POINT (-73.992675 40.689883),COURT ST,-73.992675,40.689883
Cadman Plz West,BR0055,POINT (-73.991491 40.696791),CLARK ST,-73.991491,40.696791
LIVINGSTON ST,BR0058,POINT (-73.987569 40.69025100000001),SMITH ST,-73.987569,40.690251
VANDERBILT AV,BR0062,POINT (-73.969239 40.68965),DEKALB AV,-73.969239,40.68965
TOMPKINS AV,BR0085,POINT (-73.945377 40.69027),LAFAYETTE AV,-73.945377,40.69027
TROY AV,BR0097,POINT (-73.934949 40.6794),FULTON ST,-73.934949,40.6794
FULTON ST BETWEEN FRANKLIN AV & SPENSER,BR0105,POINT (-73.9554 40.6811),BETWEEN FRANKLIN AV & SPENSER,-73.9554,40.6811
MYRTLE AV,BR0113,POINT (-73.943295 40.696135),THROOP AV,-73.943295,40.696135
MYRTLE AV,BR0131,POINT (-73.952319 40.695092),NOSTRAND AV,-73.952319,40.695092
WILSON AV,BR0140,POINT (-73.923621 40.699429),DEKALB AV,-73.923621,40.699429
WILSON AV,BR0143,POINT (-73.909371 40.691476),HALSEY ST,-73.909371,40.691476
KOSSUTH PL,BR0145,POINT (-73.927549 40.692969),BROADWAY,-73.927549,40.692969
PALMETTO ST,BR0155,POINT (-73.911115 40.699353),WYCKOFF AV,-73.911115,40.699353
BROADWAY,BR0157,POINT (-73.942323 40.70086700000001),FLUSHING AV,-73.942323,40.700867
Atlantic Av,BR0175,POINT (-73.87189 40.68174),CRESCENT ST,-73.87189,40.68174
GATES AV,BR02000,POINT (-73.94498 40.686923),TOMPKINS AV,-73.94498,40.686923
60 ST,BR02001,POINT (-74.018179 40.640598),4 AV,-74.018179,40.640598
60 ST,BR02003,POINT (-74.009731 40.635695),8 AV,-74.009731,40.635695
BAY PKWY,BR02005,POINT (-73.993389 40.602183),86 ST,-73.993389,40.602183
BAY RIDGE PKWY,BR02010,POINT (-73.995744 40.613347),18 AV,-73.995744,40.613347
BAY RIDGE PKWY,BR02011,POINT (-73.999659 40.615498),NEW UTRECHT AV,-73.999659,40.615498
14 AV,BR02012,POINT (-74.013562 40.610846),BENSON AV,-74.013562,40.610846
BAY PKWY,BR02014,POINT (-73.993747 40.602168),86 ST,-73.993747,40.602168
NEPTUNE AV,BR02015,POINT (-73.968762 40.580004),OCEAN PKWY,-73.968762,40.580004
Coney Island Av,BR02016,POINT (-73.959784 40.581814),NEPTUNE AV,-73.959784,40.581814
Coney Island Av,BR02019,POINT (-73.9608 40.591306),AV X,-73.9608,40.591306
NOSTRAND AV,BR02020,POINT (-73.94078 40.593947),AV X,-73.94078,40.593947
KINGS HWY,BR02021,POINT (-73.967383 40.605417),OCEAN PKWY,-73.967383,40.605417
AV U,BR02022,POINT (-73.937532 40.600981),COYLE ST,-73.937532,40.600981
GERRITSEN AV,BR02023,POINT (-73.933006 40.600058),AV V,-73.933006,40.600058
ST JOHNS PL,BR02024,POINT (-73.930756 40.670654),UTICA AV,-73.930756,40.670654
ST JOHNS PL,BR02025,POINT (-73.923162 40.67023700000001),RALPH AV,-73.923162,40.670237
Sutter Av,BR02026,POINT (-73.894842 40.669359),Pennsylvania Av,-73.894842,40.669359
Pennsylvania Av,BR02027,POINT (-73.895303 40.669142),SUTTER AV,-73.895303,40.669142
Pennsylvania Av,BR02029,POINT (-73.894063 40.664333),LIVONIA AV,-73.894063,40.664333
