"","X","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION","ADDRESS","lon","lat"
"1",7201,"TASTI D-LITE","523","AMSTERDAM AVE",10024,"Ice Cream, Gelato, Yogurt, Ices","523, AMSTERDAM AVE, New York, NY",-73.9751974,40.7870891
"2",7202,"NEW HONG WONG SEAFOOD RESTAURANT","100","BOWERY",10013,"Seafood","100, BOWERY, New York, NY",-73.995468,40.717777
"3",7203,"SUTTON PIZZA & GYRO","1140","1 AVENUE",10065,"Pizza","1140, 1 AVENUE, New York, NY",-73.9600591,40.7617943
"4",7204,"CASABIANCA  PIZZA RESTAURANT","503","W 57TH ST",10019,"Pizza/Italian","503, W 57TH ST, New York, NY",-73.9888764,40.7694722
"5",7205,"PIER I CAFE","PIER I","WEST 70 STREET",10069,"American","PIER I, WEST 70 STREET, New York, NY",-73.988689,40.779855
"6",7206,"CILANTRO","485","COLUMBUS AVENUE",10024,"Mexican","485, COLUMBUS AVENUE, New York, NY",NA,NA
"7",7207,"KIABACCA PIZZA AND BEER","639","10TH AVE",10036,"American","639, 10TH AVE, New York, NY",NA,NA
"8",7208,"PRET A MANGER","179","BROADWAY",10007,"Sandwiches/Salads/Mixed Buffet","179, BROADWAY, New York, NY",NA,NA
"9",7209,"ALL ABOUT FOOD","16","EAST   58 STREET",10022,"Delicatessen","16, EAST   58 STREET, New York, NY",-73.9727411,40.7630756
"10",7210,"THE RAWL","212","E 45TH ST",10017,"Asian","212, E 45TH ST, New York, NY",NA,NA
"11",7211,"FLATIRON LOUNGE","37","WEST   19 STREET",10011,"American","37, WEST   19 STREET, New York, NY",-73.9931724,40.7400396
"12",7212,"AARONS CHINESE AND THAI RESTAURANT","338","9TH AVE",10001,"Chinese","338, 9TH AVE, New York, NY",-73.9982225,40.7504063
"13",7213,"Kaffe 1668","530","5TH AVE",10036,"Caf̩/Coffee/Tea","530, 5TH AVE, New York, NY",-73.9801333,40.7552112
"14",7214,"SUBWAY","334","GRAND STREET",10002,"Sandwiches/Salads/Mixed Buffet","334, GRAND STREET, New York, NY",-73.9899792,40.7171935
"15",7215,"JUST SALAD","325","HUDSON ST",10013,"Salads","325, HUDSON ST, New York, NY",NA,NA
"16",7216,"GOHAN","14A","ORCHARD ST",10002,"Japanese","14A, ORCHARD ST, New York, NY",NA,NA
"17",7217,"LUCKY JACK'S","129","ORCHARD STREET",10002,"American","129, ORCHARD STREET, New York, NY",-73.989708,40.7196907
"18",7218,"CASA DI ISACCO","536","9 AVENUE",10018,"Italian","536, 9 AVENUE, New York, NY",-73.9934938,40.7568372
"19",7219,"THE CAPITAL GRILLE","120","WEST   51 STREET",10020,"American","120, WEST   51 STREET, New York, NY",-73.9812268,40.7607952
"20",7220,"PRICE WATERHOUSE CAFETERIA","300","MADISON AVENUE",10017,"American","300, MADISON AVENUE, New York, NY",-73.9800186,40.7526284
"21",7221,"STARBUCKS","750","6 AVENUE",10010,"Caf̩/Coffee/Tea","750, 6 AVENUE, New York, NY",-73.9918116,40.7437269
"22",7222,"LENWICH","1481","2ND AVE",10075,"American","1481, 2ND AVE, New York, NY",-73.9561838,40.7722542
"23",7223,"MASALA TIMES","194","BLEECKER STREET",10012,"Indian","194, BLEECKER STREET, New York, NY",-74.0016198,40.7292302
"24",7224,"UPSTATE","95","1 AVENUE",10003,"Seafood","95, 1 AVENUE, New York, NY",-73.9865533,40.7263542
"25",7225,"CAFE ARTE","74","PEARL ST",10004,"Sandwiches/Salads/Mixed Buffet","74, PEARL ST, New York, NY",-74.0104776,40.7037389
"26",7226,"LTK LITTLE THAI KITCHEN","231","EAST   53 STREET",10022,"Thai","231, EAST   53 STREET, New York, NY",-73.9680576,40.7572778
"27",7227,"STARBUCKS COFFEE COMPANY","969","1ST AVE",10022,"Caf̩/Coffee/Tea","969, 1ST AVE, New York, NY",-73.964904,40.756099
"28",7228,"PARK AVENUE TAVERN","99","PARK AVENUE",10016,"American","99, PARK AVENUE, New York, NY",-73.9782738,40.7501421
"29",7229,"CITY SWIGGERS","320","EAST   86 STREET",10028,"American","320, EAST   86 STREET, New York, NY",-73.9509644,40.7772734
"30",7230,"DON FILIPPO RESTAURANT","1133","LEXINGTON AVENUE",10075,"Italian","1133, LEXINGTON AVENUE, New York, NY",-73.9589085,40.7745651
"31",7231,"POULETTE","426","AMSTERDAM AVE",10024,"Chicken","426, AMSTERDAM AVE, New York, NY",-73.977874,40.784224
"32",7232,"DRUNKEN MUNKEY","338","E 92ND STREET",10128,"Indian","338, E 92ND STREET, New York, NY",-73.9476236,40.7808386
"33",7233,"FAIRYTALES LOUNGE","500","WEST   48 STREET",10036,"American","500, WEST   48 STREET, New York, NY",-73.9930806,40.7634549
"34",7234,"GREAT JONES CAFE","54","GREAT JONES ST",10012,"American","54, GREAT JONES ST, New York, NY",-73.9921584,40.72672
"35",7235,"STARBUCKS","360","LEXINGTON AVENUE",10017,"Caf̩/Coffee/Tea","360, LEXINGTON AVENUE, New York, NY",-73.977096,40.7504742
"36",7236,"GOOGLE PANORAMA","111","8TH AVE",10011,"American","111, 8TH AVE, New York, NY",-74.0033873,40.7414688
"37",7237,"LIQUITERIA","145","4TH AVE",10003,"Juice, Smoothies, Fruit Salads","145, 4TH AVE, New York, NY",-73.9895651,40.7338763
"38",7238,"CHEF ALESS","2100","2ND AVE",10029,"French","2100, 2ND AVE, New York, NY",-73.941077,40.791923
"39",7239,"AMY'S BREAD","250","BLEECKER STREET",10014,"Bakery","250, BLEECKER STREET, New York, NY",-74.0030587,40.730947
"40",7240,"JUST LORRAINE'S PLACE","2247","ADAM CLAYTON POWELL BOULEVARD",10027,"American","2247, ADAM CLAYTON POWELL BOULEVARD, New York, NY",-73.944605,40.813429
"41",7241,"COACH","10","HUDSON YARDS",10001,"American","10, HUDSON YARDS, New York, NY",-74.00105,40.7525
"42",7242,"PRONTO PIZZA","114","LIBERTY STREET",10006,"Pizza","114, LIBERTY STREET, New York, NY",-74.0121583,40.7097687
"43",7243,"TIM HO WAN","85","4TH AVE",10003,"Asian","85, 4TH AVE, New York, NY",-73.9899313,40.731505
"44",7244,"IKINARI STEAK","368","W 46TH ST",10036,"Japanese","368, W 46TH ST, New York, NY",-73.9903833,40.7606314
"45",7245,"SAKE BAR SATSKO","202","EAST    7 STREET",10009,"Japanese","202, EAST    7 STREET, New York, NY",NA,NA
"46",7246,"SEASONED VEGAN","55","ST. NICHOLAS AVENUE",10026,"Vegetarian","55, ST. NICHOLAS AVENUE, New York, NY",-73.9527667,40.8006605
"47",7247,"SHINY TEA NEW YORK","2667","BROADWAY",10025,"Caf̩/Coffee/Tea","2667, BROADWAY, New York, NY",-73.9694954,40.7983067
"48",7248,"BOHEMIAN NEW YORK","57","GREAT JONES ST",10012,"Japanese","57, GREAT JONES ST, New York, NY",-73.9923575,40.7264011
"49",7249,"SEL RROSE","1","DELANCEY STREET",10002,"French","1, DELANCEY STREET, New York, NY",-73.9938395,40.7200076
"50",7250,"THE FINANCIER PATISSERIE","43163","World Financial Center",10281,"Caf̩/Coffee/Tea","43163, World Financial Center, New York, NY",-74.015278,40.7125
"51",7251,"YOAN MING GARDEN","1407","MADISON AVE",10029,"Chinese","1407, MADISON AVE, New York, NY",-73.953151,40.78813
"52",7252,"TASTE OF SHANGHAI HAPPY EATS","42","MOTT ST",10013,"Chinese","42, MOTT ST, New York, NY",-73.9985898,40.7152459
