"","X","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION","ADDRESS","lon","lat"
"1",2401,"DOMINO'S","1993","THIRD AVENUE",10029,"Pizza","1993, THIRD AVENUE, New York, NY",-73.9427214,40.7937262
"2",2402,"OAXACA TAQUERIA","405","W 44TH ST",10036,"Mexican","405, W 44TH ST, New York, NY",NA,NA
"3",2403,"44TH STREET MINAR","160","EAST   44 STREET",10017,"Indian","160, EAST   44 STREET, New York, NY",NA,NA
"4",2404,"VIVE LA CREPE","1W","59TH ST",10019,"French","1W, 59TH ST, New York, NY",NA,NA
"5",2405,"TANOSHI TEI","1374","YORK AVE",10021,"Japanese","1374, YORK AVE, New York, NY",-73.95277,40.767628
"6",2406,"LE POISSON ROUGE","158","BLEECKER STREET",10012,"French","158, BLEECKER STREET, New York, NY",-74.0000523,40.7284753
"7",2407,"TEREMOK","358","7TH AVE",10001,"Russian","358, 7TH AVE, New York, NY",-73.9928788,40.748439
"8",2408,"MULDOONS BAR","692","3 AVENUE",10017,"Irish","692, 3 AVENUE, New York, NY",NA,NA
"9",2409,"B & H RESTAURANT","127","SECOND AVENUE",10003,"Vegetarian","127, SECOND AVENUE, New York, NY",NA,NA
"10",2410,"GREAT WALL RESTAURANT","384","GRAND ST",10002,"Chinese","384, GRAND ST, New York, NY",-73.9876401,40.7164928
"11",2411,"MOTHER'S RUIN","18","SPRING STREET",10012,"American","18, SPRING STREET, New York, NY",-73.9950089,40.7213034
"12",2412,"RAI RAI KEN","1467","AMSTERDAM AVE",10027,"Japanese","1467, AMSTERDAM AVE, New York, NY",-73.953125,40.817092
"13",2413,"DA NICO RESTAURANT","164","MULBERRY STREET",10013,"Italian","164, MULBERRY STREET, New York, NY",-73.9969371,40.719646
"14",2414,"THE LIBRARY","7","AVENUE A",10009,"Bottled beverages, including water, sodas, juices, etc.","7, AVENUE A, New York, NY",-73.986389,40.7226196
"15",2415,"ANCHOR HEIGHTS","575","W 207TH ST",10034,"Italian","575, W 207TH ST, New York, NY",-73.9203704,40.8666633
"16",2416,"Caf̩ Medi/ Jia Lounge","107","RIVINGTON STREET",10002,"American","107, RIVINGTON STREET, New York, NY",-73.988093,40.719762
"17",2417,"WA JEAL","1588","2 AVENUE",10028,"Chinese","1588, 2 AVENUE, New York, NY",-73.9531948,40.7753797
"18",2418,"TONY'S DI NAPOLI","147","WEST 43RD STREET",10036,"Italian","147, WEST 43RD STREET, New York, NY",-73.9854363,40.756485
"19",2419,"PICK-A-BAGEL","297","3 AVENUE",10010,"Bagels/Pretzels","297, 3 AVENUE, New York, NY",-73.9830718,40.7385291
"20",2420,"LAS RAMBLAS","170","WEST    4 STREET",10014,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","170, WEST    4 STREET, New York, NY",-74.0016271,40.7320189
"21",2421,"AURORA SOHO","510","BROOME STREET",10013,"Italian","510, BROOME STREET, New York, NY",NA,NA
"22",2422,"AGERN","89","E 42ND ST",10017,"American","89, E 42ND ST, New York, NY",NA,NA
"23",2423,"MAOZ VEGETARIAN","38","UNION SQUARE EAST",10003,"Vegetarian","38, UNION SQUARE EAST, New York, NY",NA,NA
"24",2424,"DISHES","399","PARK AVENUE",10022,"American","399, PARK AVENUE, New York, NY",-73.9719354,40.7592419
"25",2425,"WEST SIDE CAFE AND PIZZA","218","W 72ND ST",10023,"American","218, W 72ND ST, New York, NY",-73.9828537,40.7788161
"26",2426,"EL RIO GRANDE","160","EAST   38 STREET",10016,"Mexican","160, EAST   38 STREET, New York, NY",-73.9768734,40.7481485
"27",2427,"BOUNCE","55","WEST   21 STREET",10010,"American","55, WEST   21 STREET, New York, NY",-73.9929888,40.7415191
"28",2428,"SLATTERY'S MIDTOWN PUB","8","EAST   36 STREET",10016,"American","8, EAST   36 STREET, New York, NY",NA,NA
"29",2429,"THE PONY BAR","1444","1 AVENUE",10021,"American","1444, 1 AVENUE, New York, NY",-73.9542362,40.7697437
"30",2430,"PETALUMA","1356","1 AVENUE",10021,"Italian","1356, 1 AVENUE, New York, NY",NA,NA
"31",2431,"GRAND HAVANA ROOM","666","5 AVENUE",10019,"American","666, 5 AVENUE, New York, NY",-73.976204,40.760163
"32",2432,"THE WATER CLUB","500","EAST   30 STREET",10016,"Seafood","500, EAST   30 STREET, New York, NY",-73.9723737,40.7403685
"33",2433,"SARABETH'S","40","CENTRAL PARK SOUTH",10019,"American","40, CENTRAL PARK SOUTH, New York, NY",-73.9757026,40.7651362
"34",2434,"VACCA GRILL & LOUNGE","420","WEST 203RD ST",10034,"American","420, WEST 203RD ST, New York, NY",NA,NA
"35",2435,"PORTENO","299","10 AVENUE",10001,"Spanish","299, 10 AVENUE, New York, NY",-74.002523,40.750507
"36",2436,"TRATTORIA ZERO OTTO NOVE II","15","WEST   21 STREET",10010,"Italian","15, WEST   21 STREET, New York, NY",-73.9915327,40.7408622
"37",2437,"GRAND HYATT NEW YORK HOTEL","0","@ GRAND CENTRAL",10017,"American","0, @ GRAND CENTRAL, New York, NY",-73.8029154,40.7158904
"38",2438,"SICHUAN HOT POT CUISINE","34","PELL ST",10013,"Chinese","34, PELL ST, New York, NY",-73.9985898,40.7150914
"39",2439,"KORI TRIBECA","253","CHURCH ST",10013,"Korean","253, CHURCH ST, New York, NY",-74.0053384,40.7178632
"40",2440,"KIRSH BAKERY AND KITCHEN","551","AMSTERDAM AVE",10024,"American","551, AMSTERDAM AVE, New York, NY",-73.9743251,40.7880874
"41",2441,"DUNKIN' DONUTS","105","W 125TH ST",10027,"Donuts","105, W 125TH ST, New York, NY",-73.945866,40.8083328
"42",2442,"DUNKIN DONUTS","155","W 35TH ST",10001,"Donuts","155, W 35TH ST, New York, NY",NA,NA
"43",2443,"LORELEY RESTAURANT","7","RIVINGTON STREET",10002,"German","7, RIVINGTON STREET, New York, NY",NA,NA
"44",2444,"EL LUCHADOR","87","SOUTH ST",10038,"Spanish","87, SOUTH ST, New York, NY",-74.0042543,40.7058993
"45",2445,"EVOLVE","221","EAST 58 STREET",10022,"American","221, EAST 58 STREET, New York, NY",NA,NA
"46",2446,"RELIABLE FOOD","59","EAST   54 STREET",10022,"American","59, EAST   54 STREET, New York, NY",-73.9728788,40.7601624
"47",2447,"SCHNITZEL EXPRESS","120","W 39TH ST",10018,"Jewish/Kosher","120, W 39TH ST, New York, NY",NA,NA
"48",2448,"BEER TABLE COFFEE TABLE","729","3RD AVE",10017,"American","729, 3RD AVE, New York, NY",NA,NA
"49",2449,"PICK AND EAT 2","4932","BROADWAY",10034,"American","4932, BROADWAY, New York, NY",NA,NA
"50",2450,"BEER AUTHORITY","300","WEST   40 STREET",10018,"American","300, WEST   40 STREET, New York, NY",-73.9911822,40.7559338
"51",2451,"DIG INN SEASONAL MARKET","1178","BROADWAY",10001,"American","1178, BROADWAY, New York, NY",-73.988461,40.7453138
"52",2452,"THE FLYING PUCK","364","7 AVENUE",10001,"American","364, 7 AVENUE, New York, NY",NA,NA
"53",2453,"DOC HOLIDAYS","141","AVENUE A",10009,"American","141, AVENUE A, New York, NY",NA,NA
"54",2454,"APERITIVO PIZZA BAR","780","3 AVENUE",10017,"Pizza","780, 3 AVENUE, New York, NY",-73.9718457,40.7550182
"55",2455,"MEZZE CAFE","210","E 41ST ST",10017,"American","210, E 41ST ST, New York, NY",-73.9743872,40.7496832
"56",2456,"HAN DYNASTY","90","3RD AVE",10003,"Chinese","90, 3RD AVE, New York, NY",NA,NA
"57",2457,"OPAI THAI","722","AMSTERDAM AVENUE",10025,"Thai","722, AMSTERDAM AVENUE, New York, NY",-73.9709963,40.7936504
"58",2458,"DUNKIN DONUTS","1433","2ND AVE",10021,"Caf̩/Coffee/Tea","1433, 2ND AVE, New York, NY",-73.9573243,40.7706169
"59",2459,"HOP SHING RESTAURANT","9","CHATHAM SQUARE",10038,"Chinese","9, CHATHAM SQUARE, New York, NY",-73.9980389,40.7139705
"60",2460,"35 DUET","5355","WEST   35 STREET",10001,"Japanese","5355, WEST   35 STREET, New York, NY",NA,NA
"61",2461,"GENUINE SUPERETTE","191","GRAND ST",10013,"American","191, GRAND ST, New York, NY",NA,NA
"62",2462,"LE SOUK","510","LAGUARDIA PLACE",10012,"Moroccan","510, LAGUARDIA PLACE, New York, NY",-73.9993703,40.7279459
"63",2463,"MADISON RESTAURANT","965","1 AVENUE",10022,"American","965, 1 AVENUE, New York, NY",NA,NA
"64",2464,"MANGANARO'S HERO BOY","494","9TH AVE",10018,"American","494, 9TH AVE, New York, NY",-73.9944558,40.755521
"65",2465,"PIG AND KHAO","68","CLINTON STREET",10002,"Thai","68, CLINTON STREET, New York, NY",NA,NA
"66",2466,"THE LONG ROOM","120","WEST   44 STREET",10036,"Irish","120, WEST   44 STREET, New York, NY",-73.9843344,40.7564058
"67",2467,"PANNA II GARDEN INDIAN RESTAURANT","93","1ST AVE",10003,"Indian","93, 1ST AVE, New York, NY",-73.9865701,40.7262841
"68",2468,"NEW WONG RESTAURANT","103","EAST BROADWAY",10002,"Chinese","103, EAST BROADWAY, New York, NY",-73.9931601,40.7135776
"69",2469,"PERSHING SQUARE CAFE","90","EAST   42 STREET",10017,"American","90, EAST   42 STREET, New York, NY",NA,NA
"70",2470,"CAFE JAX","318","E 84TH ST",10028,"Caf̩/Coffee/Tea","318, E 84TH ST, New York, NY",-73.9519402,40.7759753
"71",2471,"PRINTERS ALLEY","215","W 40TH ST",10018,"American","215, W 40TH ST, New York, NY",NA,NA
"72",2472,"EL MAGUEY Y LA TUNA","321","EAST HOUSTON STREET",10002,"Mexican","321, EAST HOUSTON STREET, New York, NY",-73.9828911,40.7209672
"73",2473,"VOL DE NUIT","148","WEST    4 STREET",10012,"French","148, WEST    4 STREET, New York, NY",-74.0006505,40.7313614
"74",2474,"CAFE ZAIYA","18","EAST   41 STREET",10017,"Japanese","18, EAST   41 STREET, New York, NY",-73.9804547,40.7522079
"75",2475,"16 HANDLES","153","2 AVENUE",10003,"Ice Cream, Gelato, Yogurt, Ices","153, 2 AVENUE, New York, NY",NA,NA
"76",2476,"LE GRAINNE CAFE","183","9 AVENUE",10011,"French","183, 9 AVENUE, New York, NY",-74.0024462,40.7454081
"77",2477,"BETWEEN THE BREAD","145","WEST   55 STREET",10019,"American","145, WEST   55 STREET, New York, NY",NA,NA
"78",2478,"CAFE BONJOUR DELI & PIZZA","18","WEST 38 STREET",10018,"American","18, WEST 38 STREET, New York, NY",-73.9838064,40.7512171
"79",2479,"NEW YORK UNIVERSITY - LAW SCHOOL","110","WEST THIRD STREET",10012,"American","110, WEST THIRD STREET, New York, NY",-73.9999854,40.7300989
"80",2480,"BAR 9","807","9TH AVE",10019,"American","807, 9TH AVE, New York, NY",-73.9875712,40.7657216
"81",2481,"DESMOND'S TAVERN","433","PARK AVENUE SOUTH",10016,"American","433, PARK AVENUE SOUTH, New York, NY",NA,NA
"82",2482,"THE MEAN FIDDLER","266","WEST   47 STREET",10036,"American","266, WEST   47 STREET, New York, NY",-73.9871765,40.7600569
"83",2483,"HOT KITCHEN","251","E 53RD ST",10022,"Chinese","251, E 53RD ST, New York, NY",-73.9674607,40.7570387
"84",2484,"CARA MIA","654","9TH AVE",10036,"Italian","654, 9TH AVE, New York, NY",-73.9906473,40.7606785
"85",2485,"Nomura cafeteria( 25 th floor)","309","W 49 ST",10019,"American","309, W 49 ST, New York, NY",-73.9870679,40.7621335
"86",2486,"SOCARRAT (PAELLA BAR AND WINE BAR)","259","WEST   19 STREET",10011,"Spanish","259, WEST   19 STREET, New York, NY",NA,NA
"87",2487,"BUENOS AIRES","513","EAST    6 STREET",10009,"Spanish","513, EAST    6 STREET, New York, NY",NA,NA
"88",2488,"GLAZE","60","W 56TH ST",10019,"Asian","60, W 56TH ST, New York, NY",NA,NA
"89",2489,"CHIPOTLE MEXICAN GRILL","234","5TH AVE",10001,"Mexican","234, 5TH AVE, New York, NY",NA,NA
"90",2490,"SUSHI SEKI","208","W 23RD ST",10011,"Japanese","208, W 23RD ST, New York, NY",NA,NA
"91",2491,"THAI GRILL SUSHI BAR","137","EAST   45 STREET",10017,"Thai","137, EAST   45 STREET, New York, NY",-73.9739906,40.7533095
"92",2492,"LYCEUM THEATRE","149","WEST   45 STREET",10036,"American","149, WEST   45 STREET, New York, NY",NA,NA
"93",2493,"GOTTINO","52","GREENWICH AVENUE",10011,"Italian","52, GREENWICH AVENUE, New York, NY",NA,NA
"94",2494,"EVERGREEN ON 38ST","10","E 38TH ST",10016,"Chinese","10, E 38TH ST, New York, NY",NA,NA
"95",2495,"FRESH & CO","729","BROADWAY",10003,"Sandwiches/Salads/Mixed Buffet","729, BROADWAY, New York, NY",-73.9933803,40.7298639
"96",2496,"EMMETTS","50","MACDOUGAL ST",10012,"American","50, MACDOUGAL ST, New York, NY",NA,NA
"97",2497,"RITZ DINER","1133","1 AVENUE",10065,"American","1133, 1 AVENUE, New York, NY",NA,NA
"98",2498,"The Meatball Shop","447","AMSTERDAM AVE",10024,"American","447, AMSTERDAM AVE, New York, NY",-73.9770127,40.7846321
"99",2499,"KISS MY SLICE","274","W 40TH ST",10018,"Pizza","274, W 40TH ST, New York, NY",NA,NA
"100",2500,"BLAKE & TODD","52","VANDERBILT AVENUE",10017,"American","52, VANDERBILT AVENUE, New York, NY",NA,NA
"101",2501,"KMR","575","MADISON AVE FL 1ST",10022,"American","575, MADISON AVE FL 1ST, New York, NY",-73.9723606,40.7617659
"102",2502,"LE PAIN QUOTIDIEN","708","3 AVENUE",10017,"French","708, 3 AVENUE, New York, NY",NA,NA
"103",2503,"WHOLESOME GARDEN PIZZA","3529","BROADWAY",10031,"Pizza","3529, BROADWAY, New York, NY",NA,NA
"104",2504,"THE CUTTING ROOM","44","EAST   32 STREET",10016,"American","44, EAST   32 STREET, New York, NY",-73.982957,40.7458665
"105",2505,"MANNY RESTAURANT AND LOUNGE","3668","BROADWAY",10031,"Spanish","3668, BROADWAY, New York, NY",-73.9470725,40.8306123
"106",2506,"MIDDLE EATS","171","W 23RD ST",10011,"Middle Eastern","171, W 23RD ST, New York, NY",NA,NA
"107",2507,"MURRAY'S BAGELS","242","8 AVENUE",10011,"Bagels/Pretzels","242, 8 AVENUE, New York, NY",-73.9985095,40.7447437
"108",2508,"STARBUCKS","301","WEST  145 STREET",10039,"Caf̩/Coffee/Tea","301, WEST  145 STREET, New York, NY",NA,NA
"109",2509,"LIMON JUNGLE","803","9 AVENUE",10019,"Mexican","803, 9 AVENUE, New York, NY",-73.987768,40.765661
"110",2510,"TRE OTTO","1410","MADISON AVE",10029,"Italian","1410, MADISON AVE, New York, NY",-73.9535933,40.7883992
"111",2511,"REGIONAL","2607","BROADWAY",10025,"Italian","2607, BROADWAY, New York, NY",NA,NA
"112",2512,"UP THAI","1411","2ND AVE",10021,"Thai","1411, 2ND AVE, New York, NY",-73.9578638,40.769951
"113",2513,"BUTTERCUP BAKE SHOP","167","MADISON AVE",10016,"Bakery","167, MADISON AVE, New York, NY",NA,NA
"114",2514,"DAK BAKERY","90","BOWERY",10013,"Bakery","90, BOWERY, New York, NY",-73.995666,40.717511
"115",2515,"F & M 99 CENTS PIZZA","153","AVENUE C",10009,"Pizza","153, AVENUE C, New York, NY",NA,NA
"116",2516,"DOS TOROS TAQUERIA","636","LEXINGTON AVE",10022,"Mexican","636, LEXINGTON AVE, New York, NY",-73.9706723,40.7592098
"117",2517,"BOCCA","39","EAST   19 STREET",10003,"Italian","39, EAST   19 STREET, New York, NY",-73.9888568,40.7382691
"118",2518,"BETTOLONA","3143","BROADWAY",10027,"Italian","3143, BROADWAY, New York, NY",-73.9598383,40.8141969
"119",2519,"BONJOUR CREPES & WINE","1585","2 AVENUE",10028,"Sandwiches","1585, 2 AVENUE, New York, NY",-73.9537311,40.7755357
"120",2520,"THE DELANCEY","168","DELANCEY STREET",10002,"American","168, DELANCEY STREET, New York, NY",NA,NA
"121",2521,"ING CAFE","1133","AVENUE OF THE AMERICAS",10036,"American","1133, AVENUE OF THE AMERICAS, New York, NY",-73.9838279,40.7560149
"122",2522,"OXFORD CAFE","109","EAST   59 STREET",10022,"Delicatessen","109, EAST   59 STREET, New York, NY",NA,NA
"123",2523,"CHINELOS II DELI-GROCERY RESTAURANT","530","W 136TH ST",10031,"Mexican","530, W 136TH ST, New York, NY",-73.9536851,40.8201833
"124",2524,"SUSHIANN","38","EAST   51 STREET",10022,"Japanese","38, EAST   51 STREET, New York, NY",NA,NA
"125",2525,"PRET A MANGER","62","WEST   45 STREET",10036,"American","62, WEST   45 STREET, New York, NY",-73.9820617,40.7562568
"126",2526,"MIYABI SUSHI & ASIAN CUISINE","118","W 3RD ST",10012,"Japanese","118, W 3RD ST, New York, NY",-74.0003803,40.7304445
"127",2527,"THAI WOK","1406","MADISON AVE",10029,"Thai","1406, MADISON AVE, New York, NY",-73.9536856,40.7881659
"128",2528,"SLAUGHTERED LAMB PUB","182","W 4TH ST",10014,"American","182, W 4TH ST, New York, NY",-74.0019252,40.7323493
"129",2529,"HOURGLASS TAVERN","373","WEST   46 STREET",10036,"American","373, WEST   46 STREET, New York, NY",-73.9903374,40.7609336
"130",2530,"DIG INN","80","PINE ST",10005,"American","80, PINE ST, New York, NY",-74.0068218,40.7061616
"131",2531,"EVERYDAY GOURMET DELI","369","LEXINGTON AVENUE",10017,"American","369, LEXINGTON AVENUE, New York, NY",-73.9764372,40.750576
"132",2532,"ROUTE 66 AMERICAN BBQ","79","PEARL ST",10004,"American","79, PEARL ST, New York, NY",NA,NA
"133",2533,"FRESCO ON THE GO","40","EAST   52 STREET",10022,"American","40, EAST   52 STREET, New York, NY",-73.9740984,40.7586002
"134",2534,"DUNKIN DONUTS/BASKIN ROBINS","147","E 116TH ST",10029,"Donuts","147, E 116TH ST, New York, NY",NA,NA
"135",2535,"BALON","245","EAST   81 STREET",10028,"Bottled beverages, including water, sodas, juices, etc.","245, EAST   81 STREET, New York, NY",NA,NA
"136",2536,"GIACOMO FINE FOODS","269","WEST   72 STREET",10069,"American","269, WEST   72 STREET, New York, NY",NA,NA
"137",2537,"BOMBAY'S","60","PEARL STREET",10004,"Indian","60, PEARL STREET, New York, NY",-74.0110768,40.703419
"138",2538,"SIX PANS/ CREAMLINE","180","7TH AVE",10011,"American","180, 7TH AVE, New York, NY",-73.996983,40.7427419
"139",2539,"JAIYA THAI ORIENTAL RESTAURANT","396","THIRD AVENUE",10016,"Thai","396, THIRD AVENUE, New York, NY",-73.9810516,40.742257
"140",2540,"MEDITERRANEO","1260","2 AVENUE",10065,"Italian","1260, 2 AVENUE, New York, NY",NA,NA
"141",2541,"SUNFLOWER DINER","359","3 AVENUE",10016,"American","359, 3 AVENUE, New York, NY",-73.9814648,40.740733
"142",2542,"CAFE OLYMPIA","833","2nd Avenue",10017,"American","833, 2nd Avenue, New York, NY",NA,NA
"143",2543,"TENZAN CUISINE","285","COLUMBUS AVENUE",10023,"Japanese","285, COLUMBUS AVENUE, New York, NY",-73.9779183,40.7782965
"144",2544,"PIZZA 23","268","W 23RD ST",10011,"Pizza","268, W 23RD ST, New York, NY",-73.9983379,40.7450574
"145",2545,"NEW CRISPY BAMBOO","2526","FREDERICK DOUGLAS BOULEVARD",10030,"Chinese","2526, FREDERICK DOUGLAS BOULEVARD, New York, NY",NA,NA
"146",2546,"OGAWA CAFE","36","E 4TH ST",10003,"Japanese","36, E 4TH ST, New York, NY",-73.9922849,40.7272011
"147",2547,"URBAN VEGAN KITCHEN","4143","CARMINE STREET",10014,"Vegetarian","4143, CARMINE STREET, New York, NY",NA,NA
"148",2548,"GRILL 21","346","E 21ST ST",10010,"Filipino","346, E 21ST ST, New York, NY",-73.9799267,40.7356312
"149",2549,"CURRY YA","214","EAST   10 STREET",10003,"Japanese","214, EAST   10 STREET, New York, NY",NA,NA
"150",2550,"CAFE ON 5TH/STERLING AFFAIR","1216","5 AVENUE",10029,"American","1216, 5 AVENUE, New York, NY",-73.9525805,40.7918853
"151",2551,"RE: SOURCES","1675","BROADWAY",10019,"American","1675, BROADWAY, New York, NY",NA,NA
"152",2552,"HEALTHIER CHOICES","2107","1 AVENUE",10029,"Caribbean","2107, 1 AVENUE, New York, NY",-73.9391696,40.7911679
"153",2553,"BULL MCCABES","29","ST MARKS PLACE",10003,"Irish","29, ST MARKS PLACE, New York, NY",NA,NA
"154",2554,"NISHIDA SHO-TEN","302","E 49TH ST",10017,"Japanese","302, E 49TH ST, New York, NY",-73.9685969,40.7540917
"155",2555,"CROWN DELI","1674","BROADWAY",10019,"American","1674, BROADWAY, New York, NY",-73.982872,40.7628094
"156",2556,"CHARLIE'S PIZZA","1501","ST NICHOLAS AVENUE",10033,"Pizza","1501, ST NICHOLAS AVENUE, New York, NY",NA,NA
"157",2557,"FEAST ON US","645","HUDSON ST",10014,"American","645, HUDSON ST, New York, NY",NA,NA
"158",2558,"SUSHI JUN","875","3 AVENUE",10022,"Japanese","875, 3 AVENUE, New York, NY",NA,NA
"159",2559,"LEGEND BAR & RESTAURANT","88","7 AVENUE",10011,"Chinese","88, 7 AVENUE, New York, NY",-73.9993049,40.7396046
"160",2560,"VIC'S","31","GREAT JONES ST",10012,"American","31, GREAT JONES ST, New York, NY",NA,NA
"161",2561,"ZUCKER'S BAGELS AND SMOKED FISH","146","CHAMBERS STREET",10007,"Bagels/Pretzels","146, CHAMBERS STREET, New York, NY",NA,NA
"162",2562,"LA NOSTRA PIZZERIA","2146","2 AVENUE",10029,"Pizza","2146, 2 AVENUE, New York, NY",-73.940172,40.793151
"163",2563,"HAMA","11","W 51ST ST",10019,"Japanese","11, W 51ST ST, New York, NY",-73.977638,40.759786
"164",2564,"SCALINI FEDELI","165","DUANE STREET",10013,"Italian","165, DUANE STREET, New York, NY",-74.009317,40.7174312
"165",2565,"THE PARLOUR","250","WEST   86 STREET",10024,"American","250, WEST   86 STREET, New York, NY",NA,NA
"166",2566,"WOOLWORTH TOWER KITCHEN/THE WOOLY PUBLIC","233","BROADWAY",10279,"American","233, BROADWAY, New York, NY",NA,NA
"167",2567,"FOOD IN MOTION","214","SULLIVAN STREET",10012,"American","214, SULLIVAN STREET, New York, NY",NA,NA
"168",2568,"JUICE GENERATION CAFE GROUP","69","PRINCE STREET",10012,"American","69, PRINCE STREET, New York, NY",-73.9970289,40.7240841
"169",2569,"NOODIES THAI","830","9TH AVE",10019,"Thai","830, 9TH AVE, New York, NY",NA,NA
"170",2570,"THALASSA","179","FRANKLIN STREET",10013,"Greek","179, FRANKLIN STREET, New York, NY",NA,NA
"171",2571,"CANTEEN 82","467","COLUMBUS AVENUE",10024,"Chinese","467, COLUMBUS AVENUE, New York, NY",NA,NA
"172",2572,"GAZALA'S PLACE","709","9 AVENUE",10019,"Mediterranean","709, 9 AVENUE, New York, NY",-73.989908,40.762707
"173",2573,"PERPETUUM CAFE","200","CHURCH ST",10013,"Caf̩/Coffee/Tea","200, CHURCH ST, New York, NY",NA,NA
"174",2574,"SARABETH'S","381","PARK AVENUE SOUTH",10016,"American","381, PARK AVENUE SOUTH, New York, NY",NA,NA
"175",2575,"HAVEN ROOFTOP / SANCTUARY HOTEL","130132","W 47TH ST",10036,"American","130132, W 47TH ST, New York, NY",NA,NA
"176",2576,"LOLA LOLA RESTAURANT & BAR","1306","SAINT NICHOLAS AVE",10033,"Spanish","1306, SAINT NICHOLAS AVE, New York, NY",NA,NA
"177",2577,"TACO BELL","1503","LEXINGTON AVE",10029,"Tex-Mex","1503, LEXINGTON AVE, New York, NY",NA,NA
"178",2578,"GINA LA FORNARINA","1016","LEXINGTON AVE",10021,"Pizza/Italian","1016, LEXINGTON AVE, New York, NY",-73.9620998,40.7709873
"179",2579,"DAVIDS TEA","688","6 AVENUE",10010,"Caf̩/Coffee/Tea","688, 6 AVENUE, New York, NY",NA,NA
"180",2580,"KITARO","510","AMSTERDAM AVENUE",10024,"Chinese/Japanese","510, AMSTERDAM AVENUE, New York, NY",-73.9759551,40.7869111
"181",2581,"VIA QUADRONNO","1228","MADISON AVE",10128,"Italian","1228, MADISON AVE, New York, NY",-73.9578338,40.7825765
