"","License.Serial.Number","License.Type.Name","License.Class.Code","License.Type.Code","Agency.Zone.Office.Name","Agency.Zone.Office.Number","County.Name..Licensee.","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","License.Certificate.Number","License.Original.Issue.Date","License.Effective.Date","License.Expiration.Date","Latitude","Longitude","Location"
"1",1023964,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CALSHEA RESTAURANT CORP","THE TRIPLE CROWN","330 7TH AVENUE","","NEW YORK","NY","10001",878143,"11/17/2009","09/01/2017","08/31/2019",40.74753301,-73.99321126,"(40.74753301, -73.99321126)"
"2",1023972,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CO'R RESTAURANT L L C","O'REILLY'S PUB & RESTAURANT","56 W 31ST STREET","","NEW YORK","NY","10001",877933,"","09/01/2017","08/31/2019",40.74755694,-73.98850344,"(40.74755694, -73.98850344)"
"3",1023983,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","G G P BAR & GRILL CORP","KASTELI 11","372 8TH AVENUE","","NEW YORK","NY","10001",872016,"07/01/1981","03/01/2017","02/28/2019",40.74873322,-73.99587745,"(40.74873322, -73.99587745)"
"4",1023984,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","GARRYMORE RESTAURANT INC","NILES","371 7TH AVENUE","","NEW YORK","NY","10001",874750,"","06/01/2017","05/31/2019",40.74879376,-73.99214205,"(40.74879376, -73.99214205)"
"5",1023985,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","GENTS ENTERPRISES INC","KABOOZ'S BAR & GRILL","PENN STATION-MAIN CONCOURSE","","NEW YORK","NY","10001",865708,"","10/01/2016","09/30/2018",40.7507815,-73.99440774,"(40.7507815, -73.99440774)"
"6",1023986,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","GOURMET MANAGEMENT CORP","T G I FRIDAYS","PENNSYLVANIA STATION","CERTAIN SPACE ON LEVELS A & B","NEW YORK","NY","10001",869733,"07/07/1980","03/01/2017","02/28/2019",40.7507815,-73.99440774,"(40.7507815, -73.99440774)"
"7",1023995,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HANBAT RESTAURANT INC","","53 W 35TH STREET","","NEW YORK","NY","10001",878675,"","11/01/2017","10/31/2019",40.75001985,-73.98608797,"(40.75001985, -73.98608797)"
"8",1024041,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","N & A PRODUCTIONS INC","","27 W 35TH ST","","NEW YORK","NY","10001",879334,"","10/01/2017","09/30/2019",40.7495886,-73.98504589,"(40.7495886, -73.98504589)"
"9",1024042,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","NATURAL TOFU RESTAURANT CORP","SEOUL GARDEN","34 W 32ND ST 2ND FLOOR","","NEW YORK","NY","10001",869815,"","02/01/2017","01/31/2019",40.7480606,-73.9878183,"(40.7480606, -73.9878183)"
"10",1024056,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SALUMERIA BIELLESE INC","","376 378 8TH AVENUE","","NEW YORK","NY","10001",878854,"09/01/1986","09/01/2017","08/31/2019",40.74892465,-73.99573393,"(40.74892465, -73.99573393)"
"11",1024057,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SERVICE AMERICA CORPORATION/JACOB K JAVITS CON CNT","CENTERPLATE","655 W 34TH STREET","","NEW YORK","NY","10001",872934,"04/02/1986","04/01/2017","03/31/2019",40.7564836,-74.00350517,"(40.7564836, -74.00350517)"
"12",1024067,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TOLEDO 35 INC","CHODANGGOL","55 W 35TH STREET","","NEW YORK","NY","10001",859382,"03/22/2010","03/30/2016","02/28/2018",40.75005278,-73.98616686,"(40.75005278, -73.98616686)"
"13",1024068,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","VELKONEL RESTAURANT INC","CAFE 31","220 W 31ST STREET","","NEW YORK","NY","10001",860132,"","05/01/2016","04/30/2018",40.74956082,-73.99323155,"(40.74956082, -73.99323155)"
