"","X","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION","ADDRESS","lon","lat"
"1",4801,"CAFE ARTE","20","PINE ST",10005,"Delicatessen","20, PINE ST, New York, NY",-74.0096766,40.7075665
"2",4802,"GONG CHA","75","W 38TH ST",10018,"Juice, Smoothies, Fruit Salads","75, W 38TH ST, New York, NY",-73.9856369,40.7523195
"3",4803,"MCDONALD'S","262","CANAL STREET",10013,"Hamburgers","262, CANAL STREET, New York, NY",-74.0011607,40.7185069
"4",4804,"CHIPOTLE MEXICAN GRILL","25","WEST   45 STREET",10036,"Mexican","25, WEST   45 STREET, New York, NY",-73.9806613,40.7561159
"5",4805,"BIRCH COFFEE","8","SPRUCE ST",10038,"Caf̩/Coffee/Tea","8, SPRUCE ST, New York, NY",-74.0056509,40.7108238
"6",4806,"ISLAND BURGERS AND SHAKES","766","NINTH AVENUE",10019,"Hamburgers","766, NINTH AVENUE, New York, NY",-73.9880304,40.7642046
"7",4807,"GRIFFIS FACULTY CLUB","521","EAST   68 STREET",10065,"American","521, EAST   68 STREET, New York, NY",-73.9542568,40.7641379
"8",4808,"Vivid Cabaret","61","W 37TH ST",10018,"American","61, W 37TH ST, New York, NY",NA,NA
"9",4809,"VAN LEEUWEN ARTISAN ICE CREAM","224","FRONT ST",10038,"Ice Cream, Gelato, Yogurt, Ices","224, FRONT ST, New York, NY",-74.0023085,40.7076233
"10",4810,"TENZAN 89","1714","2ND AVE",10128,"Japanese","1714, 2ND AVE, New York, NY",NA,NA
"11",4811,"NARGILA GRILL","1599","YORK AVENUE",10028,"Jewish/Kosher","1599, YORK AVENUE, New York, NY",-73.9481287,40.7750087
"12",4812,"BRAZIL BRAZIL RESTUARANT","330","WEST 46 STREET",10036,"Brazilian","330, WEST 46 STREET, New York, NY",-73.9892498,40.7601055
"13",4813,"UPSTAIRS LOUNGE THE KIMBERLY HOTEL/ BISTANGO","145","EAST 50 STREET",10022,"American","145, EAST 50 STREET, New York, NY",-73.9713636,40.7563583
"14",4814,"ELITE FOOD BAR","325","EAST   48 STREET",10017,"American","325, EAST   48 STREET, New York, NY",-73.9681073,40.7532511
"15",4815,"MCDONALD'S","1651","BROADWAY",10019,"American","1651, BROADWAY, New York, NY",-73.9837508,40.7622594
"16",4816,"POUND AND PENCE","55","LIBERTY STREET",10005,"English","55, LIBERTY STREET, New York, NY",NA,NA
"17",4817,"GINGER ROOT","1164","1ST AVE",10065,"Chinese","1164, 1ST AVE, New York, NY",-73.9595628,40.762476
"18",4818,"KOKO WINGS","248","W 106TH ST",10025,"Chicken","248, W 106TH ST, New York, NY",-73.9673689,40.8009247
"19",4819,"KAM HING BAKERY","81","BAYARD ST",10013,"Bakery","81, BAYARD ST, New York, NY",-73.9988768,40.7156052
"20",4820,"TOPAZ NOODLE BAR","129","W 56TH ST",10019,"Asian","129, W 56TH ST, New York, NY",-73.9789855,40.7644255
"21",4821,"VA BENE","1589","SECOND AVENUE",10028,"Jewish/Kosher","1589, SECOND AVENUE, New York, NY",-73.9536392,40.775677
"22",4822,"BALLATO'S RESTAURANT","55","EAST HOUSTON STREET",10012,"Italian","55, EAST HOUSTON STREET, New York, NY",-73.9945985,40.7245321
"23",4823,"REFRIED BEANS","591","FORT WASHINGTON AVENUE",10033,"Mexican","591, FORT WASHINGTON AVENUE, New York, NY",-73.9372221,40.8550439
"24",4824,"LE PAIN QUOTIDIEN","PQ","BRYANT PARK KIOSK2",10018,"French","PQ, BRYANT PARK KIOSK2, New York, NY",-73.9832326,40.7535965
"25",4825,"JUICE FIT","55","AMSTERDAM AVE",10023,"Juice, Smoothies, Fruit Salads","55, AMSTERDAM AVE, New York, NY",-73.9861116,40.7719619
"26",4826,"TERMINAL 5","610","WEST   56 STREET",10019,"American","610, WEST   56 STREET, New York, NY",NA,NA
"27",4827,"JIMBO'S HAMBURGER PLACE","301","WEST  154 STREET",10039,"American","301, WEST  154 STREET, New York, NY",-73.9380543,40.8287532
"28",4828,"OFRENDA","113","7 AVENUE SOUTH",10014,"Mexican","113, 7 AVENUE SOUTH, New York, NY",-74.0023658,40.733921
"29",4829,"SUBWAY","174","CANAL ST",10013,"Sandwiches/Salads/Mixed Buffet","174, CANAL ST, New York, NY",-73.9975569,40.7165091
"30",4830,"DUNKIN' DONUTS","391","8TH AVE",10001,"Donuts","391, 8TH AVE, New York, NY",-73.9957434,40.7493985
"31",4831,"LA ESQUINA","1402","2ND AVE",10021,"Mexican","1402, 2ND AVE, New York, NY",-73.9577738,40.7693264
"32",4832,"THE GROTTO","69","NEW STREET",10004,"Pizza","69, NEW STREET, New York, NY",-74.0125997,40.7053238
"33",4833,"PASTA LOVERS TRATTORIA","142","WEST   49 STREET",10019,"Italian","142, WEST   49 STREET, New York, NY",-73.982976,40.7599775
"34",4834,"UPHOLSTRY STORE","715","WASHINGTON ST",10014,"French","715, WASHINGTON ST, New York, NY",NA,NA
"35",4835,"RIZZO FINE PIZZA","17","CLINTON STREET",10002,"Pizza","17, CLINTON STREET, New York, NY",NA,NA
"36",4836,"SERAFINA","210","WEST   55 STREET",10019,"Italian","210, WEST   55 STREET, New York, NY",-73.9819469,40.7644023
"37",4837,"HAPPY HOT HUNAN RESTAURANT","969","AMSTERDAM AVE",10025,"Chinese","969, AMSTERDAM AVE, New York, NY",-73.9647057,40.8013559
