"","X.2","X.1","X","zipcode","count.art","ranking.art","count.bus","ranking.bus","count.subway","ranking.subway","count.trans","ranking.trans","count.crime","ranking.crime","count.grocery","ranking.grocery","count.market","ranking.market","count.pharmacy","ranking.pharmacy","count.movie","ranking.movie","count.bar","ranking.bar","count.club","ranking.club","count.wine","ranking.wine","count.all","ranking.all","count.American","ranking.American","count.Chinese","ranking.Chinese","count.Italian","ranking.Italian","count.Japenses","ranking.Japenses","count.Pizza","ranking.Pizza","count.Others","ranking.Others","ranking.amenities","count.theatre","ranking.theatre","Studio","X1B","X2B","X3B","X4B","rob.count","pet.count","har.count","gra.count","dan.count","as.count","oth.count","lon","lat"
"1",1,1,1,10001,4,6,15,22,7,5,9.4,15,28,36,35,12,44,12,9,6,2,15,158,11,1,20,10,7,275,8,102,4,3,32,8,19,10,13,12,4,140,4,10,6,10,2981,3887,2615,1739,NA,1,9,8,1,NA,4,5,-73.9991637,40.7536854
"2",2,2,2,10002,2,12,35,4,6,7,14.7,5,430,2,70,1,72,1,2,30,2,15,163,10,2,12,21,1,295,5,75,12,62,1,9,17,18,7,14,1,117,7,9,4,14,2359,2572,1632.5,1485.33,NA,15,62,48,54,34,67,150,-73.9859414,40.7135097
"3",3,3,3,10003,13,2,18,16,6,7,9.6,14,305,7,44,8,57,5,13,2,11,1,242,3,5,6,14,6,418,1,103,3,16,4,24,8,51,1,13,2,211,1,2,24,2,2682,3294,1925.5,1702.67,NA,12,145,20,51,3,19,55,-73.9874105,40.7322535
"4",4,4,4,10009,3,8,30,8,1,37,9.7,13,218,11,52,5,56,7,4,22,1,21,120,12,NA,NA,16,2,187,14,61,14,10,11,7,22,9,14,9,7,91,15,12,4,14,2143,2790,1681,1470.33,NA,9,53,24,34,16,19,63,-73.9800645,40.7275043
"5",5,5,5,10011,2,12,15,22,9,2,10.8,9,252,9,42,10,55,8,13,2,7,3,180,7,2,12,15,4,281,6,100,5,11,8,25,6,23,2,8,10,114,10,7,9,8,2899,3743,2382,1953,NA,6,78,17,48,14,16,73,-74.0094471,40.7464969
"6",6,6,6,10012,4,6,5,36,4,14,4.3,32,234,10,18,29,24,28,6,14,4,9,171,8,1,20,15,4,262,10,90,8,6,18,29,2,20,4,4,24,113,11,12,8,8,2749,3005,1949,1984,NA,2,92,20,42,6,16,56,-73.9976946,40.7250632
"7",7,7,7,10013,7,5,8,34,8,4,8,18,126,24,27,20,31,22,4,22,2,15,181,6,NA,NA,6,10,311,4,80,10,53,2,43,1,15,9,6,18,114,10,10,9,10,5369,3651,2517,2482.33,NA,4,31,10,17,4,14,46,-74.0094471,40.7217861
"8",8,8,8,10014,8,4,10,32,2,31,4.4,30,162,19,24,24,26,26,2,30,2,15,201,4,1,20,14,6,259,11,88,9,4,26,28,4,17,8,7,14,115,8,12,10,10,2986,3429,2060,2013.33,NA,4,31,14,44,12,18,39,-74.0094471,40.7366138
"9",9,9,9,10016,1,16,22,12,2,31,8,18,65,31,33,17,40,15,7,10,5,6,167,9,2,12,2,24,278,7,95,6,9,12,18,9,22,3,9,7,125,5,11,6,11,2699,3380,2131,1926.67,NA,1,15,4,12,5,9,19,-73.9800645,40.74727
"10",10,10,10,10018,1,16,7,35,3,23,4.2,33,126,24,23,25,30,23,7,10,2,15,101,14,NA,NA,6,10,212,12,75,12,11,8,10,16,6,20,6,18,104,12,16,3,16,2806,3559,2265,NA,NA,6,17,15,20,10,17,41,-73.9932872,40.755322
"11",11,11,11,10019,13,2,28,9,9,2,14.7,5,108,28,34,15,46,10,12,3,5,6,284,1,6,4,7,9,390,2,149,2,14,6,29,2,19,6,12,4,167,2,4,18,4,2933,3412,2490,1804.33,NA,2,21,18,15,3,15,34,NA,NA
"12",12,12,12,10022,2,12,14,26,5,10,7.7,19,55,33,19,28,29,24,10,5,4,9,186,5,11,1,1,32,268,9,91,7,7,16,25,6,14,10,8,10,123,6,12,6,10,2597,3181,2078.5,NA,NA,NA,15,5,10,1,10,14,NA,NA
"13",13,13,13,10023,3,8,34,6,3,23,12.3,7,116,27,17,31,24,28,7,10,9,2,73,19,4,7,5,13,119,20,41,16,4,26,12,13,2,28,2,34,58,20,15,12,5,2782,3283,2467.5,NA,NA,3,64,7,15,NA,7,20,-73.9800645,40.7769059
"14",14,14,14,10024,1,16,30,8,4,14,11.8,8,148,22,27,20,32,20,5,18,2,15,88,17,NA,NA,4,16,118,21,29,24,4,26,14,10,4,22,3,30,64,18,18,3,16,2325,2937,2104.5,2476.33,NA,6,35,20,18,15,11,43,-73.9741874,40.7859464
"15",15,15,15,10025,1,16,45,2,5,10,17,1,320,5,46,7,57,5,11,4,1,21,71,20,1,20,2,24,158,16,31,21,15,5,7,22,2,28,8,10,95,13,16,2,18,2522,2980,1745,1468.33,1243.5,5,94,54,30,13,36,88,-73.9683102,40.7999209
"16",16,16,16,10027,2,12,47,1,4,14,16.9,2,309,6,38,11,42,14,4,22,3,11,40,24,1,20,1,32,110,23,31,21,9,12,3,28,6,20,6,18,55,23,17,5,12,1917,2138,1318.5,1085.33,NA,16,68,40,20,18,33,114,-73.9624327,40.8138912
"17",17,17,17,10028,1,16,12,28,1,37,4.3,32,129,23,22,26,28,25,6,14,5,6,78,18,NA,NA,4,16,128,18,35,18,5,21,13,12,11,12,6,18,58,20,17,6,11,2082,2612,1563,NA,NA,NA,52,11,22,1,15,28,NA,NA
"18",18,18,18,10036,45,1,12,28,4,14,6.4,26,271,8,28,18,35,18,7,10,6,4,247,2,7,3,9,8,353,3,154,1,11,8,25,6,11,12,8,10,144,3,6,51,2,2824,3198,1955.5,NA,NA,1,42,36,43,51,26,72,NA,NA
"19",19,19,19,10038,1,16,13,27,5,10,7.4,20,70,30,16,33,20,32,4,22,1,21,47,22,1,20,1,32,114,22,41,16,11,8,6,24,4,22,4,24,48,25,23,2,18,2869,3407,2241,NA,NA,1,7,8,5,5,17,27,NA,NA
"20",20,20,20,10004,NA,NA,2,39,3,23,2.7,36,0,44,NA,NA,2,42,2,30,NA,NA,36,26,1,20,1,32,73,27,23,27,NA,NA,5,26,2,28,3,30,40,28,32,NA,NA,3616,3820,2720.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.0138541,40.7038704
"21",21,21,21,10005,NA,NA,3,37,2,31,2.3,38,15,41,1,40,4,39,3,24,NA,NA,14,36,1,20,1,32,37,36,16,31,NA,NA,NA,NA,NA,NA,1,38,20,36,37,NA,NA,3053,3773,2771.5,NA,NA,NA,9,NA,4,NA,NA,2,NA,NA
"22",22,22,22,10006,NA,NA,1,42,3,23,2.4,37,18,40,2,39,4,39,2,30,NA,NA,15,35,NA,NA,NA,NA,30,37,13,33,3,32,NA,NA,NA,NA,2,34,12,40,37,NA,NA,2943,3501,2473.5,NA,NA,NA,4,4,3,2,1,4,-74.0131196,40.709329
"23",23,23,23,10007,NA,NA,2,39,14,1,10.4,10,26,37,8,36,10,36,2,30,NA,NA,33,28,1,20,3,19,76,26,30,23,1,38,2,30,3,24,4,24,36,31,30,NA,NA,NA,4399,3475,NA,NA,1,11,1,4,NA,2,7,NA,NA
"24",24,24,24,10010,NA,NA,27,10,3,23,10.2,11,184,17,26,22,32,20,6,14,NA,NA,91,16,2,12,5,13,163,15,56,15,5,21,8,19,8,16,4,24,82,16,17,NA,NA,2779,3454,2209,1635,NA,4,26,29,28,11,15,71,NA,NA
"25",25,25,25,10017,NA,NA,14,26,3,23,6.3,27,52,34,17,31,23,30,6,14,NA,NA,103,13,3,8,5,13,193,13,61,14,5,21,7,22,19,6,9,7,92,14,19,NA,NA,2570,3162,2028,NA,NA,1,10,6,9,NA,5,21,-73.9697795,40.7519846
"26",26,26,26,10021,NA,NA,17,18,NA,NA,NA,39,81,29,35,12,44,12,9,6,1,21,101,14,10,2,3,19,109,24,26,25,3,32,13,12,9,14,2,34,56,22,18,1,21,2390,2827,1888,1950,NA,1,23,5,21,NA,9,22,NA,NA
"27",27,27,27,10026,NA,NA,20,13,3,23,8.1,16,353,4,24,24,26,26,2,30,NA,NA,28,30,NA,NA,1,32,60,32,20,28,3,32,2,30,NA,NA,3,30,32,32,29,NA,NA,2004,2199,1406,NA,NA,13,72,47,21,30,47,123,NA,NA
"28",28,28,28,10029,NA,NA,43,3,3,23,15,3,456,1,66,2,71,2,5,18,NA,NA,34,27,NA,NA,2,24,133,17,25,26,19,3,5,26,1,32,11,5,72,17,15,NA,NA,2759,NA,NA,1110.33,NA,14,57,74,18,62,60,171,-73.9447994,40.7916407
"29",29,29,29,10030,NA,NA,18,16,NA,NA,NA,40,214,12,19,28,20,32,1,38,NA,NA,7,38,NA,NA,2,24,28,38,6,38,2,36,NA,NA,NA,NA,NA,NA,20,36,36,NA,NA,NA,1775,1109.5,884,NA,8,24,30,5,8,32,107,-73.9433299,40.8173411
"30",30,30,30,10031,NA,NA,26,11,3,23,9.9,12,208,13,49,6,51,9,2,30,NA,NA,25,31,NA,NA,2,24,70,29,12,34,7,16,5,26,2,28,4,24,40,28,23,NA,NA,1633,1774,1133,961,852.75,10,33,33,15,3,23,91,-73.9506774,40.8270209
"31",31,31,31,10032,NA,NA,35,4,6,7,14.7,5,196,14,55,4,57,5,2,30,NA,NA,17,34,2,12,2,24,71,28,17,29,8,14,1,33,NA,NA,6,18,39,30,22,NA,NA,1544,1748,1047,899.67,NA,3,41,19,12,16,26,79,-73.9447994,40.8409822
"32",32,32,32,10033,NA,NA,16,19,3,23,6.9,23,194,15,56,3,59,3,3,24,NA,NA,28,30,NA,NA,1,32,62,31,8,37,5,21,NA,NA,2,28,6,18,41,27,21,NA,NA,NA,1755,1143.5,870.67,NA,5,21,27,22,7,22,90,-73.9447994,40.8557765
"33",33,33,33,10034,NA,NA,15,22,4,14,7.3,22,151,21,34,15,35,18,1,38,NA,NA,39,25,NA,NA,NA,NA,66,30,16,31,3,32,2,30,NA,NA,2,34,43,26,24,NA,NA,NA,1558,1039,NA,NA,6,23,17,11,4,23,67,-73.9212858,40.8721452
"34",34,34,34,10035,NA,NA,19,14,1,37,6.4,25,378,3,34,15,36,16,2,30,NA,NA,8,37,NA,NA,2,24,55,34,11,35,6,18,2,30,2,28,2,34,32,32,29,NA,NA,1887,2050,1207.5,NA,NA,14,54,56,32,48,42,132,NA,NA
"35",35,35,35,10037,NA,NA,10,32,1,37,3.7,34,168,18,15,34,15,34,NA,NA,NA,NA,3,41,NA,NA,NA,NA,21,40,4,39,3,32,NA,NA,NA,NA,NA,NA,14,38,38,NA,NA,1635,1801,1105,NA,NA,7,17,17,6,23,19,79,-73.9374517,40.8140369
"36",36,36,36,10039,NA,NA,15,22,3,23,6.6,24,191,16,17,31,18,33,1,38,NA,NA,2,42,NA,NA,NA,NA,21,40,2,40,4,26,NA,NA,NA,NA,3,30,12,40,38,NA,NA,NA,1673,NA,NA,NA,8,10,30,3,22,30,88,-73.9374517,40.8288377
"37",37,37,37,10040,NA,NA,15,22,4,14,7.3,22,160,20,44,8,46,10,2,30,NA,NA,23,32,NA,NA,4,16,50,35,10,36,2,36,NA,NA,NA,NA,7,14,31,34,26,NA,NA,NA,1564,1019.5,NA,NA,5,25,23,15,6,21,65,-73.9330429,40.8639624
"38",38,38,38,10065,NA,NA,10,32,2,31,4.4,30,43,35,10,35,15,34,5,18,4,9,40,24,5,6,NA,NA,125,19,35,18,3,32,11,14,7,18,5,21,64,18,22,4,9,2717,3273,NA,2918.67,NA,NA,6,9,2,NA,6,20,NA,NA
"39",39,39,39,10075,NA,NA,18,16,1,37,6.1,28,25,38,6,37,7,37,1,38,1,21,22,33,1,20,3,19,60,32,16,31,3,32,8,19,7,18,2,34,24,35,31,1,21,1977,2486,1589,NA,NA,NA,9,2,5,NA,2,7,-73.9558204,40.7728432
"40",40,40,40,10128,NA,NA,10,32,1,37,3.7,34,124,26,26,22,34,19,8,8,NA,NA,66,21,2,12,2,24,105,25,31,21,5,21,10,16,5,21,4,24,50,24,22,NA,NA,2061,2673,1648,1491,NA,2,34,17,14,3,16,38,-73.9506774,40.7826039
"41",41,41,41,10280,NA,NA,2,39,NA,NA,NA,41,1,42,4,38,4,39,NA,NA,NA,NA,6,40,NA,NA,NA,NA,7,41,1,42,1,38,NA,NA,NA,NA,NA,NA,5,41,40,NA,NA,3298,3264,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-74.0173484,40.7084274
"42",42,42,42,10282,NA,NA,1,42,NA,NA,NA,42,18,40,1,40,2,42,1,38,2,15,6,40,NA,NA,NA,NA,6,42,2,40,NA,NA,NA,NA,NA,NA,NA,NA,4,42,35,2,15,NA,4157,3276,NA,NA,NA,3,3,3,1,1,7,-74.0152027,40.7167028
"43",43,43,43,11106,NA,NA,NA,NA,2,31,NA,43,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,1196,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.9271644,40.7595044
"44",44,44,44,11231,NA,NA,NA,NA,1,37,NA,44,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2587,2525,1586,1337.67,NA,NA,NA,NA,NA,NA,NA,NA,-74.0094471,40.6772802
"45",45,45,45,10069,NA,NA,NA,NA,NA,NA,NA,NA,56,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,43,1,42,NA,NA,NA,NA,1,32,NA,NA,1,43,43,NA,NA,3237,3728,NA,NA,NA,2,9,4,3,4,8,26,-73.9932872,40.7750791
"46",46,46,46,11109,NA,NA,NA,NA,NA,NA,NA,NA,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2390,2967,2058.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.9569225,40.7449081
"47",47,NA,NA,10095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,10,13,NA,6,18,-73.99,40.75
"48",48,NA,NA,10103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,3,5,NA,1,3,-73.9763386,40.7598323
"49",49,NA,NA,10106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,11,NA,6,7,-73.9809827,40.7654616
"50",50,NA,NA,10107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32,10,12,NA,5,16,-73.982452,40.7659788
