"","zipcode","count"
"1",7030,1
"2",10001,3
"3",10002,6
"4",10003,5
"5",10004,3
"6",10005,2
"7",10006,1
"8",10007,6
"9",10009,1
"10",10010,1
"11",10011,5
"12",10012,3
"13",10013,4
"14",10014,2
"15",10016,1
"16",10017,2
"17",10018,2
"18",10019,5
"19",10020,1
"20",10022,3
"21",10023,2
"22",10024,2
"23",10025,2
"24",10026,2
"25",10027,2
"26",10029,1
"27",10031,2
"28",10032,6
"29",10033,2
"30",10034,4
"31",10036,2
"32",10038,2
"33",10039,1
"34",10040,4
"35",10044,1
"36",10065,2
"37",10451,2
"38",10452,4
"39",10453,3
"40",10454,3
"41",10455,5
"42",10457,2
"43",10458,2
"44",10459,5
"45",10460,3
"46",10461,4
"47",10462,4
"48",10463,3
"49",10466,4
"50",10467,6
"51",10468,3
"52",10469,3
"53",10470,1
"54",10472,4
"55",11101,10
"56",11102,2
"57",11103,2
"58",11104,1
"59",11105,1
"60",11106,2
"61",11201,11
"62",11204,1
"63",11205,1
"64",11206,6
"65",11207,9
"66",11208,7
"67",11209,3
"68",11210,1
"69",11211,5
"70",11212,3
"71",11213,2
"72",11214,2
"73",11215,6
"74",11216,1
"75",11217,5
"76",11218,3
"77",11219,3
"78",11220,4
"79",11221,4
"80",11222,2
"81",11223,2
"82",11224,3
"83",11225,7
"84",11226,4
"85",11228,1
"86",11229,3
"87",11230,8
"88",11231,1
"89",11232,3
"90",11233,3
"91",11235,3
"92",11236,2
"93",11237,2
"94",11238,5
"95",11354,1
"96",11368,1
"97",11372,3
"98",11373,3
"99",11374,1
"100",11375,4
"101",11377,7
"102",11385,3
"103",11414,1
"104",11415,1
"105",11417,4
"106",11418,4
"107",11419,2
"108",11420,2
"109",11421,3
"110",11432,4
"111",11435,2
"112",11691,5
"113",11692,1
"114",11693,2
"115",11694,3
