"zipcode","count.art","ranking.art","count.bus","ranking.bus","count.subway","ranking.subway","count.trans","ranking.trans","count.crime","ranking.crime","count.grocery","ranking.grocery","count.market","ranking.market","count.pharmacy","ranking.pharmacy","count.movie","ranking.movie","count.bar","ranking.bar","count.club","ranking.club","count.wine","ranking.wine","count.all","ranking.all","count.American","ranking.American","count.Chinese","ranking.Chinese","count.Italian","ranking.Italian","count.Japenses","ranking.Japenses","count.Pizza","ranking.Pizza","count.Others","ranking.Others","ranking.amenities","count.theatre","ranking.theatre","Studio","X1B","X2B","X3B","X4B","rob.count","pet.count","har.count","gra.count","dan.count","as.count","oth.count","lon","lat"
10001,4,6,15,22,7,5,9.4,15,28,36,35,12,44,12,9,6,2,15,158,11,1,20,10,7,275,8,102,4,3,32,8,19,10,13,12,4,140,4,10,6,10,2981,3887,2615,1739,NA,1,9,8,1,NA,4,5,-73.9991637,40.7536854
10002,2,12,35,4,6,7,14.7,5,430,2,70,1,72,1,2,30,2,15,163,10,2,12,21,1,295,5,75,12,62,1,9,17,18,7,14,1,117,7,9,4,14,2359,2572,1632.5,1485.33,NA,15,62,48,54,34,67,150,-73.9859414,40.7135097
10003,13,2,18,16,6,7,9.6,14,305,7,44,8,57,5,13,2,11,1,242,3,5,6,14,6,418,1,103,3,16,4,24,8,51,1,13,2,211,1,2,24,2,2682,3294,1925.5,1702.67,NA,12,145,20,51,3,19,55,-73.9874105,40.7322535
10009,3,8,30,8,1,37,9.7,13,218,11,52,5,56,7,4,22,1,21,120,12,NA,NA,16,2,187,14,61,14,10,11,7,22,9,14,9,7,91,15,12,4,14,2143,2790,1681,1470.33,NA,9,53,24,34,16,19,63,-73.9800645,40.7275043
10011,2,12,15,22,9,2,10.8,9,252,9,42,10,55,8,13,2,7,3,180,7,2,12,15,4,281,6,100,5,11,8,25,6,23,2,8,10,114,10,7,9,8,2899,3743,2382,1953,NA,6,78,17,48,14,16,73,-74.0094471,40.7464969
10012,4,6,5,36,4,14,4.3,32,234,10,18,29,24,28,6,14,4,9,171,8,1,20,15,4,262,10,90,8,6,18,29,2,20,4,4,24,113,11,12,8,8,2749,3005,1949,1984,NA,2,92,20,42,6,16,56,-73.9976946,40.7250632
10013,7,5,8,34,8,4,8,18,126,24,27,20,31,22,4,22,2,15,181,6,NA,NA,6,10,311,4,80,10,53,2,43,1,15,9,6,18,114,10,10,9,10,5369,3651,2517,2482.33,NA,4,31,10,17,4,14,46,-74.0094471,40.7217861
10014,8,4,10,32,2,31,4.4,30,162,19,24,24,26,26,2,30,2,15,201,4,1,20,14,6,259,11,88,9,4,26,28,4,17,8,7,14,115,8,12,10,10,2986,3429,2060,2013.33,NA,4,31,14,44,12,18,39,-74.0094471,40.7366138
10016,1,16,22,12,2,31,8,18,65,31,33,17,40,15,7,10,5,6,167,9,2,12,2,24,278,7,95,6,9,12,18,9,22,3,9,7,125,5,11,6,11,2699,3380,2131,1926.67,NA,1,15,4,12,5,9,19,-73.9800645,40.74727
10018,1,16,7,35,3,23,4.2,33,126,24,23,25,30,23,7,10,2,15,101,14,NA,NA,6,10,212,12,75,12,11,8,10,16,6,20,6,18,104,12,16,3,16,2806,3559,2265,NA,NA,6,17,15,20,10,17,41,-73.9932872,40.755322
