"","Date","Desc","Type","Latitude","Longitude","Zipcode"
"1","06/30/2017","HARRASSMENT 2","VIOLATION",40.829884885,-73.936761711,10039
"2","06/30/2017","ROBBERY","FELONY",40.729082038,-73.988787701,10003
"3","06/30/2017",NA,"FELONY",40.754849215,-73.984119991,10110
"4","06/30/2017",NA,"FELONY",40.757240531,-73.989793637,10036
"5","06/30/2017","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR",40.809628853,-73.941975579,10037
"6","06/30/2017","ROBBERY","FELONY",40.835319447,-73.942039905,10032
"7","06/30/2017","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR",40.756456858,-73.967382312,10022
"8","06/30/2017","GRAND LARCENY","FELONY",40.815493264,-73.95861423,10027
"9","06/30/2017","PETIT LARCENY","MISDEMEANOR",40.819095837,-73.942852488,10030
"10","06/30/2017","HARRASSMENT 2","VIOLATION",40.768652643,-73.953914012,10162
"11","06/30/2017","DANGEROUS DRUGS","MISDEMEANOR",40.81181176,-73.938328651,10037
"12","06/30/2017","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR",40.81055902,-73.947068315,10027
"13","06/30/2017","PETIT LARCENY","MISDEMEANOR",40.778489916,-73.954235779,10028
"14","06/30/2017","DANGEROUS DRUGS","MISDEMEANOR",40.726379778,-73.978722169,10009
"15","06/30/2017","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR",40.772923563,-73.985787298,10023
"16","06/30/2017","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR",40.743577371,-73.992321897,10095
"17","06/30/2017","PETIT LARCENY","MISDEMEANOR",40.76039322,-73.959940745,10065
"18","06/30/2017","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR",40.811986508,-73.947576544,10027
"19","06/30/2017","HARRASSMENT 2","VIOLATION",40.71256428,-73.991120686,10002
"20","06/30/2017","HARRASSMENT 2","VIOLATION",40.71256428,-73.991120686,10002
"21","06/30/2017","PETIT LARCENY","MISDEMEANOR",40.764488811,-73.984511177,10019
"22","06/30/2017","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR",40.720053611,-73.981639079,10002
"23","06/30/2017","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR",40.720053611,-73.981639079,10002
"24","06/30/2017","GRAND LARCENY","FELONY",40.74590243,-73.999907616,10199
"25","06/30/2017","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR",40.822664445,-73.938441439,10039
"26","06/30/2017","PETIT LARCENY","MISDEMEANOR",40.764488811,-73.984511177,10019
"27","06/30/2017","DANGEROUS DRUGS","MISDEMEANOR",40.809858783,-73.935624768,10037
"28","06/30/2017","GRAND LARCENY","FELONY",40.765053036,-73.966132661,10155
"29","06/30/2017",NA,"FELONY",40.789959031,-73.939829537,10029
"30","06/30/2017",NA,"MISDEMEANOR",40.750430768,-73.989282176,10120
"31","06/30/2017","PETIT LARCENY","MISDEMEANOR",40.788859019,-73.952979154,10029
"32","06/30/2017",NA,"MISDEMEANOR",40.766149677,-73.971648237,10153
"33","06/30/2017",NA,"MISDEMEANOR",40.766149677,-73.971648237,10151
"34","06/30/2017",NA,"MISDEMEANOR",40.766149677,-73.971648237,10151
"35","06/30/2017",NA,"FELONY",40.727606514,-73.97781979,10009
"36","06/30/2017",NA,"MISDEMEANOR",40.821705122,-73.952912589,10031
"37","06/30/2017",NA,"MISDEMEANOR",40.821705122,-73.952912589,10031
"38","06/30/2017","PETIT LARCENY","MISDEMEANOR",40.737472885,-73.990229681,10003
"39","06/30/2017","DANGEROUS DRUGS","MISDEMEANOR",40.865457504,-73.920939317,10034
"40","06/30/2017","DANGEROUS DRUGS","MISDEMEANOR",40.800880389,-73.93997859,10035
"41","06/30/2017","HARRASSMENT 2","VIOLATION",40.720053611,-73.981639079,10002
"42","06/30/2017","HARRASSMENT 2","VIOLATION",40.789483789,-73.957395333,10128
"43","06/30/2017","PETIT LARCENY","MISDEMEANOR",40.811074977,-73.953303031,10027
"44","06/30/2017","DANGEROUS DRUGS","MISDEMEANOR",40.759711074,-73.99356177,10036
"45","06/30/2017","DANGEROUS DRUGS","MISDEMEANOR",40.808383205,-73.942890584,10037
"46","06/30/2017",NA,"FELONY",40.751978863,-73.989917158,10123
"47","06/30/2017","DANGEROUS DRUGS","MISDEMEANOR",40.729082038,-73.988787701,10003
"48","06/30/2017","HARRASSMENT 2","VIOLATION",40.803393591,-73.938145012,10035
