,zipcode,count
1,10001,4
2,10002,2
3,10003,13
4,10009,3
5,10011,2
6,10012,4
7,10013,7
8,10014,8
9,10016,1
10,10018,1
11,10019,13
12,10022,2
13,10023,3
14,10024,1
15,10025,1
16,10027,2
17,10028,1
18,10036,45
19,10038,1
