"","Zip","COUNT","RANKING"
"1",10001,1,19.5
"2",10002,2,11.5
"3",10003,5,5.5
"4",10004,1,19.5
"5",10005,1,19.5
"6",10007,1,19.5
"7",10010,2,11.5
"8",10011,2,11.5
"9",10012,1,19.5
"10",10014,1,19.5
"11",10016,2,11.5
"12",10017,3,8
"13",10019,6,4
"14",10021,10,2
"15",10022,11,1
"16",10023,4,7
"17",10025,1,19.5
"18",10027,1,19.5
"19",10032,2,11.5
"20",10036,7,3
"21",10038,1,19.5
"22",10065,5,5.5
"23",10075,1,19.5
"24",10128,2,11.5
