"","Zip","COUNT","RANKING"
"1",10001,10,7
"2",10002,21,1
"3",10003,14,5.5
"4",10004,1,32
"5",10005,1,32
"6",10007,3,19
"7",10009,16,2
"8",10010,5,13
"9",10011,15,3.5
"10",10012,15,3.5
"11",10013,6,10.5
"12",10014,14,5.5
"13",10016,2,24.5
"14",10017,5,13
"15",10018,6,10.5
"16",10019,7,9
"17",10021,3,19
"18",10022,1,32
"19",10023,5,13
"20",10024,4,16
"21",10025,2,24.5
"22",10026,1,32
"23",10027,1,32
"24",10028,4,16
"25",10029,2,24.5
"26",10030,2,24.5
"27",10031,2,24.5
"28",10032,2,24.5
"29",10033,1,32
"30",10035,2,24.5
"31",10036,9,8
"32",10038,1,32
"33",10040,4,16
"34",10075,3,19
"35",10128,2,24.5
