"","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","Latitude","Longitude","Location"
"46","PENN CLUB OF NEW YORK INC","THE PENN CLUB","30 W 44TH ST","","NEW YORK","NY",10036,40.75517077,-73.98089613,"(40.75517077, -73.98089613)"
"47","ASSOCIATION OF THE BAR,THE","OF THE CITY OF NEW YORK","42 W 44TH STREET","","NEW YORK","NY",10036,40.7552837,-73.98131356,"(40.7552837, -73.98131356)"
"48","CENTURY ASSOCIATION,THE","","7 W 43RD STREET","","NEW YORK","NY",10036,40.75429448,-73.98062158,"(40.75429448, -73.98062158)"
"49","NEW YORK YACHT CLUB,THE","","37 41 W 44TH STREET","","NEW YORK","NY",10036,40.75531627,-73.98109272,"(40.75531627, -73.98109272)"
"50","PRINCETON CLUB OF NEW YORK,THE","","15 W 43RD STREET","","NEW YORK","NY",10036,40.75440405,-73.98086786,"(40.75440405, -73.98086786)"
"51","KOLPING SOCIETY OF NEW YORK","","165 E 88TH STREET","","NEW YORK","NY",10128,40.78054258,-73.95391929,"(40.78054258, -73.95391929)"
"52","LIEDERKRANZ OF THE CITY OF,THE NEW YORK INC","","6 EAST 87TH STREET","","NEW YORK","NY",10128,40.7820661,-73.9597696,"(40.7820661, -73.9597696)"
"53","PC CLUB INC","THE PHILLIPS CLUB","155 W 66TH ST-1ST FLOOR","","NEW YORK","NY",10023,40.77428069,-73.98305871,"(40.77428069, -73.98305871)"
"54","SOHO HOUSE NEW YORK INC","SOHO HOUSE","29 35 9TH AVE 6TH FLOOR","13TH STREET & 14TH STREET","NEW YORK","NY",10014,40.74029673,-74.00591736,"(40.74029673, -74.00591736)"
"55","LOS AMIGOS FISHING & HUNTING CLUB INC","","202 RIVINGTON STREET","RIDGE STREET & PITT STREET","NEW YORK","NY",10002,40.71859939,-73.9833095,"(40.71859939, -73.9833095)"
"56","CORE CLUB MEMBERS CORP","","60 EAST 55TH STREET","PARK AVE & MADISON AVENUE","NEW YORK","NY",10022,40.76065445,-73.97267357,"(40.76065445, -73.97267357)"
