"","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","Latitude","Longitude","Location"
"1","NUYORICAN POETS CAFE INC","NUYORICAN POETS CAFE","236 E 3RD ST","","NEW YORK","NY",10009,40.72204847,-73.9815125,"(40.72204847, -73.9815125)"
"2","ANOTHEROOM INC","","249 W BROADWAY","AKA 1 3 WALKER STREET","NEW YORK","NY",10013,40.71979883,-74.0057459,"(40.71979883, -74.0057459)"
"3","RENO PRODUCTIONS INC","THE WESTSIDE THEATRE","407 409 W 43RD ST","","NEW YORK","NY",10036,40.75922806,-73.99244208,"(40.75922806, -73.99244208)"
"4","NEW 42ND STREET INC, THE","THE DUKE ON 42ND STREET","229 W 42ND ST","","NEW YORK","NY",10036,40.75639471,-73.98778241,"(40.75639471, -73.98778241)"
"5","UPRIGHT CITIZENS BRIGADE LLC","UCB THEATRE","307 W 26TH ST","","NEW YORK","NY",10011,40.74751697,-73.99761026,"(40.74751697, -73.99761026)"
"6","M & S MUSIC STUDIO INC","GAGOPA MUSIC STUDIO","28 W 32ND ST 3RD FLR","BROADWAY & 5TH AVE","NEW YORK","NY",10001,40.74793464,-73.987368,"(40.74793464, -73.987368)"
"7","CUSTARD'S FIRST STAND LLC","SHAKE SHACK","MADISON AVE & 23RD ST","CRN MADISON AVENUE","NEW YORK","NY",10010,40.74086206,-73.98798208,"(40.74086206, -73.98798208)"
"8","L A K INC","KARAOKE SING SING ST MARKS","9A SAINT MARKS PL","2ND FLOOR","NEW YORK","NY",10003,40.72930105,-73.98935129,"(40.72930105, -73.98935129)"
"9","COZY CAFE CORP","","43 EAST 1ST STREET","1ST & 2ND AVENUES","NEW YORK","NY",10003,40.72378672,-73.98983277,"(40.72378672, -73.98983277)"
"10","71 WINE BAR CAFE INC","BIN 71","237 COLUMBUS AVENUE","70TH & 71ST STREETS","NEW YORK","NY",10023,40.77661768,-73.97927524,"(40.77661768, -73.97927524)"
"11","T R D KARAOKE INC","NEXT","43 MOTT ST","PELL & BAYARD (BASEMENT)","NEW YORK","NY",10013,40.71537098,-73.99870405,"(40.71537098, -73.99870405)"
"12","THIRD BEAT LLC","MAGNET THEATER","254 W 29TH ST GROUND","","NEW YORK","NY",10001,40.74845023,-73.99448879,"(40.74845023, -73.99448879)"
"13","6TH STREET REST INC","GRAPE & GRAIN","620 E 6TH STREET 2S","","NEW YORK","NY",10009,40.72421804,-73.9811645,"(40.72421804, -73.9811645)"
"14","JAPAN SOCIETY INC","","333 E 47TH STREET","1ST & 2ND AVENUES","NEW YORK","NY",10017,40.75272042,-73.96911081,"(40.75272042, -73.96911081)"
"15","JACK'S COFFEE LLC","JACK'S STIR BREW COFFEE","138 W 10TH ST","GREENWICH AVE & WAVERLY PL","NEW YORK","NY",10014,40.73454743,-74.00055386,"(40.73454743, -74.00055386)"
"16","HORSE TRADE MANAGEMENT GROUP","HORSE TRADE","94 ST MARKS PL","1ST AVE. & AVE A","NEW YORK","NY",10009,40.72745165,-73.98511404,"(40.72745165, -73.98511404)"
"17","BARROW STREET THEATRE, INC.","BARROW STREET THEATRE","27 BARROW STREET","","NEW YORK","NY",10014,40.73238114,-74.00316899,"(40.73238114, -74.00316899)"
"18","NRK CAFE INC","LELABAR","422 HUDSON ST","LEROY & MORTON ST.","NEW YORK","NY",10014,40.73030609,-74.00676258,"(40.73030609, -74.00676258)"
"19","58 2ND AVE REST CORP","N'EAT","58 2ND AVE","3RD & 4TH STREETS","NEW YORK","NY",10003,40.72571223,-73.98968893,"(40.72571223, -73.98968893)"
"20","THEATER FOR THE NEW CITY FOUNDATION INC","THEATER FOR THE NEW CITY","155 1ST AVE","9TH & 10TH STREETS","NEW YORK","NY",10003,40.72853762,-73.98467977,"(40.72853762, -73.98467977)"
"21","SOLTANI TWO LLC","COCOA BAR","19 21 CLINTON ST","HOUSTON AND STANTON STS","NEW YORK","NY",10002,40.72076166,-73.98427273,"(40.72076166, -73.98427273)"
"22","SHAKE SHACK 366 COLUMBUS LLC","SHAKE SHACK","366 COLUMBUS AVE","CNR 77TH ST","NEW YORK","NY",10024,40.78097445,-73.97626482,"(40.78097445, -73.97626482)"
"23","VIEJO GROUP LLC","BOURGEOIS PIG","127 MACDOUGAL STREET","W 3RD & WASHIBNGTON SQ SOUTH","NEW YORK","NY",10012,40.73054144,-74.00009553,"(40.73054144, -74.00009553)"
"24","STEVALANN INC","GROUND SUPPORT","399 W BROADWAY","BROOME & SPRING ST","NEW YORK","NY",10012,40.7244587,-74.00189161,"(40.7244587, -74.00189161)"
"25","ELAINE KAUFMAN CULTURALCENTER/LUCY MOSES SCHOOL","MERKIN CONCERT HALL & KAUFMAN CENTER","129 W 67TH ST","BROADWAY & AMSTERDAM","NEW YORK","NY",10023,40.77499022,-73.98276203,"(40.77499022, -73.98276203)"
"26","ADE GROUP CORP","LALLISSE","161 LEXINGTON AVE","","NEW YORK","NY",10016,40.74386098,-73.98147829,"(40.74386098, -73.98147829)"
"27","THINK FOURTH AVENUE LLC","THINK COFFEE","121 123 4TH AVE","","NEW YORK","NY",10003,40.73302374,-73.98989107,"(40.73302374, -73.98989107)"
"28","SECOND STAGE THEATRE INC THE","","305 W 43RD STREET","","NEW YORK","NY",10036,40.75802508,-73.98944877,"(40.75802508, -73.98944877)"
"29","COURTYARD MANAGEMENT CORP AND 181 VARICK ST LLC","NEW YORK MANHATTAN/SOHO COURTYARD BY MARRIOTT","181 VARICK STREET","","NEW YORK","NY",10014,40.72759582,-74.00552526,"(40.72759582, -74.00552526)"
"30","HEIDI'S HOUSE LLC","HEIDI'S HOUSE BY THE SIDE OF THE ROAD","308 E 78TH STREET","STORE #2","NEW YORK","NY",10075,40.77243314,-73.95520094,"(40.77243314, -73.95520094)"
"31","3D MUSIC STUDIO INC","DING DONG DANG","32 W 32ND ST","6TH FLOOR","NEW YORK","NY",10001,40.74805068,-73.98764498,"(40.74805068, -73.98764498)"
"32","GHAR VENTURES INC","VIN SUR VINGT","201 W 11TH ST","STORE 6","NEW YORK","NY",10014,40.73657076,-74.00110005,"(40.73657076, -74.00110005)"
"33","8617 NORTHERN BLVD CORP","DESPANA BRAND FOODS","199 LAFAYETTE ST STORE H","AKA 408 BROOME ST","NEW YORK","NY",10013,40.7212333,-73.99786862,"(40.7212333, -73.99786862)"
"34","CITY SWIGGERS LLC","CITY SWIGGERS","320 E 86TH ST","","NEW YORK","NY",10028,40.77759612,-73.95123847,"(40.77759612, -73.95123847)"
"35","UPRIGHT CITIZENS BRIGADE EAST VILLAGE LLC","UCB EAST","155 E 3RD ST","","NEW YORK","NY",10009,40.72358596,-73.98501026,"(40.72358596, -73.98501026)"
"36","CASK AND CAVE INC","TOP HOPS BEER SHOP","94 ORCHARD ST","","NEW YORK","NY",10002,40.71820011,-73.99017433,"(40.71820011, -73.99017433)"
"37","NUBLU LLC","","62 AVENUE C","","NEW YORK","NY",10009,NA,NA,""
"38","DEROSSI CHELSEA LLC","PROLETARIAT","102 ST MARKS PL","","NEW YORK","NY",10009,40.72742988,-73.98491683,"(40.72742988, -73.98491683)"
"39","BRICIOLA CORP","BRICIOLA","370 W 51ST ST","","NEW YORK","NY",10019,40.76374954,-73.98762023,"(40.76374954, -73.98762023)"
"40","UPRIGHT HOLDINGS 547 LLC","UPRIGHT BREW HOUSE","547 HUDSON ST","","NEW YORK","NY",10014,40.73502159,-74.00607261,"(40.73502159, -74.00607261)"
"41","JOMELO LLC","LA CHURRERIA","284 MULBERRY ST","SOUTH STORE","NEW YORK","NY",10012,40.72456513,-73.99509261,"(40.72456513, -73.99509261)"
