"","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","Latitude","Longitude","Location"
"42","CHOCOLATE CAKE WEST LLC","LE PIF","2058 BROADWAY","","NEW YORK","NY",10023,40.77786533,-73.98191994,"(40.77786533, -73.98191994)"
"43","SLICE & CO BRICK OVEN PIZZA INC","","95 MACDOUGAL ST","STORE B","NEW YORK","NY",10012,40.72933618,-74.00104277,"(40.72933618, -74.00104277)"
"44","PACE UNIVERSITY","MICHAEL SCHIMMEL CTR OF THE ARTS","3 SPRUCE ST","","NEW YORK","NY",10038,40.71188149,-74.00604047,"(40.71188149, -74.00604047)"
"45","LEFKAS HOSPITALITY LLC","WAYSIDE","139 E 12TH ST","","NEW YORK","NY",10003,40.73242973,-73.98928464,"(40.73242973, -73.98928464)"
"46","DOUSTAN DEVELOPMENT CORP","TWO BITS RETRO ARCADE","153 ESSEX ST","","NEW YORK","NY",10002,40.72076367,-73.98703895,"(40.72076367, -73.98703895)"
"47","X AND XI LLC","ME AND YOU","224 E 10TH ST","EAST STORE","NEW YORK","NY",10003,40.72923164,-73.98552403,"(40.72923164, -73.98552403)"
"48","LENOX COFFEE LLC","LENOX COFFEE","60 W 129TH ST","STORE A","NEW YORK","NY",10027,40.80974541,-73.94228307,"(40.80974541, -73.94228307)"
"49","JUICERIE LLC","THE BUTCHER'S DAUGHTER","19 KENMARE ST","GROUND FLOOR/ CORNER STORE","NEW YORK","NY",10012,40.72053362,-73.99470697,"(40.72053362, -73.99470697)"
"50","GOLF MANHATTAN LLC","","108 W 39TH ST","SUITE 310","NEW YORK","NY",10018,40.75314598,-73.98598649,"(40.75314598, -73.98598649)"
"51","GVI BROADWAY LLC","VIN SUR VINGT","1140 BROADWAY","STORE #3","NEW YORK","NY",10001,40.74383211,-73.98898923,"(40.74383211, -73.98898923)"
"52","COURTYARD MANAGEMENT CORP AND 960 ASSOCIATES LLC","COURTYARD BY MARRIOTT HERALD SQUARE","960 SIXTH AVENUE","","NEW YORK","NY",10001,40.75026945,-73.98683182,"(40.75026945, -73.98683182)"
"53","SIVANDREW INC","EASTWOOD","200 CLINTON ST","AKA 221 E BROADWAY","NEW YORK","NY",10002,40.71431906,-73.98715948,"(40.71431906, -73.98715948)"
"54","SUBCULTURE LLC","SUBCULTURE","45 BLEECKER ST","BASEMENT","NEW YORK","NY",10012,40.72579681,-73.99434318,"(40.72579681, -73.99434318)"
"55","FAIR FOLKS AND A GOAT LLC","FAIR FOLKS AND A GOAT","96 W HOUSTON ST","","NEW YORK","NY",10012,40.72714362,-74.00017684,"(40.72714362, -74.00017684)"
"56","45 FIRST AVENUE CORP","AZIZA CAFE  & LOUNGE","45 1ST AVE","","NEW YORK","NY",10003,40.72455327,-73.98750749,"(40.72455327, -73.98750749)"
"57","SFK FOODS CORP","FLATIRON GREEN CAFE","FLATIRON PUBLIC PLAZA SOUTH","BETWEEN 22ND & 23RD STREETS","NEW YORK","NY",10010,40.74088362,-73.98968486,"(40.74088362, -73.98968486)"
"58","EV CAFE LLC","DONOSTIA","155 AVENUE B","SOUTH STORE","NEW YORK","NY",10009,40.72676523,-73.97996584,"(40.72676523, -73.97996584)"
"59","LUCY'S WHEY CARNEGIE HILL LLC","","1417 LEXINGTON AVE","STORE NO 5","NEW YORK","NY",10128,40.78370667,-73.95249086,"(40.78370667, -73.95249086)"
"60","YOURE ALMOST THERE INC","BIBI","211 E 4TH ST","","NEW YORK","NY",10009,40.72376708,-73.98368053,"(40.72376708, -73.98368053)"
"61","POCKET BAR 455 W 48TH CORP","POCKET BAR NYC","455 W 48TH ST","AKA 686 10TH AVE","NEW YORK","NY",10036,40.76338802,-73.99229786,"(40.76338802, -73.99229786)"
"62","100 STANTON LLC","EL REY","100 STANTON ST","STORE WEST","NEW YORK","NY",10002,40.72144412,-73.98848539,"(40.72144412, -73.98848539)"
"63","EVERYMAN ESPRESSO LLC","","136 E 13TH ST","","NEW YORK","NY",10003,40.7331665,-73.98903529,"(40.7331665, -73.98903529)"
"64","HORSE TRADE MANAGEMENT GROUP","","85 E 4TH ST","","NEW YORK","NY",10003,40.72646627,-73.99010471,"(40.72646627, -73.99010471)"
"65","PUSHCART COFFEE CHELSEA LLC","CITIZENS OF CHELSEA","401 W 25TH ST","","NEW YORK","NY",10001,40.74780636,-74.00046551,"(40.74780636, -74.00046551)"
"66","EAT MADISON LLC","ELI'S ESSENTIALS","922 MADISON AVE","","NEW YORK","NY",10021,40.77259766,-73.96482806,"(40.77259766, -73.96482806)"
"67","PER LEI LLC","BAR PRIMA","331 E 81ST ST","","NEW YORK","NY",10028,40.77412478,-73.95286151,"(40.77412478, -73.95286151)"
"68","PAINTING LOUNGE LLC","","37 43 W 14TH ST","ROOM 401","NEW YORK","NY",10011,40.73658101,-73.99500941,"(40.73658101, -73.99500941)"
"69","ESO GROUP INC","GROUND CENTRAL COFFEE COMPANY","155 E 52ND ST","STORE #2","NEW YORK","NY",10022,40.75763565,-73.97122005,"(40.75763565, -73.97122005)"
"70","2BEANS INC","2BEANS","100 PARK AVE","","NEW YORK","NY",10017,40.75096132,-73.97858587,"(40.75096132, -73.97858587)"
"71","TASZO COFFEE LLC","","5 EDWARD MORGAN PL","","NEW YORK","NY",10032,40.83375051,-73.9452999,"(40.83375051, -73.9452999)"
"72","ARTS AND CRAFTS BEER PARLOR LLC","","26 W 8TH ST","","NEW YORK","NY",10011,0,0,"(0.0, 0.0)"
"73","PIADA ON FIFTH INC","PIADA","768 5TH AVE","SPACE 18","NEW YORK","NY",10019,40.65797,-73.99737,"(40.65797, -73.99737)"
"74","DEGEEST LLC","WAFELS & DINGES","15 AVENUE B","","NEW YORK","NY",10009,40.7218,-73.98328,"(40.7218, -73.98328)"
"75","58TH STREET CAF? LLC","EPICERIE BOULUD","768 5TH AVE","A/K/A 1 WEST 58TH ST , # GC 17","NEW YORK","NY",10019,40.65797,-73.99737,"(40.65797, -73.99737)"
"76","BAR SUZETTE LLC","BAR SUZETTE","425 W 15TH ST","KIOSK 6","NEW YORK","NY",10011,40.74278,-74.00744,"(40.74278, -74.00744)"
"77","CORNELIA STREET GROUP INC","MURRAY'S CHEESE SHOP","254 BLEECKER ST","","NEW YORK","NY",10014,40.73106,-74.00297,"(40.73106, -74.00297)"
"78","VILLAS LOUNGE 2 CORP","","130 132 AUDUBON AVE","","NEW YORK","NY",10032,0,0,"(0.0, 0.0)"
"79","LOWER EAST SIDE TENEMENT MUSEUM","","103 ORCHARD ST","","NEW YORK","NY",10002,40.71854,-73.99008,"(40.71854, -73.99008)"
"80","THIS THEATER CORP","","154 W 29TH ST","2ND FL","NEW YORK","NY",10001,40.74733,-73.99231,"(40.74733, -73.99231)"
"81","BARCADE DOWNTOWN LLC","BARCADE","6 SAINT MARKS PL","","NEW YORK","NY",10003,40.72907,-73.98956,"(40.72907, -73.98956)"
"82","RAMEN LAB NYC LLC","RAMEN LAB","70 80 KENMARE ST STORE 5","","NEW YORK","NY",10012,0,0,"(0.0, 0.0)"
"83","ROSE PIZZA 7TH AVE INC","","1 PENN PLAZA","CONCOURSE LEVEL SPACE A","NEW YORK","NY",10019,40.74953,-73.9916,"(40.74953, -73.9916)"
"84","GVI PLAZA LLC","VIN SUR VINGT","768 5TH AVE","SPACE # GC 19/21","NEW YORK","NY",10019,40.65797,-73.99737,"(40.65797, -73.99737)"
"85","C & K GROCERY CORPORATION","MALT AND MOLD","362 2ND AVE","","NEW YORK","NY",10010,40.73664,-73.98133,"(40.73664, -73.98133)"
"86","ARTISAN CHOCOLATES LLC","TACHE ARTISAN CHOCOLATE","254 BROOME ST","","NEW YORK","NY",10002,40.71821,-73.9899,"(40.71821, -73.9899)"
"87","KAZZA CORP","","708 W 177TH ST","STORE 1","NEW YORK","NY",10033,0,0,"(0.0, 0.0)"
"88","BROOME STREET FOOD AND DRINK LLC","BLACK TAP","529 BROOME ST","STORE C-104","NEW YORK","NY",10013,40.72394,-74.00431,"(40.72394, -74.00431)"
"89","HANAMIZUKI INC","HANAMIZUKI CAFE BY E","143 W 29TH ST","","NEW YORK","NY",10001,40.74753,-73.99159,"(40.74753, -73.99159)"
"90","THE UNCOMMONS LLC","THE UNCOMMONS","230 THOMPSON ST","","NEW YORK","NY",10012,40.72931,-73.99863,"(40.72931, -73.99863)"
"91","TAKUMI TACO LLC","","75 9TH AVE","CHELSEA MARKET-KIOSK # 4 & 5","NEW YORK","NY",10011,40.66814,-73.97429,"(40.66814, -73.97429)"
"92","CLINTON CRAFT LLC","PALOMA ROCKET","1 7 CLINTON ST","STORE 4","NEW YORK","NY",10002,0,0,"(0.0, 0.0)"
"93","LOIS BAR LLC","LOIS BAR","98 AVENUE C","","NEW YORK","NY",10009,40.72372,-73.97877,"(40.72372, -73.97877)"
"94","PAINTING LOUNGE LLC","","40 W 38TH ST","","NEW YORK","NY",10018,40.75151,-73.98466,"(40.75151, -73.98466)"
"95","PAINT & SIP STUDIO NY LLC","","246 W 80TH ST","4TH FL, STUDIO 16","NEW YORK","NY",10024,0,0,"(0.0, 0.0)"
"96","2580 BROADWAY INC","EARTH CAFE","2580 BROADWAY","","NEW YORK","NY",10025,40.79538,-73.97103,"(40.79538, -73.97103)"
"97","SHNY PLACE LLC","SPREADHOUSE COFFEE & ART","116 SUFFOLK ST","","NEW YORK","NY",10002,40.71889,-73.98584,"(40.71889, -73.98584)"
"98","ESPRESSO ROOM INC","PENNYLANE COFFEE","305 E 45TH ST","","NEW YORK","NY",10017,40.75176,-73.96992,"(40.75176, -73.96992)"
"99","ACO BAKERY INC","SPOT DESSERT BAR","13 ST MARKS PLACE","LOWER LEVEL","NEW YORK","NY",10003,40.72937,-73.98891,"(40.72937, -73.98891)"
"100","VOILA CHOCOLAT UWS LLC","VOILA CHOCOLAT UWS LLC","221 W 79TH ST","","NEW YORK","NY",10024,40.78378,-73.97911,"(40.78378, -73.97911)"
"101","13 SULLIVAN GENTS LLC","NO 142","142 SULLIVAN ST","","NEW YORK","NY",10012,40.7271,-74.00221,"(40.7271, -74.00221)"
"102","MISOHOPPY INC","CITY HOPS","1145 2ND AVE","","NEW YORK","NY",10021,40.76133,-73.96388,"(40.76133, -73.96388)"
"103","NEKO CATS LLC","","26 CLINTON ST","","NEW YORK","NY",10002,40.72043,-73.98412,"(40.72043, -73.98412)"
"104","DAN AND JOHNS LLC","","135 1ST AVE","STORE 4","NEW YORK","NY",10003,40.72764,-73.98535,"(40.72764, -73.98535)"
"105","MUSE TRIBECA LLC","MUSE PAINTBAR","329 GREENWICH ST","","NEW YORK","NY",10013,40.71766,-74.01025,"(40.71766, -74.01025)"
"106","COOKIE LADY INC","ZUCKER BAKERY","433 E 9TH ST","STORE 1","NEW YORK","NY",10009,40.72774,-73.98327,"(40.72774, -73.98327)"
"107","WEBSTER GLOBAL HOLDINGS LLC","PREMIER INDOOR GOLF","1 E 28TH ST","3RD FL","NEW YORK","NY",10016,40.7447,-73.98721,"(40.7447, -73.98721)"
"108","MACARON LLC","MACARON CAFE","152 W 36TH ST","","NEW YORK","NY",10018,40.75191,-73.98905,"(40.75191, -73.98905)"
"109","OHMYGOSHCOFFEE LTD","GREEN NATURE COFFEE HOUSE","555 W 42ND ST","","NEW YORK","NY",10036,40.76062,-73.99735,"(40.76062, -73.99735)"
"110","SCHALLER MANUFACTURING CORP","SCHALLER & WEBER","1654 2ND AVE","","NEW YORK","NY",10028,40.7776,-73.95172,"(40.7776, -73.95172)"
"111","SUGAR HILL CAFE INC","SUGAR HILL CAFE","410 W 145TH ST","B1","NEW YORK","NY",10031,40.82422,-73.9456,"(40.82422, -73.9456)"
"112","LEGIT CAFE INC","ROUND K","99 ALLEN ST","","NEW YORK","NY",10002,40.71886,-73.99083,"(40.71886, -73.99083)"
"113","LAGUARDIA PLACE LLC","COURT STREET GROCERS LAGUARDIA PLACE","540 LAGUARDIA PL","","NEW YORK","NY",10012,40.72867,-73.99852,"(40.72867, -73.99852)"
"114","BE BAMBA GROUP LLC","LAMANO WINE BAR","265 W 20TH ST","","NEW YORK","NY",10011,40.74339,-73.99952,"(40.74339, -73.99952)"
"115","JAMES PERSE ENTERPRISES INC","JAMES PERSE","368 BLEECKER ST","","NEW YORK","NY",10014,40.73474,-74.00488,"(40.73474, -74.00488)"
"116","JAMES PERSE ENTERPRISES INC","JAMES PERSE","1128 MADISON AVE","","NEW YORK","NY",10028,40.77953,-73.95983,"(40.77953, -73.95983)"
"117","BOULE & CHERIE LLC","","170 AMSTERDAM AVE","","NEW YORK","NY",10023,40.60329,-74.16806,"(40.60329, -74.16806)"
"118","BCW NYC CHELSEA MARKET LLC","BERLIN CURRYWURST","75 9TH AVE","AKA 409 W 15TH ST-KIOSK #1","NEW YORK","NY",10011,40.74222,-74.00466,"(40.74222, -74.00466)"
"119","OAXACA GREENWICH LLC","OAXACA TAQUERIA","48 GREENWICH AVE","","NEW YORK","NY",10011,40.73565,-74.0004,"(40.73565, -74.0004)"
"120","M CLUB GYM LLC AND THE SQUEEZE INC","MERCEDES CLUB","550 W 54TH ST","4TH FLOOR","NEW YORK","NY",10019,40.76784,-73.99169,"(40.76784, -73.99169)"
"121","SCARR PIZZA LLC","SCARR PIZZA","22A ORCHARD ST","SOUTH STORE","NEW YORK","NY",10002,40.71539,-73.99153,"(40.71539, -73.99153)"
"122","ARCHBISHOP FULTON J SHEEN CENTER INC","SHEEN CENTER","18 BLEECKER ST","","NEW YORK","NY",10012,40.72542,-73.99324,"(40.72542, -73.99324)"
"123","GVI COLUMBUS LLC","VIN SUR VINGT","66 W 84TH ST","","NEW YORK","NY",10024,40.78496,-73.97288,"(40.78496, -73.97288)"
"124","24TH ST VEGAN CAFE LLC","V SPOT GRAMERCY","241 E 24TH ST","WEST STORE","NEW YORK","NY",10010,40.73885,-73.98087,"(40.73885, -73.98087)"
"125","VINTNER CAFE INC","VINTER WINE MARKET","677 9TH AVE","","NEW YORK","NY",10036,40.76145,-73.99066,"(40.76145, -73.99066)"
"126","WICHCRAFT 325 BROADWAY LLC","WICHCRAFT","325 BROADWAY","","NEW YORK","NY",10007,40.71607,-74.00489,"(40.71607, -74.00489)"
"127","VALLEY SHEPHERD H3 LLC & VALLEY SHEPHERD LLC","MELTKRAFT","3 HANOVER SQ","STORE #7","NEW YORK","NY",10005,40.70482,-74.00985,"(40.70482, -74.00985)"
"128","DYCKMAN BILLIARDS CAFE INC","","100 DYCKMAN ST","","NEW YORK","NY",10040,40.86172,-73.92505,"(40.86172, -73.92505)"
"129","CARMINE STREET BEERS INC","","52A CARMINE ST","","NEW YORK","NY",10014,40.72984,-74.00364,"(40.72984, -74.00364)"
"130","KGM PARTNERS LLC","REBEL COFFEE","19 8TH AVE","","NEW YORK","NY",10014,40.73782,-74.00472,"(40.73782, -74.00472)"
"131","RUE LA RUE INC","","4396 BROADWAY","","NEW YORK","NY",10040,40.85469,-73.93332,"(40.85469, -73.93332)"
"132","1372 1ST AVE WINE BAR CORP","VANGUARD WINE BAR","1372 1ST AVE","","NEW YORK","NY",10021,40.76858,-73.95522,"(40.76858, -73.95522)"
"133","44 PEARL ST LESSEE LLC&HERSHA HOSPITALITY MGMT LP","HAMPTON INN PEARL STREET","32 PEARL ST","","NEW YORK","NY",10004,40.70316,-74.01241,"(40.70316, -74.01241)"
"134","CHALAIT CHELSEA LLC","CHALAIT","75 9TH AVE","CHELSEA MARKET - KIOSK 2","NEW YORK","NY",10011,40.74222,-74.00466,"(40.74222, -74.00466)"
"135","PANAMA HAT ROASTERS LLC","DEAR MAMA","308 E 109TH ST","","NEW YORK","NY",10029,40.79243,-73.94089,"(40.79243, -73.94089)"
"136","TUSCAN KITCHEN INC","","2308 ADAM CLAYTON POWELL BLVD","AKA 2308 7TH AVE","NEW YORK","NY",10030,0,0,"(0.0, 0.0)"
"137","LOCAL & VINE CO CORP","","282 HUDSON ST","","NEW YORK","NY",10013,40.72528,-74.00748,"(40.72528, -74.00748)"
"138","ALANA BAR CAFE LLC","","462 W 52ND ST","","NEW YORK","NY",10019,40.76575,-73.99068,"(40.76575, -73.99068)"
"139","THREE SEAT ESPRESSO & BARBER LLC","THREE SEAT ESPRESSO","137 AVENUE A","ROOM BA3","NEW YORK","NY",10009,40.72709,-73.98296,"(40.72709, -73.98296)"
"140","BROOKS BROTHERS RESTAURANT LLC","BROOKS BROTHERS RED FLEECE CAFE","901 BROADWAY","BASEMENT FLOOR","NEW YORK","NY",10003,40.7392,-73.99006,"(40.7392, -73.99006)"
"141","SHIGEMITSU NEW YORK INC","HARBS","1374 3RD AVE","","NEW YORK","NY",10075,40.77377,-73.95789,"(40.77377, -73.95789)"
"142","ALPHABET CITY BEER CO LLC","ABC BEER CO","96 AVENUE C","GROUND FLOOR","NEW YORK","NY",10009,40.7237,-73.97895,"(40.7237, -73.97895)"
"143","FRANCISCO & FRANCISCO INC","POP AND POUR","200 DYCKMAN ST","STORE #8","NEW YORK","NY",10040,40.86494,-73.92697,"(40.86494, -73.92697)"
"144","SOGONA ENTERPRISES INC","YERESSO LOUNGE BAR","2400 7TH AVE","BASEMENT","NEW YORK","NY",10030,40.81855,-73.94152,"(40.81855, -73.94152)"
"145","552 FRAME INC","FRAME","552 7TH AVE","","NEW YORK","NY",10018,40.75458,-73.98824,"(40.75458, -73.98824)"
"146","RIVER COYOTE LLC","","121 LUDLOW ST","","NEW YORK","NY",10002,40.71967,-73.98868,"(40.71967, -73.98868)"
"147","SERENGETI EXPRESS LLC","SERENGETI KITCHEN","22 E 125TH ST","","NEW YORK","NY",10035,40.80582,-73.94127,"(40.80582, -73.94127)"
"148","NUCHAS TSQ LLC","NUCHAS","PEDESTRIAN PLAZA CONCESSION 7","","NEW YORK","NY",10036,0,0,"(0.0, 0.0)"
"149","PAINTING LOUNGE LLC","","15 W 116TH ST","","NEW YORK","NY",10026,40.80128,-73.94715,"(40.80128, -73.94715)"
"150","SOHO MARKET & BEER MERCHANTS INC","BEERZAAR","213 6TH AVE","","NEW YORK","NY",10014,40.72751,-74.00341,"(40.72751, -74.00341)"
"151","CHILLHOUSE 149 LLC","CHILLHOUSE","149 ESSEX ST","","NEW YORK","NY",10002,40.72067,-73.98727,"(40.72067, -73.98727)"
"152","WICHCRAFT 1407 BROADWAY LLC","WICHCRAFT","1407 BROADWAY","SPACE A","NEW YORK","NY",10018,40.75315,-73.98744,"(40.75315, -73.98744)"
"153","GREEN APPLE 37 INC","","20 W 37TH ST","","NEW YORK","NY",10018,40.75078,-73.98447,"(40.75078, -73.98447)"
"154","IDEA DISTILLERY LLC, THE","","21A CLINTON ST","","NEW YORK","NY",10002,40.72069,-73.98431,"(40.72069, -73.98431)"
"155","LIBERTY THEATERS LLC","MINETTA LANE THEATRE","18-22 MINETTA LN","","NEW YORK","NY",10012,40.73032,-74.00102,"(40.73032, -74.00102)"
"156","KS FAMILY CORP","BEAN N BEAN","320 8TH AVE","260 W 26TH ST","NEW YORK","NY",10001,40.66897,-73.97677,"(40.66897, -73.97677)"
"157","NADICO HOTEL LLC","ORCHARD STREET HOTEL","163 ORCHARD ST","FL 2","NEW YORK","NY",10002,40.72113,-73.9888,"(40.72113, -73.9888)"
"158","WILD PROJECT PRODUCTIONS INC","WILD PROJECT","195 E 3RD ST","","NEW YORK","NY",10009,40.72294,-73.98336,"(40.72294, -73.98336)"
"159","FORGROUND INC","","8 E 41ST ST","","NEW YORK","NY",10017,40.75245,-73.98081,"(40.75245, -73.98081)"
"160","CLO CONCESSIONS LLC","","30 32 34 W 13TH ST","","NEW YORK","NY",10011,0,0,"(0.0, 0.0)"
"161","LUDLOW COFFEE SUPPLY LLC","LUDLOW COFFEE SUPPLY","176 LUDLOW ST","","NEW YORK","NY",10002,40.72168,-73.98742,"(40.72168, -73.98742)"
"162","MAPO GALMAEGI CORP","MAUI ONION","35 W 26TH ST","","NEW YORK","NY",10010,40.74444,-73.99029,"(40.74444, -73.99029)"
"163","GREAT PERFORMANCES ARTISTS AS WAITRESSES INC","GREAT PERFORMANCES AT 548","548 W 22ND ST","","NEW YORK","NY",10011,40.74787,-74.00693,"(40.74787, -74.00693)"
